rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.74215590391049,78.34138466302349,688018,乐鑫科技,bottom_area,2022-09-21,83.61,2022-09-21,82.51,1.3331717367591738,3.38140831414373,29.47863247863247,False,-1.6353,0.8826,1,1,1,100.0,34.629119477604306,34.629119477604306,18.666828263240827,1.3331717367591738,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
2,90.28783023646656,78.34385542168678,002110,三钢闽光,bottom_area,2022-09-21,5.09,2022-09-21,4.98,2.2088353413654502,2.4096385542168517,32.97442799461641,False,0.5929,0.2512,1,1,1,100.0,22.90322580645161,22.90322580645161,17.79116465863455,2.2088353413654502,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
3,87.95221448334628,76.85543975881193,688010,福光股份,bottom_area,2022-09-21,20.57,2022-09-21,20.05,2.593516209476307,4.239401496259341,28.341672623302355,False,-0.3391,0.1327,1,1,1,100.0,42.08955223880597,42.08955223880597,17.406483790523694,2.593516209476307,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
4,86.45068870568657,76.50642449512877,688183,生益电子,bottom_area,2022-09-21,9.74,2022-09-21,9.43,3.287380699893961,4.029692470837761,28.883861236802417,False,0.9326,0.4293,1,1,1,100.0,26.24544349939247,26.24544349939247,16.71261930010604,3.287380699893961,历史1/1次成功; 当前距低点3.29%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
5,86.1031358030125,75.88496261871084,600130,波导股份,bottom_area,2022-09-21,4.04,2022-09-19,3.92,3.061224489795921,4.33673469387755,27.541589648798524,False,0.2481,3.8955,1,1,1,100.0,20.13201320132014,20.13201320132014,16.938775510204078,3.061224489795921,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
6,85.73371738466842,77.20348877228021,603315,福鞍股份,bottom_area,2022-09-21,20.4,2022-09-19,19.57,4.241185487991815,6.6428206438426205,29.324665944384254,False,1.0401,0.4983,1,1,1,100.0,41.68490153172865,41.68490153172865,15.758814512008188,4.241185487991815,历史1/1次成功; 当前距低点4.24%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
7,85.24645064365873,76.30674795443608,000591,太阳能,bottom_area,2022-09-21,7.17,2022-09-19,6.9,3.913043478260863,4.347826086956519,27.672955974842754,False,1.1283,1.1124,1,1,1,100.0,32.84132841328414,32.84132841328414,16.086956521739136,3.913043478260863,历史1/1次成功; 当前距低点3.91%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
8,84.74404194815325,75.36915521153077,002451,摩恩电气,bottom_area,2022-09-21,6.11,2022-09-19,5.9,3.5593220338983045,4.23728813559322,29.59427207637232,False,0.4934,0.8066,1,1,1,100.0,23.464566929133863,23.464566929133863,16.440677966101696,3.5593220338983045,历史1/1次成功; 当前距低点3.56%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
9,82.00866126777159,73.32491385990267,300437,清水源,bottom_area,2022-09-21,18.07,2022-09-19,17.4,3.850574712643688,4.540229885057487,29.354445797807553,False,-0.0553,1.4511,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,16.149425287356312,3.850574712643688,历史5/6次成功; 当前距低点3.85%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
10,81.7031331863417,74.35012454561708,002283,天润工业,bottom_area,2022-09-21,5.44,2022-09-19,5.19,4.816955684007707,5.202312138728315,27.816411682892905,False,2.0638,0.6591,1,1,1,100.0,33.402061855670105,33.402061855670105,15.183044315992294,4.816955684007707,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
11,80.81842559250258,72.2320554442491,688280,精进电动,bottom_area,2022-09-21,9.22,2022-09-19,8.88,3.828828828828827,5.292792792792779,29.411764705882348,False,-0.1083,1.1554,1,1,1,100.0,32.37518910741301,32.37518910741301,16.171171171171174,3.828828828828827,历史1/1次成功; 当前距低点3.83%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
12,80.81279492437965,73.30603966145102,002012,凯恩股份,bottom_area,2022-09-21,5.41,2022-09-19,5.17,4.642166344294008,5.222437137330763,31.523178807947016,False,0.3711,2.1277,1,1,1,100.0,25.646123260437374,25.646123260437374,15.357833655705994,4.642166344294008,历史1/1次成功; 当前距低点4.64%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
13,76.61878378708023,69.8208140610546,002516,旷达科技,bottom_area,2022-09-21,4.93,2022-09-19,4.7,4.893617021276586,5.744680851063821,28.679817905918053,False,-0.6048,0.7174,1,1,1,100.0,32.46376811594203,32.46376811594203,15.106382978723415,4.893617021276586,历史1/1次成功; 当前距低点4.89%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
14,69.7904075967937,60.56192394763088,603229,奥翔药业,bottom_area,2022-09-21,25.41,2022-09-21,24.86,2.212389380530976,3.2984714400643615,28.869814020028624,False,-0.431,0.95,1,2,1,50.0,41.48479427549196,41.48479427549196,17.787610619469024,2.212389380530976,历史1/2次成功; 当前距低点2.21%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
15,67.12625532592727,59.34467177631115,688021,奥福科技,bottom_area,2022-09-21,22.04,2022-09-21,21.35,3.231850117096008,3.7939110070257547,27.82285327924272,False,0.7313,0.4191,1,2,1,50.0,24.96392496392497,24.96392496392497,16.768149882903995,3.231850117096008,历史1/2次成功; 当前距低点3.23%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
16,66.8455312629352,59.41825001149795,688079,美迪凯,bottom_area,2022-09-21,9.68,2022-09-21,9.35,3.529411764705883,5.775401069518726,29.962546816479403,False,0.207,0.6815,1,2,1,50.0,29.007036747458958,29.007036747458958,16.470588235294116,3.529411764705883,历史1/2次成功; 当前距低点3.53%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
17,65.70506835783219,58.36697017790862,601686,友发集团,bottom_area,2022-09-21,6.22,2022-09-21,6.01,3.494176372712146,3.9933444259567423,29.54279015240328,False,1.3029,0.7513,1,2,1,50.0,22.923076923076927,22.923076923076927,16.505823627287857,3.494176372712146,历史1/2次成功; 当前距低点3.49%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
18,63.44327812108823,57.046867576812254,600215,派斯林,bottom_area,2022-09-21,7.01,2022-09-16,6.73,4.1604754829123225,4.606240713224363,29.1578947368421,False,1.5942,1.1323,1,2,1,50.0,23.993288590604024,23.993288590604024,15.839524517087678,4.1604754829123225,历史1/2次成功; 当前距低点4.16%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
19,60.71255614143917,55.38062499999998,000545,金浦钛业,bottom_area,2022-09-21,4.03,2022-09-19,3.84,4.947916666666677,6.250000000000005,28.22429906542056,False,1.7677,1.9921,1,2,1,50.0,24.6875,24.6875,15.052083333333325,4.947916666666677,历史1/2次成功; 当前距低点4.95%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
