rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.24810810810811,67.70675675675676,002482,广田集团,bottom_area,2022-07-15,1.81,2022-07-15,1.81,0.0,2.2099447513812174,30.384615384615387,False,-4.7368,4.95,1,1,1,100.0,23.423423423423422,23.423423423423422,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
2,68.89670110186914,58.588311836734675,000923,河钢资源,bottom_area,2022-07-15,11.89,2022-07-15,11.76,1.105442176870755,8.843537414965995,27.317676143386898,False,-8.8889,4.5788,1,2,1,50.0,27.519999999999996,27.519999999999996,18.894557823129247,1.105442176870755,历史1/2次成功; 当前距低点1.11%; 最新日涨幅-8.89%; 状态bottom_area; 底部未确认
3,63.80022946692627,53.380535432685846,002589,瑞康医药,bottom_area,2022-07-15,4.58,2022-07-15,4.57,0.2188183807439778,7.658643326039378,27.113237639553418,False,-9.8425,21.9563,1,2,1,50.0,28.49162011173183,28.49162011173183,19.78118161925602,0.2188183807439778,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-9.84%; 状态bottom_area; 底部未确认
