rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.51318118012304,79.99432717678098,300781,因赛集团,bottom_area,2026-03-11,38.89,53.22,2026-03-04,37.9,2.6121372031662324,8.390501319261213,28.786170612551675,26.92596768132281,True,-2.5802,5.1538,1,1,1,100.0,75.49457562220803,75.49457562220803,17.38786279683377,2.6121372031662324,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-2.58%; 状态bottom_area; 底部已确认
2,91.21943707935603,77.76395725934951,001391,国货航,bottom_area,2026-03-11,5.71,7.73,2026-03-09,5.64,1.2411347517730547,2.3049645390070905,27.037516170763272,26.131953428201815,False,-0.1748,0.8215,1,1,1,100.0,30.39647577092513,30.39647577092513,18.758865248226947,1.2411347517730547,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
3,90.4368828908528,77.38504606213877,002345,潮宏基,bottom_area,2026-03-11,10.53,14.25,2026-03-09,10.38,1.4450867052022984,4.335260115606929,27.1578947368421,26.105263157894743,False,-2.4096,1.8909,1,1,1,100.0,30.859375,30.859375,18.554913294797704,1.4450867052022984,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
4,87.92214546929563,75.58951181715659,002739,儒意电影,bottom_area,2026-03-11,10.15,13.87,2026-03-09,9.98,1.7034068136272538,3.206412825651305,28.04614275414563,26.82047584715212,False,-0.782,1.4358,1,1,1,100.0,24.37246963562753,24.37246963562753,18.296593186372746,1.7034068136272538,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
5,84.85258067496733,75.51907289195516,688608,恒玄科技,bottom_area,2026-03-11,186.0,246.36,2026-03-09,179.54,3.5980839924250914,6.104489250306344,27.122909563240793,24.500730638090605,False,-1.8003,1.4976,2,2,2,100.0,30.55217416496976,36.80636853195971,16.40191600757491,3.5980839924250914,历史2/2次成功; 当前距低点3.60%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
6,84.61241880427195,74.44885387698594,688317,之江生物,bottom_area,2026-03-11,20.1,28.58,2026-03-04,19.52,2.9713114754098457,4.76434426229508,31.700489853044083,29.67109867039887,False,-0.9852,0.7536,3,4,3,75.0,37.948623875916084,40.461049284578706,17.028688524590155,2.9713114754098457,历史3/4次成功; 当前距低点2.97%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
7,84.35388297745295,74.87887584113999,001206,依依股份,bottom_area,2026-03-11,22.76,31.9,2026-03-04,22.0,3.4545454545454617,6.045454545454538,31.034482758620683,28.65203761755485,False,-0.9142,2.7752,1,1,1,100.0,42.01741654571844,42.01741654571844,16.54545454545454,3.4545454545454617,历史1/1次成功; 当前距低点3.45%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
8,82.77964744516605,73.13740335610058,603163,圣晖集成,bottom_area,2026-03-11,106.51,149.85,2026-03-09,103.21,3.197364596453843,8.632884410425358,31.12445779112446,28.92225558892225,True,-3.8284,3.2679,1,1,1,100.0,30.52362707535122,30.52362707535122,16.802635403546155,3.197364596453843,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-3.83%; 状态bottom_area; 底部已确认
9,80.75416349896021,71.9830857943798,688236,春立医疗,bottom_area,2026-03-11,20.55,27.56,2026-03-04,19.82,3.6831483350151384,5.247225025227039,28.084179970972418,25.435413642960807,False,-1.0116,0.6349,3,4,3,75.0,33.4175483774963,48.33672776646301,16.316851664984863,3.6831483350151384,历史3/4次成功; 当前距低点3.68%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
10,79.89046618315878,69.50327151419144,603130,云中马,bottom_area,2026-03-11,42.65,61.5,2026-03-09,41.67,2.3518118550515883,5.591552675785933,32.24390243902439,30.650406504065042,False,-1.7055,0.6441,2,3,2,66.66666666666666,38.48782729592695,52.76771857216763,17.648188144948413,2.3518118550515883,历史2/3次成功; 当前距低点2.35%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
11,78.93304590958459,71.80945170894904,300879,大叶股份,bottom_area,2026-03-11,23.79,31.32,2026-03-04,22.7,4.8017621145374445,5.6828193832599085,27.522349936143044,24.042145593869733,False,-0.5019,1.0351,2,2,2,100.0,25.362738333840962,29.057924888605967,15.198237885462557,4.8017621145374445,历史2/2次成功; 当前距低点4.80%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
