rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.45421103089971,83.7277739296218,002838,道恩股份,bottom_area,2022-12-30,17.68,2022-12-30,17.5,1.028571428571427,3.3142857142857043,30.223285486443373,False,0.5117,2.6041,2,2,2,100.0,20.71460638045511,24.95606326889279,13.971428571428573,1.028571428571427,历史2/2次成功; 当前距低点1.03%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
2,92.81834516542713,81.47046601950716,688075,安旭生物,bottom_area,2022-12-30,84.3,2022-12-30,83.88,0.5007153075822625,2.2651406771578517,29.441453566621806,False,-1.1955,3.3198,4,4,4,100.0,31.086542584917854,40.134529147982065,14.499284692417739,0.5007153075822625,历史4/4次成功; 当前距低点0.50%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
3,89.4102087592877,78.0479371307468,002395,双象股份,bottom_area,2022-12-30,9.73,2022-12-29,9.71,0.2059732234809431,3.8105046343975197,28.916544655929716,False,0.1029,1.5781,1,1,1,100.0,36.59976387249114,36.59976387249114,14.794026776519056,0.2059732234809431,历史1/1次成功; 当前距低点0.21%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
4,89.34524245703724,80.16260924096744,001332,锡装股份,bottom_area,2022-12-30,57.01,2022-12-23,56.07,1.6764758337792003,5.796326021045122,32.874416377349455,False,0.4405,2.3518,1,1,1,100.0,26.155774956903304,26.155774956903304,13.323524166220798,1.6764758337792003,历史1/1次成功; 当前距低点1.68%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
5,89.1240830782307,78.88397962045768,000980,众泰汽车,bottom_area,2022-12-30,4.26,2022-12-29,4.22,0.9478672985782,3.7914691943128,30.247933884297524,False,0.7092,2.3076,2,2,2,100.0,33.52213473772031,43.49775784753364,14.0521327014218,0.9478672985782,历史2/2次成功; 当前距低点0.95%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
6,88.94915184900164,80.01235937133475,603289,泰瑞机器,bottom_area,2022-12-30,8.98,2022-12-23,8.82,1.8140589569161012,5.555555555555558,29.888712241653415,False,0.5599,1.0832,1,1,1,100.0,27.034482758620705,27.034482758620705,13.185941043083899,1.8140589569161012,历史1/1次成功; 当前距低点1.81%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
7,87.15624521026996,79.62473073130386,300542,新晨科技,bottom_area,2022-12-30,11.64,2022-12-29,11.34,2.645502645502652,4.05643738977073,28.589420654911844,False,0.692,1.2921,2,2,2,100.0,18.47568152177371,21.587301587301592,12.354497354497347,2.645502645502652,历史2/2次成功; 当前距低点2.65%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
8,86.00104105225213,78.47170306284252,002423,中粮资本,bottom_area,2022-12-30,7.16,2022-12-23,6.98,2.5787965616045803,7.87965616045845,28.41025641025641,True,0.5618,0.9595,1,1,1,100.0,18.932038834951456,18.932038834951456,12.421203438395418,2.5787965616045803,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.56%; 状态bottom_area; 底部已确认
9,85.91921223017795,74.71235846102431,000411,英特集团,bottom_area,2022-12-30,11.57,2022-12-30,11.57,0.0,2.7657735522904088,31.497927767910006,False,-2.2804,2.3217,2,2,2,100.0,34.206228285076975,47.98426745329401,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
10,85.7597705959397,78.1335428619747,300758,七彩化学,bottom_area,2022-12-30,11.9,2022-12-23,11.61,2.4978466838932034,9.216192937123173,27.437500000000004,True,-1.5715,1.6497,1,1,1,100.0,38.59480269489894,38.59480269489894,12.502153316106796,2.4978466838932034,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
11,85.68137952371347,76.15469216417911,000919,金陵药业,bottom_area,2022-12-30,7.77,2022-12-29,7.68,1.1718749999999982,2.9947916666666723,31.12107623318386,False,-0.7663,1.8658,1,1,1,100.0,20.8955223880597,20.8955223880597,13.828125000000002,1.1718749999999982,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
12,82.9255416160433,73.06046141888496,688167,炬光科技,bottom_area,2022-12-30,93.33,2022-12-26,92.68,0.7013379369874746,7.682347863616734,27.423649177760375,False,-2.1082,1.7539,2,2,2,100.0,21.66404255492686,23.41569581359622,14.298662063012523,0.7013379369874746,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
13,81.65569975517647,75.81300820417619,605255,天普股份,bottom_area,2022-12-30,14.15,2022-12-28,13.67,3.5113386978785694,7.681053401609368,27.287234042553195,True,0.3546,4.6558,1,1,1,100.0,16.069142125480155,16.069142125480155,11.48866130212143,3.5113386978785694,历史1/1次成功; 当前距低点3.51%; 最新日涨幅0.35%; 状态bottom_area; 底部已确认
14,80.55449536157072,76.7892753677119,002534,西子洁能,bottom_area,2022-12-30,14.48,2022-12-23,13.8,4.927536231884055,7.753623188405786,29.375639713408386,True,0.1383,0.4178,2,2,2,100.0,22.01106438928788,26.532951289398277,10.072463768115943,4.927536231884055,历史2/2次成功; 当前距低点4.93%; 最新日涨幅0.14%; 状态bottom_area; 底部已确认
15,78.37561089259373,68.35523216755584,000597,东北制药,bottom_area,2022-12-30,6.31,2022-12-30,6.3,0.15873015873015534,5.23809523809524,32.25806451612904,False,-4.2489,5.6897,1,1,1,100.0,16.59751037344398,16.59751037344398,14.841269841269844,0.15873015873015534,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
16,67.43006168178457,60.501888111888135,002693,双成药业,bottom_area,2022-12-30,7.27,2022-12-27,7.15,1.6783216783216672,8.25174825174825,27.77777777777778,False,-1.2228,3.078,1,2,1,50.0,34.61538461538462,34.61538461538462,13.321678321678332,1.6783216783216672,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
