rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.02313937756442,79.4336545115784,002632,道明光学,bottom_area,2024-01-08,8.48,2024-01-08,8.32,1.9230769230769247,3.1249999999999973,28.706083976006852,False,1.3142,9.3161,1,1,1,100.0,25.259515570934255,25.259515570934255,18.076923076923077,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
2,91.73407262473924,76.96789720396946,605133,嵘泰股份,bottom_area,2024-01-08,24.29,2024-01-08,24.2,0.3719008264462804,4.421487603305787,32.42111142139068,False,-4.2947,5.4957,2,2,2,100.0,48.8485542379945,60.01483679525222,19.62809917355372,0.3719008264462804,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-4.29%; 状态bottom_area; 底部未确认
3,90.32457717273711,75.85978723404256,603013,亚普股份,bottom_area,2024-01-08,16.52,2024-01-08,16.45,0.42553191489361875,1.702127659574475,27.692307692307693,False,-1.4908,0.6403,1,1,1,100.0,53.30739299610896,53.30739299610896,19.574468085106382,0.42553191489361875,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
4,90.15851954139607,79.15572715335163,002796,世嘉科技,bottom_area,2024-01-08,10.82,2023-12-26,10.52,2.8517110266159764,9.125475285171111,28.092959671907046,True,-1.9928,1.8424,2,2,2,100.0,31.7614424410541,36.33841886269071,17.148288973384023,2.8517110266159764,历史2/2次成功; 当前距低点2.85%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
5,89.46000000000001,74.55000000000001,600172,黄河旋风,bottom_area,2024-01-08,3.46,2024-01-08,3.46,0.0,2.0231213872832323,29.098360655737704,False,-1.4245,1.1478,1,1,1,100.0,51.074589127686465,51.074589127686465,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
6,85.79212336876687,71.7944035335005,601628,中国人寿,bottom_area,2024-01-08,26.24,2024-01-08,26.18,0.2291825821237537,3.0175706646294853,31.716223265519044,False,-2.0896,0.0697,1,1,1,100.0,25.736235595390532,25.736235595390532,19.770817417876245,0.2291825821237537,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
7,83.3550071021519,70.24281860599693,002409,雅克科技,bottom_area,2024-01-08,47.86,2024-01-08,47.57,0.6096279167542551,4.120243851166704,32.14947938953074,False,-2.3465,2.5117,1,1,1,100.0,22.057904603207675,22.057904603207675,19.390372083245747,0.6096279167542551,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
8,76.7481277760236,69.9093866177687,002451,摩恩电气,bottom_area,2024-01-08,6.89,2023-12-27,6.57,4.870624048706231,9.893455098934542,30.476190476190467,True,-1.8519,2.2625,1,1,1,100.0,23.464566929133863,23.464566929133863,15.129375951293769,4.870624048706231,历史1/1次成功; 当前距低点4.87%; 最新日涨幅-1.85%; 状态bottom_area; 底部已确认
9,75.664280337084,66.74007010243932,600152,维科技术,bottom_area,2024-01-08,6.97,2023-12-27,6.76,3.1065088757396446,9.319526627218934,28.31389183457052,True,-1.831,1.1658,2,3,2,66.66666666666666,23.6894821099949,24.87644151565074,16.893491124260358,3.1065088757396446,历史2/3次成功; 当前距低点3.11%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
10,75.55558625577986,64.98542592745599,600178,东安动力,bottom_area,2024-01-08,12.96,2024-01-05,12.74,1.7268445839874462,7.927786499215069,27.572484366117113,False,0.856,7.0648,1,2,1,50.0,36.84210526315788,36.84210526315788,18.273155416012553,1.7268445839874462,历史1/2次成功; 当前距低点1.73%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
11,68.99999999999999,57.49999999999999,000070,特发信息,bottom_area,2024-01-08,7.46,2024-01-08,7.46,0.0,2.546916890080434,28.061716489874634,False,-2.0997,0.9649,1,2,1,50.0,50.60532687651331,50.60532687651331,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
12,67.77096701997158,56.626262101937996,000058,深赛格,bottom_area,2024-01-08,6.9,2023-12-27,6.89,0.14513788098694738,5.370101596516692,27.320675105485236,False,-1.7094,0.5785,1,2,1,50.0,34.82352941176472,34.82352941176472,19.854862119013053,0.14513788098694738,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
13,66.42645081213676,56.444658561296876,002660,茂硕电源,bottom_area,2024-01-08,10.45,2024-01-08,10.34,1.0638297872340372,3.481624758220497,29.080932784636488,False,-1.7857,11.199,1,3,1,33.33333333333333,24.71428571428572,24.71428571428572,18.936170212765962,1.0638297872340372,历史1/3次成功; 当前距低点1.06%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
