rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.58409392718467,77.56883609790923,603322,超讯通信,bottom_area,2023-06-30,29.28,2023-06-29,28.82,1.5961138098542709,3.712699514226233,30.201017195446838,False,-0.4759,9.4376,2,2,2,100.0,17.03212679772567,18.007915567282325,13.403886190145728,1.5961138098542709,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
2,85.42037078106226,78.17605623648163,600935,华塑股份,bottom_area,2023-06-30,3.75,2023-06-27,3.65,2.739726027397263,3.013698630136983,28.571428571428577,False,1.626,0.2927,1,1,1,100.0,28.50877192982458,28.50877192982458,12.260273972602736,2.739726027397263,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
3,84.68795277020511,76.89770606675272,601669,中国电建,bottom_area,2023-06-30,5.74,2023-06-07,5.61,2.317290552584668,4.812834224598923,29.78723404255319,False,0.5254,0.5653,1,1,1,100.0,16.457680250783696,16.457680250783696,12.68270944741533,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
4,83.24190226798987,77.61246547699525,002299,圣农发展,bottom_area,2023-06-30,19.15,2023-06-26,18.46,3.7378114842903454,4.821235102925247,27.00672202451561,False,0.7365,0.5412,2,2,2,100.0,21.046643339662563,26.73830594184577,11.262188515709653,3.7378114842903454,历史2/2次成功; 当前距低点3.74%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
5,81.86853948178016,72.02621391533859,300661,圣邦股份,bottom_area,2023-06-30,82.13,2023-06-30,81.62,0.6248468512619345,2.26660132320509,27.020743919885547,False,-0.6652,0.6343,1,1,1,100.0,31.832606108687024,31.832606108687024,14.375153148738065,0.6248468512619345,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
6,81.55309190230912,72.21190071677921,688302,海创药业,bottom_area,2023-06-30,53.12,2023-06-26,52.61,0.9693974529557081,5.873408097319908,29.70336718332443,False,-1.2089,0.8434,1,1,1,100.0,37.054445750097926,37.054445750097926,14.03060254704429,0.9693974529557081,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
7,81.37777347711167,74.16350351651349,600995,南网储能,bottom_area,2023-06-30,11.01,2023-06-07,10.74,2.5139664804469235,6.983240223463687,32.7909887359199,False,-0.1813,0.9576,1,1,1,100.0,26.64165103189493,26.64165103189493,12.486033519553077,2.5139664804469235,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
8,80.58340467777715,74.50726147654692,688236,春立医疗,bottom_area,2023-06-30,24.5,2023-06-28,23.72,3.2883642495784198,7.082630691399662,32.228571428571435,True,-2.7392,2.779,1,1,1,100.0,28.788881535407025,28.788881535407025,11.71163575042158,3.2883642495784198,历史1/1次成功; 当前距低点3.29%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
9,79.99206985619185,74.58046810990655,002041,登海种业,bottom_area,2023-06-30,15.27,2023-06-29,14.72,3.736413043478253,4.211956521739125,30.56603773584905,False,2.621,0.6887,1,1,1,100.0,21.395106715252467,21.395106715252467,11.263586956521745,3.736413043478253,历史1/1次成功; 当前距低点3.74%; 最新日涨幅2.62%; 状态bottom_area; 底部未确认
10,78.80293451069163,74.13023117483941,601086,国芳集团,bottom_area,2023-06-30,4.45,2023-06-26,4.27,4.215456674473082,5.152224824355987,28.83333333333334,False,0.4515,1.2766,1,1,1,100.0,24.846625766871185,24.846625766871185,10.784543325526917,4.215456674473082,历史1/1次成功; 当前距低点4.22%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
11,70.05372014555678,63.08811330156655,002545,东方铁塔,bottom_area,2023-06-30,7.06,2023-06-26,6.93,1.8759018759018746,2.16450216450217,27.58620689655173,False,1.1461,0.4658,1,2,1,50.0,28.468653648509758,28.468653648509758,13.124098124098124,1.8759018759018746,历史1/2次成功; 当前距低点1.88%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
12,69.35766602744503,65.68571272334806,601666,平煤股份,bottom_area,2023-06-30,7.54,2023-06-26,7.21,4.576976421636616,5.409153952843269,29.10521140609636,False,2.4457,1.2978,2,3,2,66.66666666666666,22.766410204370302,27.30923694779115,10.423023578363383,4.576976421636616,历史2/3次成功; 当前距低点4.58%; 最新日涨幅2.45%; 状态bottom_area; 底部未确认
13,67.66760985500858,63.37345242306331,002554,惠博普,bottom_area,2023-06-30,3.66,2023-06-26,3.52,3.9772727272727306,4.261363636363634,27.27272727272727,False,0.8264,0.7865,2,4,2,50.0,22.428141081963094,28.404669260700388,11.022727272727268,3.9772727272727306,历史2/4次成功; 当前距低点3.98%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
14,64.82164352079266,58.62885640975455,688228,开普云,bottom_area,2023-06-30,51.36,2023-06-30,50.3,2.107355864811138,3.339960238568588,29.846582984658305,False,-1.4393,3.7468,1,2,1,50.0,29.80445043830074,29.80445043830074,12.89264413518886,2.107355864811138,历史1/2次成功; 当前距低点2.11%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
15,64.65787368880939,60.15488661074866,000792,盐湖股份,bottom_area,2023-06-30,19.17,2023-05-30,18.5,3.6216216216216313,7.5675675675675595,29.49695121951219,True,2.2946,0.6306,1,2,1,50.0,24.904214559386965,24.904214559386965,11.378378378378368,3.6216216216216313,历史1/2次成功; 当前距低点3.62%; 最新日涨幅2.29%; 状态bottom_area; 底部已确认
16,60.210280195981206,56.470055725828914,002146,荣盛发展,bottom_area,2023-06-30,1.54,2023-06-30,1.48,4.054054054054058,6.081081081081086,28.502415458937193,False,2.6667,3.521,1,2,1,50.0,19.587628865979376,19.587628865979376,10.945945945945942,4.054054054054058,历史1/2次成功; 当前距低点4.05%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
17,56.597434756876176,51.78691578297341,603335,迪生力,bottom_area,2023-06-30,6.4,2023-06-27,6.23,2.728731942215087,5.296950240770451,27.134502923976612,False,-0.6211,3.9733,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,12.271268057784912,2.728731942215087,历史1/3次成功; 当前距低点2.73%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
