rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.38279704352885,79.65314477387079,000690,宝新能源,bottom_area,2024-09-12,3.86,2024-09-11,3.81,1.3123359580052447,2.624671916010501,27.15105162523901,False,0.2597,0.6333,1,1,1,100.0,18.953068592057758,18.953068592057758,13.687664041994754,1.3123359580052447,历史1/1次成功; 当前距低点1.31%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
2,87.91063044015789,79.33067217141705,600345,长江通信,bottom_area,2024-09-12,14.9,2024-09-10,14.61,1.9849418206707798,4.449007529089667,27.529761904761905,False,0.0672,1.3428,1,1,1,100.0,25.46419098143237,25.46419098143237,13.01505817932922,1.9849418206707798,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
3,85.76264872473996,77.54148862403285,001286,陕西能源,bottom_area,2024-09-12,8.8,2024-09-11,8.62,2.0881670533642867,3.8283062645011614,31.749802058590664,False,1.1494,1.2769,1,1,1,100.0,17.110266159695826,17.110266159695826,12.911832946635712,2.0881670533642867,历史1/1次成功; 当前距低点2.09%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
4,84.83236714473735,75.78362924994968,603079,圣达生物,bottom_area,2024-09-12,10.54,2024-08-26,10.39,1.4436958614051836,6.929740134744936,28.83561643835616,False,-0.7533,0.8808,1,1,1,100.0,22.232558139534888,22.232558139534888,13.556304138594816,1.4436958614051836,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
5,84.74514556211332,79.70818689715684,000532,华金资本,bottom_area,2024-09-12,10.65,2024-09-04,10.22,4.207436399217218,7.632093933463789,27.926657263751757,True,0.2825,2.8943,2,2,2,100.0,28.877106921355356,32.044198895027606,10.792563600782781,4.207436399217218,历史2/2次成功; 当前距低点4.21%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
6,84.62231886427273,77.95121316805526,002674,兴业科技,bottom_area,2024-09-12,8.01,2024-08-21,7.77,3.0888030888030915,6.30630630630631,31.72231985940247,False,0.7547,0.3256,1,1,1,100.0,31.578947368421055,31.578947368421055,11.911196911196908,3.0888030888030915,历史1/1次成功; 当前距低点3.09%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
7,83.43543217444606,72.77894736842103,300761,立华股份,bottom_area,2024-09-12,18.03,2024-09-10,18.0,0.16666666666667299,3.4999999999999947,27.710843373493972,False,-0.9341,0.3375,1,1,1,100.0,30.263157894736853,30.263157894736853,14.833333333333327,0.16666666666667299,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
8,83.2737540486814,72.41196004233166,300536,农尚环境,bottom_area,2024-09-12,4.76,2024-09-12,4.76,0.0,9.033613445378165,27.217125382263003,False,-6.1144,3.8601,5,6,5,83.33333333333334,34.8313263924641,60.27027027027027,15.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
9,83.10420020739232,73.30034792785095,601808,中海油服,bottom_area,2024-09-12,13.23,2024-09-11,13.13,0.7616146230007589,1.5232292460015178,29.9359658484525,False,0.4556,0.1215,1,1,1,100.0,17.88617886178861,17.88617886178861,14.23838537699924,0.7616146230007589,历史1/1次成功; 当前距低点0.76%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
10,82.72437590855843,74.62366264982447,000597,东北制药,bottom_area,2024-09-12,4.15,2024-08-26,4.07,1.9656019656019672,5.65110565110564,32.053422370617696,False,0.0,0.9186,2,3,2,66.66666666666666,38.80950787489403,61.02150537634409,13.03439803439803,1.9656019656019672,历史2/3次成功; 当前距低点1.97%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,82.67377833525714,73.20302700032325,000539,粤电力A,bottom_area,2024-09-12,4.17,2024-08-26,4.13,0.9685230024213084,6.7796610169491585,31.395348837209298,False,0.2404,0.3179,1,1,1,100.0,19.89924433249369,19.89924433249369,14.03147699757869,0.9685230024213084,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
12,82.50089667318473,76.22854767184037,601872,招商轮船,bottom_area,2024-09-12,6.35,2024-09-11,6.15,3.2520325203251916,4.390243902439018,27.47641509433962,False,1.9262,0.4775,1,1,1,100.0,24.318181818181802,24.318181818181802,11.747967479674807,3.2520325203251916,历史1/1次成功; 当前距低点3.25%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
13,80.77787848605578,70.24163346613547,603027,千禾味业,bottom_area,2024-09-12,10.25,2024-09-12,10.25,0.0,4.780487804878051,28.918169209431344,False,-3.8462,1.803,1,1,1,100.0,37.051792828685265,37.051792828685265,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.85%; 状态bottom_area; 底部未确认
14,79.4315172070606,69.78381012430192,000898,鞍钢股份,bottom_area,2024-09-12,1.83,2024-09-12,1.82,0.5494505494505499,2.7472527472527495,30.0,False,-1.0811,0.4111,1,1,1,100.0,18.852459016393443,18.852459016393443,14.450549450549449,0.5494505494505499,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
15,79.3328759361649,70.95926078677334,300455,航天智装,bottom_area,2024-09-12,10.08,2024-09-10,9.93,1.5105740181268918,3.625377643504526,27.939042089985485,False,-0.2967,0.8815,2,3,2,66.66666666666666,36.00377893245158,53.103448275862064,13.489425981873108,1.5105740181268918,历史2/3次成功; 当前距低点1.51%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
