rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.61332710732614,79.42220219547633,601019,山东出版,bottom_area,2024-11-25,10.38,2024-11-25,10.22,1.5655577299412928,2.446183953033268,28.028169014084497,False,0.2899,0.2673,1,1,1,100.0,20.815450643776817,20.815450643776817,18.43444227005871,1.5655577299412928,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
2,88.85315714690671,74.37525547445257,002388,新亚制程,bottom_area,2024-11-25,4.12,2024-11-25,4.11,0.24330900243308481,5.596107055961059,31.040268456375834,False,-4.8499,9.1634,1,1,1,100.0,50.505050505050505,50.505050505050505,19.756690997566917,0.24330900243308481,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
3,88.18035521570408,77.19282772147761,000782,恒申新材,bottom_area,2024-11-25,4.96,2024-11-22,4.83,2.6915113871635588,6.8322981366459645,27.0392749244713,False,2.268,3.9244,1,1,1,100.0,22.631578947368432,22.631578947368432,17.30848861283644,2.6915113871635588,历史1/1次成功; 当前距低点2.69%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
4,84.92958116883115,70.77465097402596,002721,金一文化,bottom_area,2024-11-25,2.43,2024-11-25,2.43,0.0,0.8230452674897125,27.67857142857142,False,-5.0781,1.0411,2,2,2,100.0,23.250811688311686,23.376623376623378,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
5,60.49657188608189,54.01669324683518,600421,退市华嵘,bottom_area,2024-11-25,10.17,2024-11-25,9.8,3.7755102040816246,4.795918367346927,29.036929761042718,False,-1.9286,5.1497,1,3,1,33.33333333333333,44.900662251655625,44.900662251655625,16.224489795918377,3.7755102040816246,历史1/3次成功; 当前距低点3.78%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
