rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.34045260172915,84.66773618710862,300639,凯普生物,bottom_area,2024-06-14,5.03,2024-06-14,4.97,1.2072434607645974,2.8169014084507156,27.126099706744878,False,-0.9843,1.7503,4,4,4,100.0,17.09812514866608,33.27433628318583,6.792756539235404,1.2072434607645974,历史4/4次成功; 当前距低点1.21%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
2,89.27237990282434,84.52291338582678,605198,安德利,bottom_area,2024-06-14,28.83,2024-06-14,28.5,1.1578947368420993,1.5438596491228114,29.42050520059436,False,0.2086,0.3875,1,1,1,100.0,43.241469816272954,43.241469816272954,6.842105263157901,1.1578947368420993,历史1/1次成功; 当前距低点1.16%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,87.46174210522574,85.84582077302755,002761,浙江建投,bottom_area,2024-06-14,8.5,2024-06-06,8.25,3.0303030303030303,4.848484848484853,28.26086956521739,False,1.432,2.6506,6,6,6,100.0,23.305976785583134,43.73730534867976,4.96969696969697,3.0303030303030303,历史6/6次成功; 当前距低点3.03%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
4,85.61627375415287,82.9914285714286,002687,乔治白,bottom_area,2024-06-14,4.3,2024-06-06,4.2,2.3809523809523725,5.714285714285719,28.2051282051282,False,0.7026,1.0561,1,1,1,100.0,64.00000000000001,64.00000000000001,5.6190476190476275,2.3809523809523725,历史1/1次成功; 当前距低点2.38%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
5,84.36013391356745,80.35407564931191,605086,龙高股份,bottom_area,2024-06-14,17.25,2024-06-14,17.0,1.4705882352941175,2.941176470588235,31.257581884350994,False,-0.4042,1.1654,3,3,3,100.0,13.801165730013443,17.79249448123621,6.529411764705882,1.4705882352941175,历史3/3次成功; 当前距低点1.47%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
6,82.8584192141921,79.17099365104836,000999,华润三九,bottom_area,2024-06-14,46.05,2024-06-14,45.31,1.6331935555064994,2.714632531450004,31.181652490886997,False,0.3705,0.911,1,1,1,100.0,20.293951384963254,20.293951384963254,6.3668064444935,1.6331935555064994,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
7,82.69639221273933,82.01762565558961,002225,濮耐股份,bottom_area,2024-06-14,4.06,2024-06-06,3.92,3.5714285714285636,7.39795918367347,27.001862197392928,True,0.0,1.4969,3,3,3,100.0,16.830552679821142,29.457364341085263,4.428571428571437,3.5714285714285636,历史3/3次成功; 当前距低点3.57%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
8,82.23690301687226,80.61304315476194,600162,香江控股,bottom_area,2024-06-14,1.39,2024-06-13,1.35,2.962962962962949,5.925925925925914,29.687499999999993,False,2.2059,0.7728,2,2,2,100.0,27.68063822751323,28.90624999999999,5.0370370370370505,2.962962962962949,历史2/2次成功; 当前距低点2.96%; 最新日涨幅2.21%; 状态bottom_area; 底部未确认
9,82.0774373394504,79.62986669983442,603366,日出东方,bottom_area,2024-06-14,3.8,2024-06-06,3.71,2.4258760107816673,5.39083557951483,29.198473282442748,False,0.5291,0.5604,2,2,2,100.0,15.811096797938903,17.583732057416277,5.574123989218332,2.4258760107816673,历史2/2次成功; 当前距低点2.43%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
10,80.9542648303552,80.45376121352886,000705,浙江震元,bottom_area,2024-06-14,7.33,2024-06-06,7.07,3.677510608203674,5.799151343705801,27.26337448559671,False,0.6868,1.8536,3,3,3,100.0,18.916588173296947,34.04605263157895,4.322489391796326,3.677510608203674,历史3/3次成功; 当前距低点3.68%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
11,80.00431972747957,81.08545918325632,600322,津投城开,bottom_area,2024-06-14,1.56,2024-06-06,1.49,4.697986577181212,7.382550335570476,28.01932367149758,False,2.6316,2.2303,4,4,4,100.0,18.15520741521231,35.828877005347586,3.3020134228187876,4.697986577181212,历史4/4次成功; 当前距低点4.70%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
12,79.20167610650681,74.6790566037736,000420,吉林化纤,bottom_area,2024-06-14,3.21,2024-06-14,3.18,0.9433962264150882,2.201257861635215,30.41575492341357,False,-1.2308,1.4956,1,1,1,100.0,53.9249146757679,53.9249146757679,7.056603773584912,0.9433962264150882,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
13,78.13502848575712,73.56869565217391,600376,首开股份,bottom_area,2024-06-14,2.32,2024-06-13,2.3,0.8695652173913052,5.652173913043494,31.34328358208956,False,0.0,0.783,1,1,1,100.0,20.652173913043484,20.652173913043484,7.130434782608695,0.8695652173913052,历史1/1次成功; 当前距低点0.87%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,77.16740034109922,76.94650129432125,001322,箭牌家居,bottom_area,2024-06-14,8.36,2024-06-06,8.05,3.8509316770186173,6.211180124223602,28.634751773049633,False,0.9662,1.9709,2,2,2,100.0,18.85282536518115,26.897069872276486,4.149068322981383,3.8509316770186173,历史2/2次成功; 当前距低点3.85%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
15,76.96109187700793,76.95293792332069,300621,维业股份,bottom_area,2024-06-14,7.55,2024-06-06,7.26,3.9944903581267224,7.1625344352617155,32.02247191011236,True,0.3989,0.7907,1,1,1,100.0,28.120300751879686,28.120300751879686,4.005509641873277,3.9944903581267224,历史1/1次成功; 当前距低点3.99%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
16,76.66644069903565,76.36337976628174,002631,德尔未来,confirmed_rebound,2024-06-14,3.83,2024-06-06,3.69,3.794037940379407,10.569105691056913,27.075098814229243,True,-0.2604,0.563,2,2,2,100.0,38.51497994810097,47.77070063694268,4.205962059620593,3.794037940379407,历史2/2次成功; 当前距低点3.79%; 最新日涨幅-0.26%; 状态confirmed_rebound; 底部已确认
17,76.42775953822232,77.02736292606411,000995,皇台酒业,confirmed_rebound,2024-06-14,8.53,2024-06-06,8.17,4.406364749082001,11.260709914320685,29.93138936535163,True,-0.6985,1.4041,6,6,6,100.0,16.257390075113197,24.697644812221508,3.5936352509179996,4.406364749082001,历史6/6次成功; 当前距低点4.41%; 最新日涨幅-0.70%; 状态confirmed_rebound; 底部已确认
