rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.19875289575289,77.11107142857144,600429,三元股份,bottom_area,2025-01-09,4.07,2025-01-06,3.99,2.0050125313283225,6.265664160401002,31.79487179487179,False,-1.9277,0.6863,1,1,1,100.0,36.25000000000001,36.25000000000001,17.994987468671678,2.0050125313283225,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
2,87.45283580354659,76.91930095886173,000402,金融街,bottom_area,2025-01-09,3.14,2025-01-08,3.05,2.9508196721311575,4.918032786885258,30.995475113122172,False,0.3195,0.7454,1,1,1,100.0,24.339622641509433,24.339622641509433,17.049180327868843,2.9508196721311575,历史1/1次成功; 当前距低点2.95%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
3,87.15355244299123,77.22819586279132,002075,沙钢股份,bottom_area,2025-01-09,5.54,2025-01-08,5.36,3.358208955223875,8.395522388059689,29.842931937172768,False,0.0,2.5368,1,1,1,100.0,30.994152046783608,30.994152046783608,16.641791044776127,3.358208955223875,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,86.7249107957848,77.38764714076758,002489,浙江永强,bottom_area,2025-01-09,3.05,2025-01-06,2.94,3.7414965986394515,7.142857142857142,27.58620689655172,True,-0.974,0.959,1,1,1,100.0,49.82935153583616,49.82935153583616,16.25850340136055,3.7414965986394515,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-0.97%; 状态bottom_area; 底部已确认
5,86.46388580426111,76.32951407278495,002246,北化股份,bottom_area,2025-01-09,9.49,2025-01-06,9.2,3.1521739130434887,4.347826086956526,27.38752959747435,False,0.4233,1.1925,3,4,3,75.0,27.803605346903716,31.992687385740403,16.847826086956513,3.1521739130434887,历史3/4次成功; 当前距低点3.15%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
6,86.21462533064077,75.96596288257712,600231,凌钢股份,bottom_area,2025-01-09,1.69,2025-01-06,1.64,3.048780487804881,4.878048780487809,27.753303964757713,False,-0.5882,0.1738,2,2,2,100.0,26.221410724581972,29.302325581395344,16.95121951219512,3.048780487804881,历史2/2次成功; 当前距低点3.05%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
7,85.59049516976238,75.3283694733878,000567,海德股份,bottom_area,2025-01-09,6.21,2025-01-08,6.03,2.985074626865667,5.306799336650073,32.99999999999999,False,-0.4808,0.5221,1,1,1,100.0,38.67924528301886,38.67924528301886,17.014925373134336,2.985074626865667,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
8,84.17850799053167,74.14946345461067,300456,赛微电子,bottom_area,2025-01-09,16.31,2025-01-08,15.83,3.03221730890713,4.801010739102968,29.01345291479821,False,-0.3665,1.8133,1,1,1,100.0,32.91891891891892,32.91891891891892,16.96778269109287,3.03221730890713,历史1/1次成功; 当前距低点3.03%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
9,83.99009175019275,74.55989431954583,603185,弘元绿能,bottom_area,2025-01-09,15.56,2025-01-08,15.04,3.4574468085106473,7.047872340425547,30.20881670533643,True,0.2577,1.4959,4,6,4,66.66666666666666,30.893582668190593,43.51028702057404,16.542553191489354,3.4574468085106473,历史4/6次成功; 当前距低点3.46%; 最新日涨幅0.26%; 状态bottom_area; 底部已确认
10,82.7431443558298,71.94022767520242,605266,健之佳,bottom_area,2025-01-09,21.19,2025-01-08,20.71,2.3177209077740244,3.5248672139063277,27.536738978306502,False,-0.2824,1.3247,4,6,4,66.66666666666666,34.50518644226089,55.413271245634455,17.68227909222598,2.3177209077740244,历史4/6次成功; 当前距低点2.32%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
11,82.47252641060038,73.98040903540904,000839,国安股份,bottom_area,2025-01-09,2.84,2025-01-08,2.73,4.029304029304025,5.860805860805867,28.157894736842103,False,0.7092,1.0755,1,1,1,100.0,21.75925925925925,21.75925925925925,15.970695970695974,4.029304029304025,历史1/1次成功; 当前距低点4.03%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
12,80.61803870403772,69.27123338220018,600325,华发股份,bottom_area,2025-01-09,5.47,2025-01-08,5.38,1.672862453531596,2.9739776951672887,27.10027100271003,False,-0.3643,0.7602,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,18.327137546468407,1.672862453531596,历史2/3次成功; 当前距低点1.67%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
13,78.62134159783396,71.69517579040574,000036,华联控股,bottom_area,2025-01-09,3.83,2025-01-06,3.65,4.931506849315073,6.301369863013698,29.94241842610365,False,1.3228,1.1736,1,1,1,100.0,20.532319391634985,20.532319391634985,15.068493150684928,4.931506849315073,历史1/1次成功; 当前距低点4.93%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
14,76.8489651028661,68.7396359411309,605577,龙版传媒,bottom_area,2025-01-09,13.41,2025-01-06,12.91,3.8729666924864445,5.577072037180486,32.05263157894736,False,0.2242,0.8935,2,4,2,50.0,50.62209104325122,80.80939947780678,16.127033307513557,3.8729666924864445,历史2/4次成功; 当前距低点3.87%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
15,76.02047421881726,66.16088819723002,002761,浙江建投,bottom_area,2025-01-09,8.2,2025-01-08,8.01,2.372034956304613,3.7453183520599342,28.482142857142854,False,0.0,1.0913,3,7,3,42.857142857142854,33.213437237505204,43.73730534867976,17.627965043695387,2.372034956304613,历史3/7次成功; 当前距低点2.37%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,75.83401775692572,66.93194436143362,688135,利扬芯片,bottom_area,2025-01-09,16.09,2025-01-08,15.6,3.1410256410256423,5.705128205128197,27.97783933518006,False,0.1868,1.8126,2,4,2,50.0,31.309047435333802,40.41850220264317,16.85897435897436,3.1410256410256423,历史2/4次成功; 当前距低点3.14%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
17,74.96897218454411,66.3038962764637,688318,财富趋势,bottom_area,2025-01-09,153.94,2025-01-08,149.09,3.2530686162720466,6.640284391978003,28.960785248010673,False,-0.3754,1.4008,3,5,3,60.0,30.11232646002135,36.949152542372886,16.746931383727954,3.2530686162720466,历史3/5次成功; 当前距低点3.25%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
18,74.50509402980558,65.56582196301794,600199,金种子酒,bottom_area,2025-01-09,11.75,2025-01-08,11.41,2.9798422436459235,4.645048203330406,27.232142857142854,False,0.3416,1.1667,2,4,2,50.0,21.988506873820672,23.70304114490161,17.020157756354077,2.9798422436459235,历史2/4次成功; 当前距低点2.98%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
19,74.1822301378039,67.20469363969363,002375,亚厦股份,bottom_area,2025-01-09,3.66,2025-01-06,3.5,4.571428571428576,5.999999999999999,29.149797570850204,False,0.0,0.6019,2,3,2,66.66666666666666,30.864968364968366,36.9047619047619,15.428571428571425,4.571428571428576,历史2/3次成功; 当前距低点4.57%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
20,72.51939838284224,63.39916441811177,601865,福莱特,bottom_area,2025-01-09,19.2,2025-01-06,18.71,2.618920363442001,5.451630144307854,30.2386278896346,False,0.0521,0.6566,1,2,1,50.0,39.24894003634159,39.24894003634159,17.381079636558,2.618920363442001,历史1/2次成功; 当前距低点2.62%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
21,70.84910843363072,61.525430812678536,002495,佳隆股份,bottom_area,2025-01-09,2.27,2025-01-08,2.22,2.2522522522522443,5.40540540540539,27.6872964169381,False,-2.1552,8.4906,2,5,2,40.0,35.48691369792286,38.07339449541283,17.747747747747756,2.2522522522522443,历史2/5次成功; 当前距低点2.25%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
22,70.53900113021373,64.27591807134252,000155,川能动力,bottom_area,2025-01-09,10.94,2025-01-02,10.43,4.889741131351868,6.711409395973164,27.569444444444446,False,-1.5302,1.0376,2,3,2,66.66666666666666,41.493877334183324,45.280898876404486,15.110258868648133,4.889741131351868,历史2/3次成功; 当前距低点4.89%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
23,70.28410529006574,59.28385354056809,300347,泰格医药,bottom_area,2025-01-09,50.25,2025-01-08,49.92,0.6610576923076888,3.9863782051281946,27.75687409551374,False,-0.495,1.9987,2,4,2,50.0,22.102500424890394,23.423271500843175,19.33894230769231,0.6610576923076888,历史2/4次成功; 当前距低点0.66%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
24,69.69973908544829,63.61947348984886,002819,东方中科,bottom_area,2025-01-09,25.07,2025-01-06,23.88,4.983249581239536,6.1976549413735365,28.072289156626518,False,0.1998,1.3739,2,4,2,50.0,36.08216416706984,51.677148846960186,15.016750418760466,4.983249581239536,历史2/4次成功; 当前距低点4.98%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
