rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,73.05018561887417,63.161295862607346,301408,华人健康,bottom_area,2026-01-19,21.78,29.76,2026-01-19,21.35,2.0140515222482422,4.777517564402808,28.259408602150536,26.814516129032256,False,1.1612,20.5777,1,3,1,33.33333333333333,63.068493150684944,63.068493150684944,17.98594847775176,2.0140515222482422,历史1/3次成功; 当前距低点2.01%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
13,68.75808056834543,62.21048935981569,000572,海马汽车,bottom_area,2026-01-19,7.43,10.2,2026-01-16,7.11,4.500703234880441,5.485232067510544,30.294117647058815,27.15686274509804,False,3.4819,7.7402,3,8,3,37.5,49.67522975990913,95.5116696588869,15.49929676511956,4.500703234880441,历史3/8次成功; 当前距低点4.50%; 最新日涨幅3.48%; 状态bottom_area; 底部未确认
14,68.62475343772994,59.12707760370346,002324,普利特,bottom_area,2026-01-19,19.0,25.66,2026-01-19,18.66,1.822079314040728,3.4833869239013855,27.279812938425565,25.954793452844893,False,0.7423,5.443,1,3,1,33.33333333333333,25.957446808510653,25.957446808510653,18.177920685959272,1.822079314040728,历史1/3次成功; 当前距低点1.82%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
15,65.14602213626854,56.5954411503065,002792,通宇通讯,bottom_area,2026-01-19,51.27,73.35,2026-01-19,50.13,2.274087372830641,5.6852184320765895,31.6564417177914,30.10224948875255,False,-0.8509,21.401,1,3,1,33.33333333333333,40.36036036036037,40.36036036036037,17.72591262716936,2.274087372830641,历史1/3次成功; 当前距低点2.27%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
16,64.28303360236495,58.244810163406335,603069,海汽集团,bottom_area,2026-01-19,23.98,31.58,2026-01-16,22.93,4.579153946794595,5.800261665939825,27.390753641545277,24.06586447118429,False,3.7646,4.7079,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,15.420846053205405,4.579153946794595,历史2/7次成功; 当前距低点4.58%; 最新日涨幅3.76%; 状态bottom_area; 底部未确认
17,63.488531771869056,55.56801605114601,002347,泰尔股份,bottom_area,2026-01-19,10.72,14.54,2026-01-19,10.44,2.681992337164762,3.7356321839080517,28.198074277854197,26.27235213204951,False,0.6573,11.0275,1,5,1,20.0,29.585798816568047,29.585798816568047,17.31800766283524,2.681992337164762,历史1/5次成功; 当前距低点2.68%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
18,63.10310467130054,52.762869206145034,600151,航天机电,bottom_area,2026-01-19,16.4,22.8,2026-01-19,16.37,0.18326206475258144,8.124618204031755,28.20175438596491,28.0701754385965,False,-9.8406,16.8387,1,2,1,50.0,24.734982332155468,24.734982332155468,19.81673793524742,0.18326206475258144,历史1/2次成功; 当前距低点0.18%; 最新日涨幅-9.84%; 状态bottom_area; 底部未确认
19,62.660149279717146,56.80229892474647,300705,九典制药,bottom_area,2026-01-19,15.67,20.66,2025-12-30,14.98,4.606141522029369,8.277703604806398,27.49273959341723,24.15295256534366,True,-0.3181,1.5746,1,2,1,50.0,41.42097631706138,41.42097631706138,15.393858477970632,4.606141522029369,历史1/2次成功; 当前距低点4.61%; 最新日涨幅-0.32%; 状态bottom_area; 底部已确认
20,61.39026578073091,51.15855481727576,000592,平潭发展,bottom_area,2026-01-19,11.29,16.6,2026-01-19,11.29,0.0,0.0,31.987951807228924,31.987951807228924,False,-9.9681,1.6174,1,4,1,25.0,46.9545957918051,46.9545957918051,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
21,60.798042065958676,55.36659249355095,600161,天坛生物,bottom_area,2026-01-19,16.84,22.08,2025-12-24,16.06,4.856787048567878,9.464508094645078,27.264492753623188,23.73188405797101,True,-0.0593,0.4044,1,2,1,50.0,36.77455357142857,36.77455357142857,15.143212951432123,4.856787048567878,历史1/2次成功; 当前距低点4.86%; 最新日涨幅-0.06%; 状态bottom_area; 底部已确认
22,60.41019416012927,50.56637349324381,000547,航天发展,bottom_area,2026-01-19,28.9,40.65,2026-01-19,28.83,0.2428026361429077,5.306971904266393,29.077490774907748,28.90528905289053,False,-4.9342,13.9603,1,4,1,25.0,34.489051094890506,34.489051094890506,19.75719736385709,0.2428026361429077,历史1/4次成功; 当前距低点0.24%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
