rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.42567927355161,80.94086692261925,688349,三一重能,bottom_area,2024-10-16,25.55,2024-10-16,25.16,1.5500794912559641,4.29252782193958,27.325245522819174,False,0.0392,1.6198,1,1,1,100.0,28.790581519800213,28.790581519800213,13.449920508744034,1.5500794912559641,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
2,88.54147403198454,78.77078402650186,300595,欧普康视,bottom_area,2024-10-16,18.22,2024-10-16,18.0,1.2222222222222159,3.7777777777777763,27.594529364440866,False,-1.3001,1.8592,2,2,2,100.0,18.911025232088786,19.855715871254166,13.777777777777784,1.2222222222222159,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
3,87.44314670857534,77.53076762548073,300763,锦浪科技,bottom_area,2024-10-16,69.89,2024-10-16,69.17,1.0409136909064607,3.9323406100910785,29.266796195930056,False,-2.538,2.6937,3,4,3,75.0,30.855112047029355,36.020348268440614,13.959086309093538,1.0409136909064607,历史3/4次成功; 当前距低点1.04%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
4,86.31178588041672,78.11063624370476,688226,威腾电气,bottom_area,2024-10-16,16.72,2024-10-16,16.37,2.1380574221136097,4.703726328649966,27.244444444444436,False,0.0,1.8691,1,1,1,100.0,20.78175895765472,20.78175895765472,12.86194257788639,2.1380574221136097,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,86.15983277149128,75.64987577639752,688166,博瑞医药,bottom_area,2024-10-16,29.13,2024-10-16,28.98,0.5175983436852952,4.140786749482399,29.983087702343564,False,-1.5878,2.8867,1,1,1,100.0,50.993377483443716,50.993377483443716,14.482401656314703,0.5175983436852952,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
6,85.58346442049184,79.90233509065192,300510,金冠股份,bottom_area,2024-10-16,4.36,2024-10-11,4.2,3.809523809523813,8.809523809523812,27.835051546391753,True,-0.9091,3.2095,3,3,3,100.0,30.849727829925854,40.000000000000014,11.190476190476186,3.809523809523813,历史3/3次成功; 当前距低点3.81%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
7,84.50121633676287,75.93799556076205,688255,凯尔达,bottom_area,2024-10-16,20.21,2024-10-11,19.86,1.7623363544813766,9.214501510574028,27.834302325581394,True,-2.2727,1.3615,1,1,1,100.0,17.774851876234372,17.774851876234372,13.237663645518621,1.7623363544813766,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-2.27%; 状态bottom_area; 底部已确认
8,82.16241438516494,72.45245486750423,688358,祥生医疗,bottom_area,2024-10-16,22.87,2024-10-16,22.7,0.7488986784141044,3.4361233480176265,28.232690483717988,False,-1.8033,0.6624,3,4,3,75.0,39.8115260983247,68.06588735387884,14.251101321585896,0.7488986784141044,历史3/4次成功; 当前距低点0.75%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
9,80.35245400258904,71.15493506493506,300723,一品红,bottom_area,2024-10-16,15.55,2024-10-16,15.4,0.9740259740259762,3.31168831168831,27.76735459662289,False,-1.2698,1.1845,1,1,1,100.0,31.428571428571427,31.428571428571427,14.025974025974023,0.9740259740259762,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
10,79.76075392288911,72.38791112329432,688315,诺禾致源,bottom_area,2024-10-16,11.61,2024-10-14,11.35,2.2907488986784124,8.01762114537445,27.70700636942675,True,-0.4288,0.7177,3,5,3,60.0,41.83235813054352,86.2826357231662,12.709251101321586,2.2907488986784124,历史3/5次成功; 当前距低点2.29%; 最新日涨幅-0.43%; 状态bottom_area; 底部已确认
11,79.71702819118913,71.35166103532362,688236,春立医疗,bottom_area,2024-10-16,12.47,2024-10-16,12.28,1.5472312703583169,3.583061889250825,29.18108419838524,False,-1.5008,3.479,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,13.452768729641681,1.5472312703583169,历史2/3次成功; 当前距低点1.55%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
