rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.53068402201214,82.16425086666885,300765,新诺威,bottom_area,2024-07-04,22.99,2024-07-03,22.6,1.725663716814146,7.079646017699106,28.997800816839455,False,-0.8197,0.6881,3,3,3,100.0,26.66002226346828,28.947368421052634,18.274336283185853,1.725663716814146,历史3/3次成功; 当前距低点1.73%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
2,91.76484216387092,78.1387318087318,001218,丽臣实业,bottom_area,2024-07-04,14.6,2024-06-24,14.43,1.1781011781011776,6.1677061677061715,27.121212121212125,False,-3.1188,1.3204,2,2,2,100.0,25.18711018711019,29.999999999999993,18.821898821898824,1.1781011781011776,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
3,91.35872299309425,77.99742497554445,000862,银星能源,bottom_area,2024-07-04,4.6,2024-07-04,4.54,1.3215859030836918,4.625550660792951,29.062500000000004,False,-2.5424,1.7743,1,1,1,100.0,32.63785394932937,32.63785394932937,18.67841409691631,1.3215859030836918,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
4,90.07758329430197,77.19512759279475,002345,潮宏基,bottom_area,2024-07-04,4.65,2024-07-04,4.58,1.5283842794759888,4.803493449781654,30.28919330289194,False,-2.5157,0.7751,1,1,1,100.0,30.859375,30.859375,18.471615720524014,1.5283842794759888,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
5,90.0527291025337,75.71780487804875,002687,乔治白,bottom_area,2024-07-04,4.12,2024-06-24,4.1,0.48780487804879175,4.390243902439039,29.914529914529915,False,-1.9048,1.1134,1,1,1,100.0,64.00000000000001,64.00000000000001,19.51219512195121,0.48780487804879175,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
6,90.05045168164638,75.36075444786428,301332,德尔玛,bottom_area,2024-07-04,8.67,2024-07-04,8.65,0.23121387283236502,3.468208092485537,31.458003169572102,False,-2.6936,0.952,1,1,1,100.0,44.935064935064936,44.935064935064936,19.768786127167637,0.23121387283236502,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
7,89.86167411265907,76.83670002129021,001308,康冠科技,bottom_area,2024-07-04,21.65,2024-06-24,21.35,1.4051522248243427,6.557377049180321,28.66688940862011,False,-2.4775,2.2456,1,1,1,100.0,27.421758569299566,27.421758569299566,18.59484777517566,1.4051522248243427,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
8,89.048568258555,74.38995735821055,605567,春雪食品,bottom_area,2024-07-04,7.46,2024-07-04,7.45,0.13422818791946023,4.6979865771812035,27.529182879377423,False,-4.2362,2.2251,2,2,2,100.0,32.07525605734906,36.46616541353383,19.865771812080542,0.13422818791946023,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
9,88.99933803459868,75.85694873933409,600295,鄂尔多斯,bottom_area,2024-07-04,9.87,2024-06-27,9.75,1.2307692307692228,4.5128205128205074,27.61692650334076,False,-0.9036,0.202,1,1,1,100.0,20.016680567139286,20.016680567139286,18.769230769230777,1.2307692307692228,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
10,88.77576380276331,74.33469973890341,002015,协鑫能科,bottom_area,2024-07-04,7.68,2024-07-04,7.66,0.26109660574411975,4.569190600522188,28.007518796992482,False,-3.7594,0.7421,1,1,1,100.0,65.95380667236954,65.95380667236954,19.73890339425588,0.26109660574411975,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
11,87.82728514735834,73.93831912405517,002219,新里程,bottom_area,2024-07-04,1.81,2024-07-04,1.8,0.555555555555556,5.555555555555548,31.034482758620683,False,-4.7368,0.7857,2,2,2,100.0,34.81175156302061,45.685279187817265,19.444444444444446,0.555555555555556,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
