rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.94677359813578,80.5860337299326,601689,拓普集团,bottom_area,2024-02-02,47.19,2024-02-02,45.88,2.855274629468167,9.590235396687007,30.358227079538548,False,-4.6089,1.3124,4,4,4,100.0,25.570214436129103,47.99107142857144,7.144725370531833,2.855274629468167,历史4/4次成功; 当前距低点2.86%; 最新日涨幅-4.61%; 状态bottom_area; 底部未确认
2,83.8366704724245,78.29454437699866,000532,华金资本,bottom_area,2024-02-02,12.22,2024-02-02,12.05,1.410788381742738,9.875518672199165,30.225825130283724,False,-8.7379,11.9097,2,2,2,100.0,28.877106921355356,32.044198895027606,8.589211618257263,1.410788381742738,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
3,83.72643455163882,76.11494050148983,002116,中国海诚,bottom_area,2024-02-02,10.33,2024-02-02,10.33,0.0,4.54985479186835,28.758620689655174,False,-10.0174,11.5425,4,4,4,100.0,18.62871237360116,30.169830169830163,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
4,81.16925471124054,77.66368073329362,002723,小崧股份,confirmed_rebound,2024-02-02,6.89,2024-02-02,6.71,2.6825633383010388,16.840536512667658,30.824742268041234,False,-7.6408,4.9132,4,4,4,100.0,17.956586799032102,24.489795918367328,7.317436661698961,2.6825633383010388,历史4/4次成功; 当前距低点2.68%; 最新日涨幅-7.64%; 状态confirmed_rebound; 底部未确认
5,81.11486895424022,78.26299171723234,603198,迎驾贡酒,bottom_area,2024-02-02,50.22,2024-02-02,48.7,3.121149897330587,6.981519507186855,27.86253888312843,False,0.44,0.7439,1,1,1,100.0,33.65168539325842,33.65168539325842,6.878850102669413,3.121149897330587,历史1/1次成功; 当前距低点3.12%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
6,79.86983684647218,74.64870152064822,002715,登云股份,confirmed_rebound,2024-02-02,10.48,2024-02-02,10.33,1.4520813165537305,14.23039690222653,27.762237762237767,False,-8.7108,2.9356,1,1,1,100.0,36.66369313113291,36.66369313113291,8.547918683446271,1.4520813165537305,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-8.71%; 状态confirmed_rebound; 底部未确认
7,79.73137093929125,77.11098275292683,688005,容百科技,confirmed_rebound,2024-02-02,26.72,2024-02-02,25.88,3.2457496136012365,10.43276661514683,29.289617486338805,False,-4.911,2.2657,4,4,4,100.0,21.88866597815933,38.76758854924795,6.7542503863987635,3.2457496136012365,历史4/4次成功; 当前距低点3.25%; 最新日涨幅-4.91%; 状态confirmed_rebound; 底部未确认
8,79.35285510760401,74.48212466547332,002129,TCL中环,confirmed_rebound,2024-02-02,11.53,2024-02-02,11.34,1.675485008818338,10.934744268077603,28.045685279187815,False,-8.4921,5.0229,2,2,2,100.0,21.839948847199626,31.12759643916912,8.324514991181662,1.675485008818338,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-8.49%; 状态confirmed_rebound; 底部未确认
9,79.17400048882838,76.69981297355247,002186,全聚德,bottom_area,2024-02-02,9.61,2024-02-02,9.3,3.3333333333333193,9.35483870967741,27.400468384074937,False,-2.7328,3.9827,3,3,3,100.0,16.988241793292634,23.20675105485231,6.666666666666682,3.3333333333333193,历史3/3次成功; 当前距低点3.33%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
10,78.96434148190437,72.06173771849764,603315,福鞍股份,confirmed_rebound,2024-02-02,9.97,2024-02-02,9.95,0.20100502512564172,12.864321608040214,29.83074753173484,False,-9.8553,3.2207,2,2,2,100.0,30.59155470851666,41.68490153172865,9.79899497487436,0.20100502512564172,历史2/2次成功; 当前距低点0.20%; 最新日涨幅-9.86%; 状态confirmed_rebound; 底部未确认
11,78.92919388839243,76.44473984347935,002806,华锋股份,confirmed_rebound,2024-02-02,8.4,2024-02-02,8.13,3.321033210332098,14.637146371463707,27.733333333333327,False,-5.8296,4.3844,4,4,4,100.0,19.229546037830822,34.66407010710809,6.6789667896679035,3.321033210332098,历史4/4次成功; 当前距低点3.32%; 最新日涨幅-5.83%; 状态confirmed_rebound; 底部未确认
