rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.57582249815385,85.36157669138326,688188,柏楚电子,bottom_area,2025-06-13,139.5,2025-06-11,136.66,2.078150153666035,2.2976730572223145,31.8675840063815,False,0.9407,0.4896,3,3,3,100.0,25.69762925667648,34.07281509974057,5.9218498463339655,2.078150153666035,历史3/3次成功; 当前距低点2.08%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
2,88.42680158378596,85.38107662104188,300346,南大光电,bottom_area,2025-06-13,30.5,2025-06-13,29.85,2.1775544388609664,3.115577889447235,27.513355998057303,False,0.3289,3.7068,3,3,3,100.0,27.020971729273548,46.69811320754715,5.822445561139034,2.1775544388609664,历史3/3次成功; 当前距低点2.18%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
3,88.2361053574157,81.87628488251882,000811,冰轮环境,bottom_area,2025-06-13,8.95,2025-06-13,8.94,0.11185682326621685,2.572706935123047,30.643910007757956,False,-2.6115,2.3163,5,5,5,100.0,28.501712040676264,47.451868629671566,7.8881431767337835,0.11185682326621685,历史5/5次成功; 当前距低点0.11%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
4,85.38177156680008,80.84508293859344,001311,多利科技,bottom_area,2025-06-13,20.03,2025-06-10,19.8,1.1616161616161638,5.707070707070702,31.794695142955565,False,-1.9099,4.2373,2,2,2,100.0,29.32025691977575,46.9244288224956,6.8383838383838365,1.1616161616161638,历史2/2次成功; 当前距低点1.16%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
5,83.64248802522317,81.29908307194118,300553,集智股份,bottom_area,2025-06-13,36.58,2025-06-13,35.68,2.5224215246636734,6.446188340807167,27.641452038126147,False,-2.5832,3.4123,4,4,4,100.0,15.10862445255024,17.361392148927557,5.477578475336327,2.5224215246636734,历史4/4次成功; 当前距低点2.52%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
6,83.16555153964168,81.2486346012528,300697,电工合金,bottom_area,2025-06-13,11.8,2025-06-10,11.48,2.7874564459930338,6.271777003484311,27.43362831858407,False,-2.5599,3.5212,4,4,4,100.0,18.086211280198423,31.64400494437578,5.212543554006967,2.7874564459930338,历史4/4次成功; 当前距低点2.79%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
7,83.11426364669369,77.15097322592145,603198,迎驾贡酒,bottom_area,2025-06-13,38.43,2025-06-13,38.38,0.13027618551328077,2.7879103699843677,28.688219992567817,False,-2.6349,1.198,2,2,2,100.0,36.655929725224325,39.66017405719024,7.869723814486719,0.13027618551328077,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
8,82.92628977115396,78.62272982295038,002041,登海种业,bottom_area,2025-06-13,9.88,2025-06-03,9.76,1.2295081967213217,6.249999999999995,28.023598820059004,False,-0.8032,0.9844,2,2,2,100.0,18.2043468358871,21.395106715252467,6.770491803278679,1.2295081967213217,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
9,82.68596661314126,77.38911184674204,000715,中兴商业,bottom_area,2025-06-13,5.4,2025-06-13,5.37,0.5586592178770996,3.910614525139664,29.34210526315789,False,-3.2258,2.6385,4,4,4,100.0,20.069112169364704,29.105691056910565,7.4413407821229,0.5586592178770996,历史4/4次成功; 当前距低点0.56%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
10,82.02251316908412,78.20315317863684,300819,聚杰微纤,bottom_area,2025-06-13,21.36,2025-06-13,21.04,1.5209125475285186,3.9923954372623567,32.12903225806452,False,-2.8207,2.8614,2,2,2,100.0,19.520611758074537,26.54716175842936,6.479087452471481,1.5209125475285186,历史2/2次成功; 当前距低点1.52%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
11,81.95167808622696,77.49113140676118,603577,汇金通,bottom_area,2025-06-13,9.27,2025-06-13,9.17,1.0905125408942165,3.3805888767720886,28.69362363919129,False,-2.9319,5.6752,1,1,1,100.0,27.083333333333325,27.083333333333325,6.909487459105784,1.0905125408942165,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
