rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.67109410963211,84.9770949689176,301381,赛维时代,bottom_area,2025-04-08,18.08,2025-04-08,17.58,2.8441410693970424,6.655290102389088,28.44932844932846,False,1.8018,2.4312,2,2,2,100.0,49.686755952380956,66.46875000000001,12.155858930602957,2.8441410693970424,历史2/2次成功; 当前距低点2.84%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
2,91.00983732169472,81.08243644879711,002636,金安国纪,bottom_area,2025-04-08,7.02,2025-04-08,6.93,1.2987012987012967,10.822510822510822,28.99590163934426,False,-8.8312,2.9747,2,2,2,100.0,42.49180327868853,69.0,13.701298701298704,1.2987012987012967,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-8.83%; 状态bottom_area; 底部未确认
3,90.54693070988525,80.83878041851216,605068,明新旭腾,bottom_area,2025-04-08,12.94,2025-04-08,12.76,1.4106583072100292,9.404388714733551,29.619415333701042,False,-8.7447,3.466,2,2,2,100.0,42.554200854575384,50.84621044885945,13.589341692789969,1.4106583072100292,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
4,90.39119428984078,81.35391544717905,301577,美信科技,bottom_area,2025-04-08,44.2,2025-04-08,43.4,1.8433179723502402,5.599078341013825,32.07074659571138,False,0.4317,5.4408,2,2,2,100.0,17.939142065255847,20.630568882796446,13.15668202764976,1.8433179723502402,历史2/2次成功; 当前距低点1.84%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
5,90.34107746440549,85.00164728671658,300545,联得装备,bottom_area,2025-04-08,26.14,2025-04-08,25.08,4.226475279106867,9.569377990430631,31.193415637860095,False,1.1219,7.3723,4,4,4,100.0,33.43016625311952,49.416135881104026,10.773524720893132,4.226475279106867,历史4/4次成功; 当前距低点4.23%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
6,89.28559093290947,81.94594059405942,000628,高新发展,bottom_area,2025-04-08,39.49,2025-04-08,38.38,2.8921313183949957,6.878582595101617,29.7069597069597,False,-4.3362,6.1118,3,3,3,100.0,50.322228985477345,99.77973568281939,12.107868681605003,2.8921313183949957,历史3/3次成功; 当前距低点2.89%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
7,89.17949988360931,79.16106315282018,002448,中原内配,bottom_area,2025-04-08,6.42,2025-04-08,6.35,1.102362204724414,10.078740157480324,30.143014301430142,False,-8.9362,8.7713,2,2,2,100.0,29.755102040816322,42.17687074829931,13.897637795275585,1.102362204724414,历史2/2次成功; 当前距低点1.10%; 最新日涨幅-8.94%; 状态bottom_area; 底部未确认
8,89.05588099617304,81.27032084773462,002700,万憬能源,bottom_area,2025-04-08,8.33,2025-04-08,8.12,2.586206896551735,5.418719211822676,30.300429184549365,False,1.7094,1.9024,2,2,2,100.0,26.59608909608909,29.54545454545454,12.413793103448265,2.586206896551735,历史2/2次成功; 当前距低点2.59%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
9,88.400689585328,80.37428624058882,300471,厚普股份,confirmed_rebound,2025-04-08,7.29,2025-04-07,7.12,2.387640449438201,18.25842696629213,30.73929961089494,True,2.3876,2.6652,2,2,2,100.0,20.366163791978032,20.386007237635724,12.612359550561797,2.387640449438201,历史2/2次成功; 当前距低点2.39%; 最新日涨幅2.39%; 状态confirmed_rebound; 底部已确认
10,87.811704274445,80.82086956521736,300337,银邦股份,confirmed_rebound,2025-04-08,9.48,2025-04-07,9.2,3.043478260869578,15.760869565217403,29.50191570881227,False,3.0435,5.0701,4,5,4,80.0,51.38046630670999,131.5277777777778,11.956521739130421,3.043478260869578,历史4/5次成功; 当前距低点3.04%; 最新日涨幅3.04%; 状态confirmed_rebound; 底部未确认
11,87.66630170134563,80.8002510960159,300411,金盾股份,confirmed_rebound,2025-04-08,10.25,2025-04-07,9.94,3.118712273641856,17.706237424547282,30.586592178770957,True,3.1187,4.6021,2,2,2,100.0,31.617823010318947,33.550488599348526,11.881287726358144,3.118712273641856,历史2/2次成功; 当前距低点3.12%; 最新日涨幅3.12%; 状态confirmed_rebound; 底部已确认
