rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.11856467446307,88.52043443360283,300437,清水源,bottom_area,2022-09-19,17.71,2022-09-19,17.4,1.781609195402312,2.5287356321839156,29.354445797807553,False,0.3968,1.6898,6,6,6,100.0,22.379050532903687,30.330330330330323,8.21839080459769,1.781609195402312,历史6/6次成功; 当前距低点1.78%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,88.50571683048074,81.86324731755106,600367,红星发展,bottom_area,2022-09-19,18.93,2022-09-19,18.76,0.9061833688699261,2.7718550106609783,27.483571704677228,False,0.5845,2.2478,4,4,4,100.0,15.695405368679975,24.161490683229793,9.093816631130075,0.9061833688699261,历史4/4次成功; 当前距低点0.91%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
3,87.3899718787766,82.19433027181377,600215,派斯林,bottom_area,2022-09-19,6.85,2022-09-16,6.73,1.7830609212481308,4.606240713224363,29.1578947368421,False,1.7831,0.9942,2,2,2,100.0,21.718866517524237,23.993288590604024,8.216939078751869,1.7830609212481308,历史2/2次成功; 当前距低点1.78%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
4,85.33197246151764,79.49915409073034,300484,蓝海华腾,bottom_area,2022-09-19,11.04,2022-09-19,10.9,1.2844036697247594,3.6697247706422047,28.52459016393442,False,-0.5405,1.7624,2,2,2,100.0,23.589217514531214,28.708133971291865,8.715596330275241,1.2844036697247594,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
5,85.04154869800108,79.92112670206998,002012,凯恩股份,bottom_area,2022-09-19,5.26,2022-09-19,5.17,1.7408123791102486,2.5145067698259167,31.523178807947016,False,0.9597,3.019,1,1,1,100.0,25.646123260437374,25.646123260437374,8.259187620889751,1.7408123791102486,历史1/1次成功; 当前距低点1.74%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
6,84.40026675196387,79.08174119946464,603315,福鞍股份,bottom_area,2022-09-19,19.88,2022-09-19,19.57,1.584057230454771,3.2192130812468007,29.324665944384254,False,-1.0453,0.4271,1,1,1,100.0,41.68490153172865,41.68490153172865,8.415942769545229,1.584057230454771,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
7,83.82236426961053,80.62913134505393,300508,维宏股份,bottom_area,2022-09-19,21.21,2022-09-19,20.6,2.9611650485436862,5.436893203883483,30.849278281302446,False,0.2837,1.5674,2,2,2,100.0,27.74509492329859,42.06627680311891,7.038834951456314,2.9611650485436862,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
8,83.62564714250202,77.7026524991691,000936,华西股份,bottom_area,2022-09-19,5.3,2022-09-19,5.24,1.1450381679389239,2.2900763358778646,29.284750337381915,False,-1.1194,0.7964,2,2,2,100.0,12.222255494999095,13.427561837455826,8.854961832061077,1.1450381679389239,历史2/2次成功; 当前距低点1.15%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
9,82.51907344650184,77.4960321972753,688018,乐鑫科技,bottom_area,2022-09-19,85.95,2022-09-19,84.51,1.703940362087324,3.1120577446455986,27.769230769230763,False,-1.2296,0.9265,1,1,1,100.0,34.629119477604306,34.629119477604306,8.296059637912677,1.703940362087324,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
10,82.4191011731505,75.15629975873964,603229,奥翔药业,bottom_area,2022-09-19,24.97,2022-09-19,24.93,0.1604492579221787,2.166064981949455,28.669527896995717,False,-1.3823,1.1911,2,2,2,100.0,26.30174229463547,41.48479427549196,9.839550742077822,0.1604492579221787,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
11,81.86533749978811,77.02567141945093,300376,易事特,bottom_area,2022-09-19,6.78,2022-09-19,6.66,1.8018018018018036,1.9519519519519504,29.14893617021277,False,1.3453,0.6389,1,1,1,100.0,10.826771653543304,10.826771653543304,8.198198198198197,1.8018018018018036,历史1/1次成功; 当前距低点1.80%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
