rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
19,73.55001660723681,74.97453272908952,301510,固高科技,bottom_area,2024-08-30,20.8,2024-08-21,19.81,4.997476022211015,7.3700151438667385,28.91998564764981,True,0.0,1.9163,2,2,2,100.0,13.11170999855176,16.010654039656714,3.0025239777889854,4.997476022211015,历史2/2次成功; 当前距低点5.00%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
20,73.34891357578113,72.76927948808384,600166,福田汽车,bottom_area,2024-08-30,2.31,2024-08-28,2.23,3.587443946188344,6.278026905829602,27.5974025974026,False,0.8734,1.7465,1,1,1,100.0,9.831460674157306,9.831460674157306,4.412556053811656,3.587443946188344,历史1/1次成功; 当前距低点3.59%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
21,73.20717251924692,74.25241091829504,600262,北方股份,bottom_area,2024-08-30,16.14,2024-08-29,15.41,4.737183646982482,6.55418559377029,31.48065807025344,False,1.4456,3.3216,2,2,2,100.0,15.232202330188693,17.269624573378834,3.2628163530175183,4.737183646982482,历史2/2次成功; 当前距低点4.74%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
22,72.98695421411928,73.61158799540759,600183,生益科技,bottom_area,2024-08-30,17.63,2024-08-29,16.88,4.443127962085308,7.2274881516587826,29.519832985386223,True,1.3801,1.2962,3,4,3,75.0,19.822149187968265,25.158227848101262,3.556872037914692,4.443127962085308,历史3/4次成功; 当前距低点4.44%; 最新日涨幅1.38%; 状态bottom_area; 底部已确认
23,72.52278758789195,73.70292677099776,301509,金凯生科,bottom_area,2024-08-30,26.43,2024-08-28,25.21,4.839349464498211,6.227687425624754,29.6792189679219,False,1.4587,3.8208,2,2,2,100.0,13.530341666955287,15.05054819877544,3.160650535501789,4.839349464498211,历史2/2次成功; 当前距低点4.84%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
24,72.10301700861423,72.20667422446665,600997,开滦股份,bottom_area,2024-08-30,6.13,2024-07-30,5.89,4.074702886247882,6.451612903225805,30.70588235294118,False,0.3273,0.5425,1,1,1,100.0,12.77955271565495,12.77955271565495,3.9252971137521184,4.074702886247882,历史1/1次成功; 当前距低点4.07%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
25,71.9621334131645,73.18671892428034,300751,迈为股份,bottom_area,2024-08-30,81.71,2024-08-28,77.91,4.877422667180077,6.738544474393532,27.89449329014345,False,1.239,2.1161,2,2,2,100.0,11.22173443790815,13.004138993165853,3.122577332819924,4.877422667180077,历史2/2次成功; 当前距低点4.88%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
26,70.36913089614346,71.04701063060055,301518,长华化学,bottom_area,2024-08-30,14.17,2024-08-28,13.56,4.4985250737463085,5.752212389380526,28.21598729486501,False,1.5043,1.8322,1,1,1,100.0,11.740041928721173,11.740041928721173,3.5014749262536915,4.4985250737463085,历史1/1次成功; 当前距低点4.50%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
27,69.10884314321224,70.1486943775142,002140,东华科技,bottom_area,2024-08-30,6.8,2024-08-23,6.49,4.776579352850533,5.855161787365176,27.888888888888886,False,0.7407,0.7466,1,1,1,100.0,10.318791946308728,10.318791946308728,3.2234206471494677,4.776579352850533,历史1/1次成功; 当前距低点4.78%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
28,58.2232223733161,58.60996527062423,603282,亚光股份,bottom_area,2024-08-30,12.73,2024-08-26,12.2,4.344262295081977,6.311475409836078,27.164179104477615,False,1.112,2.0699,1,2,1,50.0,34.64991023339317,34.64991023339317,3.6557377049180233,4.344262295081977,历史1/2次成功; 当前距低点4.34%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
