rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.71978697107899,82.24055130588485,300761,立华股份,bottom_area,2024-09-19,17.46,2024-09-18,17.27,1.1001737116386872,3.2426172553561012,30.6425702811245,False,0.4025,0.6527,1,1,1,100.0,30.263157894736853,30.263157894736853,18.899826288361314,1.1001737116386872,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,92.97621318376349,80.34430327929635,002130,沃尔核材,bottom_area,2024-09-19,10.8,2024-09-19,10.59,1.9830028328611977,3.3994334277620344,27.416038382453735,False,0.0927,4.6695,1,1,1,100.0,30.89005235602093,30.89005235602093,18.016997167138804,1.9830028328611977,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
3,91.56401477816972,78.80230151638165,301456,盘古智能,bottom_area,2024-09-19,18.5,2024-09-18,18.18,1.7601760176017618,4.510451045104512,27.279999999999998,False,-0.5376,2.3706,1,1,1,100.0,42.34141309953585,42.34141309953585,18.23982398239824,1.7601760176017618,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
4,89.41061839443489,78.49627488410142,002674,兴业科技,bottom_area,2024-09-19,7.94,2024-09-18,7.72,2.8497409326424954,3.367875647668403,32.16168717047452,False,1.7949,0.3913,1,1,1,100.0,31.578947368421055,31.578947368421055,17.150259067357506,2.8497409326424954,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
5,88.0346861423744,78.46452752236918,301386,未来电器,bottom_area,2024-09-19,17.48,2024-09-18,16.86,3.677342823250303,4.626334519572961,28.224776500638566,False,1.0989,1.522,2,2,2,100.0,24.88639332999926,27.880184331797242,16.3226571767497,3.677342823250303,历史2/2次成功; 当前距低点3.68%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
6,83.14642632899015,74.34737605007413,688009,中国通号,bottom_area,2024-09-19,4.85,2024-09-18,4.67,3.8543897216274026,4.282655246252681,28.153846153846157,False,2.9724,0.3465,1,1,1,100.0,21.588089330024815,21.588089330024815,16.145610278372597,3.8543897216274026,历史1/1次成功; 当前距低点3.85%; 最新日涨幅2.97%; 状态bottom_area; 底部未确认
7,82.09876665917308,73.80214623843524,603079,圣达生物,bottom_area,2024-09-19,10.55,2024-09-18,10.13,4.146100691016781,4.6396841066140055,30.616438356164377,False,2.3278,1.6206,1,1,1,100.0,22.232558139534888,22.232558139534888,15.853899308983221,4.146100691016781,历史1/1次成功; 当前距低点4.15%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
8,77.04378611939708,68.37334961273343,300521,爱司凯,bottom_area,2024-09-19,10.22,2024-09-18,9.88,3.441295546558703,4.048582995951403,28.920863309352512,False,2.3023,1.3442,3,6,3,50.0,42.739265907996135,73.27586206896554,16.558704453441297,3.441295546558703,历史3/6次成功; 当前距低点3.44%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
9,72.76896827472738,65.49358400115766,002806,华锋股份,bottom_area,2024-09-19,8.66,2024-09-18,8.31,4.211793020457276,7.701564380264727,32.05233033524121,True,3.2181,5.9503,2,4,2,50.0,27.507914450538966,34.66407010710809,15.788206979542723,4.211793020457276,历史2/4次成功; 当前距低点4.21%; 最新日涨幅3.22%; 状态bottom_area; 底部已确认
10,72.71716531672146,66.00295598688778,688358,祥生医疗,bottom_area,2024-09-19,19.7,2024-09-18,18.82,4.675876726886285,5.5791710945802375,29.274708756106726,False,3.7388,0.9804,2,3,2,66.66666666666666,25.684345470547626,29.46360153256704,15.324123273113715,4.675876726886285,历史2/3次成功; 当前距低点4.68%; 最新日涨幅3.74%; 状态bottom_area; 底部未确认
11,71.02719499046884,61.216045487894355,000922,佳电股份,bottom_area,2024-09-19,8.86,2024-09-18,8.7,1.8390804597701167,3.6781609195402334,30.6772908366534,False,-0.5612,1.4278,1,2,1,50.0,40.42553191489362,40.42553191489362,18.160919540229884,1.8390804597701167,历史1/2次成功; 当前距低点1.84%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
12,70.58444080287772,62.441250903966306,000591,太阳能,bottom_area,2024-09-19,4.11,2024-08-23,3.98,3.266331658291466,7.035175879396981,28.158844765342963,True,2.2388,0.509,1,2,1,50.0,32.84132841328414,32.84132841328414,16.733668341708537,3.266331658291466,历史1/2次成功; 当前距低点3.27%; 最新日涨幅2.24%; 状态bottom_area; 底部已确认
13,69.28534364631568,61.65734033732739,301326,捷邦科技,bottom_area,2024-09-19,30.57,2024-09-18,29.51,3.5920027109454375,6.743476787529645,30.054515287982923,False,1.5277,7.6375,1,2,1,50.0,41.81240063593006,41.81240063593006,16.407997289054563,3.5920027109454375,历史1/2次成功; 当前距低点3.59%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
14,67.31094384841673,59.74344128557698,603306,华懋科技,bottom_area,2024-09-19,17.7,2024-09-19,17.11,3.448275862068965,8.12390414962011,31.367829923786605,False,2.3121,7.6506,1,3,1,33.33333333333333,49.205252246026255,49.205252246026255,16.551724137931036,3.448275862068965,历史1/3次成功; 当前距低点3.45%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
15,66.62917200954763,57.963198696269316,002600,领益智造,bottom_area,2024-09-19,6.1,2024-09-18,5.96,2.3489932885905986,4.026845637583897,30.616996507566935,False,0.9934,2.507,1,5,1,20.0,38.381201044386415,38.381201044386415,17.651006711409405,2.3489932885905986,历史1/5次成功; 当前距低点2.35%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
16,64.87307497403948,58.46882599580714,603132,金徽股份,bottom_area,2024-09-19,10.7,2024-09-18,10.26,4.2884990253411255,4.970760233918127,31.554369579719815,False,3.6822,1.4962,1,2,1,50.0,33.20754716981132,33.20754716981132,15.711500974658875,4.2884990253411255,历史1/2次成功; 当前距低点4.29%; 最新日涨幅3.68%; 状态bottom_area; 底部未确认
