rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.95753999230278,78.75341136319402,601238,广汽集团,bottom_area,2026-05-21,6.34,8.67,2026-05-20,6.32,0.3164556962025249,2.531645569620255,27.104959630911186,26.874279123414073,False,0.0,0.3296,2,2,2,100.0,25.08027070180526,26.42487046632124,19.683544303797476,0.3164556962025249,历史2/2次成功; 当前距低点0.32%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,91.18211012469273,77.40924581637101,600338,西藏珠峰,bottom_area,2026-05-21,19.93,28.28,2026-05-20,19.73,1.0136847440445984,6.893056259503291,30.233380480905236,29.526166902404533,False,-3.2054,6.6284,3,4,3,75.0,40.08304856340157,59.223300970873794,18.986315255955404,1.0136847440445984,历史3/4次成功; 当前距低点1.01%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
3,88.1819806617892,73.65900645161292,601136,首创证券,bottom_area,2026-05-21,15.52,21.55,2026-05-21,15.5,0.12903225806451338,3.6774193548387117,28.074245939675173,27.98143851508121,False,-0.6402,0.5764,1,1,1,100.0,34.53333333333333,34.53333333333333,19.870967741935488,0.12903225806451338,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
4,87.60456415854588,73.06675257873546,002866,传艺科技,bottom_area,2026-05-21,21.28,30.0,2026-05-21,21.27,0.04701457451810796,6.39398213446168,29.100000000000005,29.066666666666663,False,-5.0847,7.3366,1,1,1,100.0,40.55884843353091,40.55884843353091,19.95298542548189,0.04701457451810796,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
5,87.44738915182819,73.92484180459567,300979,华利集团,bottom_area,2026-05-21,37.36,51.35,2026-05-20,37.07,0.7823037496627978,2.75155111950365,27.809152872444017,27.244401168451805,False,0.4841,0.2207,1,1,1,100.0,21.49728147218737,21.49728147218737,19.217696250337205,0.7823037496627978,历史1/1次成功; 当前距低点0.78%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
6,86.51218639572191,72.0934886631016,605089,味知香,bottom_area,2026-05-21,22.6,31.08,2026-05-21,22.6,0.0,4.38053097345132,27.284427284427277,27.284427284427277,False,-3.6247,0.9762,2,2,2,100.0,30.341336898395717,38.50267379679143,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
7,85.41163005498463,71.4901619631902,603277,银都股份,bottom_area,2026-05-21,12.53,17.69,2026-05-20,12.5,0.2399999999999949,3.519999999999996,29.338609383832683,29.16902204635388,False,-2.5661,0.2553,1,1,1,100.0,24.23312883435582,24.23312883435582,19.760000000000005,0.2399999999999949,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
8,84.85026670804994,76.01300764764889,605287,德才股份,bottom_area,2026-05-21,48.34,66.21,2026-05-15,46.5,3.956989247311835,10.430107526881724,29.768917082011775,26.989880682676322,True,-1.1452,4.3805,2,2,2,100.0,28.413672750106816,36.00395647873393,16.043010752688165,3.956989247311835,历史2/2次成功; 当前距低点3.96%; 最新日涨幅-1.15%; 状态bottom_area; 底部已确认
9,83.39315281991439,70.44938138270518,603399,永杉锂业,bottom_area,2026-05-21,17.58,25.52,2026-05-21,17.45,0.7449856733524299,9.28366762177651,31.622257053291534,31.112852664576806,False,-6.4894,17.5317,1,1,1,100.0,35.04273504273506,35.04273504273506,19.255014326647572,0.7449856733524299,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-6.49%; 状态bottom_area; 底部未确认
10,83.3318842682098,69.44323689017484,000912,泸天化,bottom_area,2026-05-21,3.94,5.43,2026-05-21,3.94,0.0,4.56852791878173,27.440147329650088,27.440147329650088,False,-3.6675,1.9094,4,5,4,80.0,26.092671452552917,33.20388349514563,20.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
11,83.32123456790123,69.4343621399177,601186,中国铁建,bottom_area,2026-05-21,6.42,8.93,2026-05-21,6.42,0.0,1.5576323987538885,28.10750279955207,28.10750279955207,False,-1.0786,0.3917,1,1,1,100.0,22.496570644718787,22.496570644718787,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
