rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.29589896446844,87.89580616931177,601127,赛力斯,bottom_area,2025-11-25,124.85,2025-11-24,122.37,2.0266405164664456,3.914358094304153,28.854651162790695,False,0.2811,1.446,9,9,9,100.0,22.02444380029711,42.19143576826195,5.973359483533555,2.0266405164664456,历史9/9次成功; 当前距低点2.03%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,88.07844995983875,86.78549547328834,000619,海螺新材,bottom_area,2025-11-25,6.39,2025-11-21,6.19,3.2310177705977265,6.1389337641357,27.85547785547785,False,1.7516,3.8975,4,4,4,100.0,30.81836553898465,43.133047210300425,4.7689822294022735,3.2310177705977265,历史4/4次成功; 当前距低点3.23%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
3,86.46543092422333,84.3522759695229,300432,富临精工,bottom_area,2025-11-25,15.52,2025-11-24,15.11,2.7134348113831908,4.367968232958306,27.320827320827323,False,0.7138,2.5163,4,4,4,100.0,11.39197494342242,13.323239969719907,5.28656518861681,2.7134348113831908,历史4/4次成功; 当前距低点2.71%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
4,86.37791779175883,84.91584961982691,605178,时空科技,bottom_area,2025-11-25,60.96,2025-11-24,59.12,3.112313937753727,7.611637347767253,32.72644515248066,True,1.9228,8.6669,4,4,4,100.0,10.117878483362354,11.97247706422018,4.8876860622462726,3.112313937753727,历史4/4次成功; 当前距低点3.11%; 最新日涨幅1.92%; 状态bottom_area; 底部已确认
5,85.9400125430284,82.52337467998885,000407,胜利股份,bottom_area,2025-11-25,4.85,2025-11-25,4.76,1.8907563025210055,6.722689075630258,28.95522388059702,False,0.4141,14.3512,2,2,2,100.0,24.80805940718676,29.14979757085019,6.109243697478995,1.8907563025210055,历史2/2次成功; 当前距低点1.89%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
6,85.90175305557669,84.43783567134273,002825,纳尔股份,bottom_area,2025-11-25,10.29,2025-11-24,9.98,3.1062124248496867,4.008016032064131,27.046783625730992,False,2.6946,3.2356,2,2,2,100.0,56.18277368277369,89.24242424242425,4.893787575150313,3.1062124248496867,历史2/2次成功; 当前距低点3.11%; 最新日涨幅2.69%; 状态bottom_area; 底部未确认
7,85.198212154691,84.92071733495345,688008,澜起科技,bottom_area,2025-11-25,116.29,2025-11-24,112.0,3.8303571428571486,6.044642857142853,29.506545820745217,False,2.0983,2.2961,4,4,4,100.0,28.13941731541803,62.20095693779905,4.169642857142851,3.8303571428571486,历史4/4次成功; 当前距低点3.83%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
8,85.05817114317009,84.73108940039317,002337,赛象科技,bottom_area,2025-11-25,6.01,2025-11-21,5.79,3.7996545768566454,5.1813471502590644,29.47624847746651,False,2.0374,2.5905,4,4,4,100.0,26.74355825605545,60.465116279069754,4.200345423143355,3.7996545768566454,历史4/4次成功; 当前距低点3.80%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
9,84.54772874696614,83.99435417826231,600094,大名城,bottom_area,2025-11-25,4.25,2025-11-21,4.1,3.6585365853658622,5.365853658536601,30.743243243243246,False,1.432,1.5762,3,3,3,100.0,37.7194494241746,87.28070175438596,4.341463414634138,3.6585365853658622,历史3/3次成功; 当前距低点3.66%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
10,84.30419489186059,81.67012820318402,000803,山高环能,bottom_area,2025-11-25,6.97,2025-11-24,6.81,2.349486049926581,4.258443465491924,28.98852971845673,False,0.2878,2.6081,2,2,2,100.0,25.843851596863644,36.1111111111111,5.650513950073419,2.349486049926581,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
11,84.17404393647384,79.13415464260571,000661,长春高新,bottom_area,2025-11-25,99.46,2025-11-24,98.68,0.7904337251722607,2.138224564248074,30.394300627777387,False,0.1006,1.3295,3,3,3,100.0,16.270664172034742,25.03526756324649,7.209566274827739,0.7904337251722607,历史3/3次成功; 当前距低点0.79%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
