rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.26747595183471,83.55431747641644,605266,健之佳,bottom_area,2024-06-06,37.03,2024-06-06,36.61,1.1472275334608077,7.620868615132475,31.570093457943926,False,-3.918,0.5437,5,5,5,100.0,20.591377702726223,33.154615273148806,6.852772466539192,1.1472275334608077,历史5/5次成功; 当前距低点1.15%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
2,86.83864883464453,81.9613432835821,603273,天元智能,bottom_area,2024-06-06,18.27,2024-06-06,18.09,0.995024875621889,7.6838032061912696,29.418650019508384,False,-4.9922,8.4351,4,4,4,100.0,57.78033351396116,201.34228187919464,7.004975124378111,0.995024875621889,历史4/4次成功; 当前距低点1.00%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
3,86.73466370639888,82.07857026586267,000705,浙江震元,bottom_area,2024-06-06,7.15,2024-06-06,7.07,1.1315417256011324,4.950495049504945,27.26337448559671,False,-2.8533,4.4857,3,3,3,100.0,18.916588173296947,34.04605263157895,6.868458274398867,1.1315417256011324,历史3/3次成功; 当前距低点1.13%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
4,85.81855446766211,81.18941228646688,000701,厦门信达,confirmed_rebound,2024-06-06,3.62,2024-06-06,3.58,1.1173184357541908,10.614525139664801,29.388560157790927,False,-6.701,4.592,4,4,4,100.0,17.72525978487319,30.161579892280066,6.88268156424581,1.1173184357541908,历史4/4次成功; 当前距低点1.12%; 最新日涨幅-6.70%; 状态confirmed_rebound; 底部未确认
5,85.77710588272514,81.20873564732022,688095,福昕软件,confirmed_rebound,2024-06-06,45.55,2024-06-06,45.03,1.1547856984232645,8.261159227181876,27.951999999999998,False,-4.8266,2.1227,4,4,4,100.0,18.288424944759377,31.679509356817103,6.8452143015767355,1.1547856984232645,历史4/4次成功; 当前距低点1.15%; 最新日涨幅-4.83%; 状态confirmed_rebound; 底部未确认
6,85.7642260444631,82.6298618467699,000521,长虹美菱,bottom_area,2024-06-06,8.9,2024-06-06,8.72,2.0642201834862353,3.784403669724771,31.0126582278481,False,0.0,3.9828,3,3,3,100.0,10.840235833970437,13.407821229050265,5.935779816513765,2.0642201834862353,历史3/3次成功; 当前距低点2.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,85.71419365892416,81.28184489253917,300745,欣锐科技,confirmed_rebound,2024-06-06,14.7,2024-06-06,14.52,1.2396694214876014,13.154269972451793,32.96398891966759,False,-8.9783,11.2457,5,5,5,100.0,19.72199555661768,36.150000000000006,6.760330578512399,1.2396694214876014,历史5/5次成功; 当前距低点1.24%; 最新日涨幅-8.98%; 状态confirmed_rebound; 底部未确认
8,85.40095748761523,80.74714361883102,601798,蓝科高新,confirmed_rebound,2024-06-06,4.65,2024-06-06,4.6,1.086956521739146,9.130434782608694,27.67295597484278,False,-6.8136,3.2295,4,4,4,100.0,14.975292948367008,21.74721189591078,6.913043478260854,1.086956521739146,历史4/4次成功; 当前距低点1.09%; 最新日涨幅-6.81%; 状态confirmed_rebound; 底部未确认
9,85.34061484120909,81.27415217638391,002837,英维克,bottom_area,2024-06-06,23.6,2024-05-31,23.26,1.4617368873602745,5.546001719690452,30.108173076923073,False,-0.8403,1.0991,3,3,3,100.0,18.639313330996423,24.517374517374524,6.538263112639725,1.4617368873602745,历史3/3次成功; 当前距低点1.46%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
10,85.24608762054547,80.72071892011529,301393,昊帆生物,bottom_area,2024-06-06,39.97,2024-06-06,39.51,1.1642622120982054,7.061503416856491,29.547075606276753,False,-4.2635,6.0119,2,2,2,100.0,38.899122385479515,58.59438845001361,6.835737787901795,1.1642622120982054,历史2/2次成功; 当前距低点1.16%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
11,85.14902961913333,81.34155268494443,300584,海辰药业,bottom_area,2024-06-06,15.04,2024-06-06,14.8,1.621621621621611,7.635135135135128,27.734375,False,-4.8703,2.3174,3,3,3,100.0,31.17661280775102,54.23197492163009,6.37837837837839,1.621621621621611,历史3/3次成功; 当前距低点1.62%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
