rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.18761580114796,81.08700736772873,300584,海辰药业,bottom_area,2024-04-16,14.37,2024-04-16,14.2,1.1971830985915488,9.647887323943669,28.96448224112056,False,-7.8255,3.2074,2,2,2,100.0,41.271961465147655,54.23197492163009,13.802816901408452,1.1971830985915488,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-7.83%; 状态bottom_area; 底部未确认
2,90.54708370360304,79.35389248851074,300480,光力科技,bottom_area,2024-04-16,14.42,2024-04-16,14.36,0.4178272980501428,8.495821727019504,27.438100050530572,False,-7.6233,2.0038,4,4,4,100.0,28.906122193898153,39.69465648854962,14.582172701949855,0.4178272980501428,历史4/4次成功; 当前距低点0.42%; 最新日涨幅-7.62%; 状态bottom_area; 底部未确认
3,89.10766696602781,77.69686148451196,301421,波长光电,bottom_area,2024-04-16,34.27,2024-04-16,34.22,0.14611338398598558,13.091759205143202,27.299766305502448,False,-9.7683,11.9907,2,2,2,100.0,55.83051282051284,56.02000000000002,14.853886616014014,0.14611338398598558,历史2/2次成功; 当前距低点0.15%; 最新日涨幅-9.77%; 状态bottom_area; 底部未确认
4,88.6503145364872,78.54253621400149,300707,威唐工业,bottom_area,2024-04-16,10.09,2024-04-16,9.99,1.0010010010009973,12.812812812812806,29.894736842105264,False,-10.3908,5.9839,5,6,5,83.33333333333334,27.964973994357212,59.14285714285715,13.998998998999001,1.0010010010009973,历史5/6次成功; 当前距低点1.00%; 最新日涨幅-10.39%; 状态bottom_area; 底部未确认
5,87.58999399432709,77.99524732871396,603200,上海洗霸,bottom_area,2024-04-16,19.92,2024-04-16,19.67,1.2709710218607015,8.185053380782914,28.185469149324565,False,-7.1761,6.0345,2,2,2,100.0,25.55409278793739,32.93196869355809,13.729028978139299,1.2709710218607015,历史2/2次成功; 当前距低点1.27%; 最新日涨幅-7.18%; 状态bottom_area; 底部未确认
6,87.0289453125,75.67734375,603122,合富中国,bottom_area,2024-04-16,5.59,2024-04-16,5.59,0.0,7.513416815742397,29.150823827629914,False,-7.2968,4.3726,2,2,2,100.0,49.609375,72.1590909090909,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-7.30%; 状态bottom_area; 底部未确认
7,86.78442105925276,77.25353229309337,688170,德龙激光,bottom_area,2024-04-16,21.8,2024-04-16,21.53,1.2540640966093803,9.800278680910354,27.969220475075275,False,-6.8774,2.6171,2,2,2,100.0,21.359131362165336,25.624999999999996,13.745935903390619,1.2540640966093803,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-6.88%; 状态bottom_area; 底部未确认
8,86.4780124206342,76.15597500168398,300649,杭州园林,bottom_area,2024-04-16,8.92,2024-04-16,8.86,0.6772009029345428,14.221218961625281,32.46951219512195,False,-11.332,4.6471,2,2,2,100.0,48.22576914179969,71.60305343511452,14.322799097065456,0.6772009029345428,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-11.33%; 状态bottom_area; 底部未确认
9,85.9167108145119,75.01842913184208,300542,新晨科技,bottom_area,2024-04-16,9.1,2024-04-16,9.08,0.22026431718061204,14.317180616740096,32.23880597014925,False,-12.5,5.9931,3,3,3,100.0,19.842106317278887,22.574955908289247,14.779735682819387,0.22026431718061204,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-12.50%; 状态bottom_area; 底部未确认
10,84.51380483873344,74.19510546577482,300738,奥飞数据,bottom_area,2024-04-16,9.84,2024-04-16,9.79,0.5107252298263607,8.784473953013292,29.416005767844272,False,-5.4755,6.5375,2,2,2,100.0,35.642790267628556,44.8948948948949,14.489274770173639,0.5107252298263607,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-5.48%; 状态bottom_area; 底部未确认
11,84.36539204251368,73.86956866636083,603168,莎普爱思,bottom_area,2024-04-16,8.15,2024-04-16,8.12,0.36945812807883177,7.8817733990147865,27.500000000000004,False,-8.2207,4.0089,2,2,2,100.0,32.160931174089065,45.833333333333336,14.630541871921169,0.36945812807883177,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-8.22%; 状态bottom_area; 底部未确认
