rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.42979712672758,85.8877181135953,300480,光力科技,bottom_area,2023-12-28,20.88,2023-12-28,20.18,3.4687809712586684,4.162537165510406,29.85749044143205,False,1.31,1.7689,4,4,4,100.0,28.906122193898153,39.69465648854962,6.531219028741332,3.4687809712586684,历史4/4次成功; 当前距低点3.47%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
2,85.36000044303378,81.92938824954574,603013,亚普股份,bottom_area,2023-12-28,16.98,2023-12-28,16.51,2.8467595396729184,3.391883706844329,27.428571428571423,False,1.1919,0.7179,1,1,1,100.0,53.30739299610896,53.30739299610896,7.153240460327082,2.8467595396729184,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
3,84.96389813926353,80.88084579525852,000829,天音控股,bottom_area,2023-12-28,9.33,2023-12-27,9.11,2.4149286498353533,3.62239297475302,29.105058365758758,False,0.8649,2.1011,2,2,2,100.0,22.40259740259741,34.80519480519481,7.585071350164648,2.4149286498353533,历史2/2次成功; 当前距低点2.41%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
4,84.8395526875719,82.77532999444361,601858,中国科传,bottom_area,2023-12-28,24.06,2023-12-28,23.2,3.7068965517241357,4.310344827586207,29.268292682926827,False,1.0076,1.5457,4,4,4,100.0,15.091688883734559,21.243523316062173,6.293103448275865,3.7068965517241357,历史4/4次成功; 当前距低点3.71%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
5,81.85181911828205,79.46778555173015,002343,慈文传媒,bottom_area,2023-12-28,6.3,2023-12-28,6.09,3.448275862068965,4.43349753694582,29.268292682926827,False,1.2862,3.6225,2,2,2,100.0,27.472336114233244,40.33149171270718,6.5517241379310365,3.448275862068965,历史2/2次成功; 当前距低点3.45%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
6,81.61501409731603,79.8175949738589,000070,特发信息,bottom_area,2023-12-28,7.86,2023-12-26,7.57,3.830911492734478,4.227212681638036,27.00096432015428,False,1.8135,1.4312,2,2,2,100.0,34.04340417899739,50.60532687651331,6.169088507265522,3.830911492734478,历史2/2次成功; 当前距低点3.83%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
7,79.29367914438501,76.3735153232037,002712,思美传媒,bottom_area,2023-12-28,5.44,2023-12-28,5.28,3.030303030303033,4.5454545454545325,30.06622516556291,False,0.1842,5.5692,1,1,1,100.0,22.379603399433442,22.379603399433442,6.969696969696967,3.030303030303033,历史1/1次成功; 当前距低点3.03%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
8,77.9567990604402,76.73564657389466,301499,维科精密,bottom_area,2023-12-28,29.22,2023-12-27,28.05,4.1711229946524,4.420677361853826,32.73381294964029,False,2.5983,6.3437,2,2,2,100.0,21.64412366506522,21.950454687989964,5.828877005347601,4.1711229946524,历史2/2次成功; 当前距低点4.17%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
9,77.6558395119907,77.29112639289536,002796,世嘉科技,bottom_area,2023-12-28,11.02,2023-12-26,10.52,4.752851711026616,5.323193916349815,28.092959671907046,False,1.8484,2.4394,2,2,2,100.0,31.7614424410541,36.33841886269071,5.247148288973385,4.752851711026616,历史2/2次成功; 当前距低点4.75%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
10,77.53668313732673,76.27552970500237,002406,远东传动,bottom_area,2023-12-28,6.29,2023-12-26,6.04,4.13907284768212,4.470198675496682,27.66467065868263,False,2.443,3.6237,2,2,2,100.0,18.777504288804348,26.376146788990813,5.860927152317881,4.13907284768212,历史2/2次成功; 当前距低点4.14%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
11,77.38261027332408,74.47565720189525,002508,老板电器,bottom_area,2023-12-28,21.7,2023-12-21,21.07,2.9900332225913573,4.318936877076412,31.922455573505655,False,2.3102,0.7173,1,1,1,100.0,11.682435211846977,11.682435211846977,7.009966777408644,2.9900332225913573,历史1/1次成功; 当前距低点2.99%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
12,77.15817172062066,74.88073401162794,605188,国光连锁,bottom_area,2023-12-28,8.45,2023-12-27,8.17,3.427172582619331,4.283965728274169,32.08645054031587,False,0.9558,0.6704,1,1,1,100.0,19.218749999999993,19.218749999999993,6.57282741738067,3.427172582619331,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
13,76.7672606154718,74.52720648079321,301357,北方长龙,bottom_area,2023-12-28,49.24,2023-12-27,47.6,3.4453781512605053,4.411764705882356,31.044473417354773,False,1.4212,12.3651,1,1,1,100.0,17.541229385307357,17.541229385307357,6.554621848739495,3.4453781512605053,历史1/1次成功; 当前距低点3.45%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
14,76.26027989517267,73.80868402986958,601933,永辉超市,bottom_area,2023-12-28,2.83,2023-12-27,2.74,3.2846715328467098,4.014598540145981,31.32832080200501,False,0.7117,0.4799,1,1,1,100.0,11.70825335892515,11.70825335892515,6.715328467153291,3.2846715328467098,历史1/1次成功; 当前距低点3.28%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
15,74.9736751191845,74.50949998424483,605086,龙高股份,bottom_area,2023-12-28,27.77,2023-12-28,26.53,4.673954014323401,5.390124387485864,27.711171662125345,False,0.2889,17.1388,2,2,2,100.0,15.839328693022429,17.79249448123621,5.3260459856766,4.673954014323401,历史2/2次成功; 当前距低点4.67%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
16,74.42064331030305,73.05815997043617,002821,凯莱英,bottom_area,2023-12-28,116.68,2023-12-27,112.16,4.029957203994304,4.600570613409412,29.23659305993691,False,3.2566,1.3987,1,1,1,100.0,16.80893761044718,16.80893761044718,5.970042796005697,4.029957203994304,历史1/1次成功; 当前距低点4.03%; 最新日涨幅3.26%; 状态bottom_area; 底部未确认
17,73.61651502113665,72.43730311004292,601016,节能风电,bottom_area,2023-12-28,3.01,2023-12-27,2.89,4.152249134948085,4.498269896193768,29.166666666666664,False,3.0822,0.7292,1,1,1,100.0,14.970059880239523,14.970059880239523,5.847750865051916,4.152249134948085,历史1/1次成功; 当前距低点4.15%; 最新日涨幅3.08%; 状态bottom_area; 底部未确认
18,73.57782902043017,72.77605888022431,600130,波导股份,bottom_area,2023-12-28,4.72,2023-12-26,4.52,4.424778761061951,5.309734513274342,27.564102564102573,False,1.0707,1.978,1,1,1,100.0,20.13201320132014,20.13201320132014,5.57522123893805,4.424778761061951,历史1/1次成功; 当前距低点4.42%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
19,73.51636960092249,71.08153257354151,002558,巨人网络,bottom_area,2023-12-28,10.86,2023-12-28,10.52,3.2319391634980974,4.087452471482887,31.061598951507207,False,-1.6304,4.4179,1,1,1,100.0,18.872870249017044,18.872870249017044,6.7680608365019035,3.2319391634980974,历史1/1次成功; 当前距低点3.23%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
20,73.24671429897928,72.37661294121605,002369,卓翼科技,bottom_area,2023-12-28,5.49,2023-12-26,5.26,4.3726235741444945,5.133079847908754,32.47753530166881,False,0.7339,3.3524,1,1,1,100.0,17.345132743362825,17.345132743362825,5.627376425855506,4.3726235741444945,历史1/1次成功; 当前距低点4.37%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
21,72.72232608688488,72.18297931565381,301393,昊帆生物,bottom_area,2023-12-28,59.69,2023-12-28,57.06,4.609183315807913,4.7844374342797,30.056386369208134,False,3.0915,6.5058,1,1,1,100.0,19.203856320945413,19.203856320945413,5.390816684192087,4.609183315807913,历史1/1次成功; 当前距低点4.61%; 最新日涨幅3.09%; 状态bottom_area; 底部未确认
