rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
182,63.76989118773945,56.600495137046856,600963,岳阳林纸,bottom_area,2026-06-12,3.6,4.81,2026-06-11,3.48,3.448275862068969,5.172413793103453,27.650727650727646,25.155925155925146,False,3.151862464183375,1.6773691342279289,1,3,1,33.33333333333333,32.307692307692314,32.307692307692314,16.551724137931032,3.448275862068969,历史1/3次成功; 当前距低点3.45%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
183,63.365111508487196,56.39826678765878,601515,衢州东峰,bottom_area,2026-06-12,3.74,5.2,2026-06-11,3.61,3.6011080332410064,6.3711911357340725,30.57692307692308,28.076923076923077,False,1.9073569482289,0.952313834356396,1,4,1,25.0,34.48275862068966,34.48275862068966,16.398891966758995,3.6011080332410064,历史1/4次成功; 当前距低点3.60%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
184,63.072014539654816,57.09664295379737,300699,光威复材,bottom_area,2026-06-12,28.15,37.19,2026-06-11,26.93,4.530263646490898,6.386929075380612,27.588061306802903,24.307609572465715,False,3.1513374862587096,2.3813050334504466,1,4,1,25.0,49.6271186440678,49.6271186440678,15.469736353509104,4.530263646490898,历史1/4次成功; 当前距低点4.53%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
185,63.0556743904676,56.818911101582906,603709,中源家居,bottom_area,2026-06-12,15.36,20.19,2026-06-11,14.73,4.276985743380848,5.906313645621176,27.043090638930167,23.92273402674592,False,1.7892644135188762,1.7897151178438355,1,2,1,50.0,24.19590643274853,24.19590643274853,15.723014256619154,4.276985743380848,历史1/2次成功; 当前距低点4.28%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
186,62.507114456818606,55.264059276445245,600241,时代万恒,bottom_area,2026-06-12,7.34,10.04,2026-06-11,7.11,3.234880450070317,4.641350210970465,29.183266932270907,26.892430278884454,False,1.3812154696132506,2.2092264353142643,1,3,1,33.33333333333333,22.50673854447439,22.50673854447439,16.765119549929686,3.234880450070317,历史1/3次成功; 当前距低点3.23%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
187,62.427112966504964,55.41576648055637,603300,海南华铁,bottom_area,2026-06-12,5.09,7.22,2026-06-11,4.92,3.455284552845527,4.471544715447149,31.855955678670362,29.50138504155125,False,2.620967741935476,2.20491168423712,1,3,1,33.33333333333333,26.024096385542165,26.024096385542165,16.544715447154474,3.455284552845527,历史1/3次成功; 当前距低点3.46%; 最新日涨幅2.62%; 状态bottom_area; 底部未确认
188,62.257254941420726,55.046027978629006,688161,威高骨科,bottom_area,2026-06-12,22.32,32.18,2026-06-11,21.62,3.2377428307123,3.8390379278445805,32.81541330018645,30.640149160969543,False,2.244617498854806,0.26615,1,5,1,20.0,33.591836734693864,33.591836734693864,16.7622571692877,3.2377428307123,历史1/5次成功; 当前距低点3.24%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
189,62.21768423950409,54.13687592528902,002355,兴民智通,bottom_area,2026-06-12,4.77,6.77,2026-06-11,4.66,2.360515021459215,10.085836909871238,31.166912850812402,29.542097488921716,True,0.8456659619450191,3.7777032827353314,1,7,1,14.285714285714285,21.138211382113823,21.138211382113823,17.639484978540786,2.360515021459215,历史1/7次成功; 当前距低点2.36%; 最新日涨幅0.85%; 状态bottom_area; 底部已确认
190,62.084634378929316,53.301930003373464,688298,东方生物,bottom_area,2026-06-12,19.36,26.88,2026-06-11,19.05,1.6272965879265027,3.4120734908136408,29.129464285714278,27.976190476190478,False,0.4149377593360981,0.6117063492063493,1,8,1,12.5,20.72401195616075,20.72401195616075,18.3727034120735,1.6272965879265027,历史1/8次成功; 当前距低点1.63%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
191,62.08310528681544,56.31616358176921,601865,福莱特,bottom_area,2026-06-12,10.82,15.09,2026-06-09,10.34,4.642166344294008,7.640232108317225,31.477799867461897,28.296885354539427,True,-0.2764976958525289,1.202519495647168,1,2,1,50.0,39.24894003634159,39.24894003634159,15.357833655705994,4.642166344294008,历史1/2次成功; 当前距低点4.64%; 最新日涨幅-0.28%; 状态bottom_area; 底部已确认
192,62.08292863669231,55.71990654735336,605066,天正电气,bottom_area,2026-06-12,6.41,8.7,2026-06-11,6.16,4.058441558441558,10.714285714285717,29.195402298850563,26.321839080459764,True,2.7243589743589647,2.9665243824834575,1,3,1,33.33333333333333,25.859247135842878,25.859247135842878,15.941558441558442,4.058441558441558,历史1/3次成功; 当前距低点4.06%; 最新日涨幅2.72%; 状态bottom_area; 底部已确认
193,62.07787353565853,54.568286973019895,002291,遥望科技,bottom_area,2026-06-12,5.29,7.05,2026-06-11,5.14,2.9182879377431976,4.474708171206234,27.092198581560282,24.964539007092196,False,2.1235521235521304,3.355362247762949,1,5,1,20.0,27.107438016528935,27.107438016528935,17.081712062256805,2.9182879377431976,历史1/5次成功; 当前距低点2.92%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
194,61.93231996263316,52.46654556914877,000601,韶能股份,bottom_area,2026-06-12,6.74,9.16,2026-06-12,6.68,0.8982035928143787,5.389221556886232,27.074235807860266,26.419213973799128,False,-2.3188405797101463,6.764143252343839,1,2,1,50.0,21.69059011164275,21.69059011164275,19.101796407185624,0.8982035928143787,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
195,61.931396288679196,51.83343576050121,688190,云路股份,bottom_area,2026-06-12,97.6,133.66,2026-06-12,97.37,0.2362123857450855,7.0555612611687275,27.150980098758037,26.978901690857406,False,-3.0591974572904412,1.9178333333333333,1,2,1,50.0,20.38709677419354,20.38709677419354,19.763787614254916,0.2362123857450855,历史1/2次成功; 当前距低点0.24%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
196,61.91282465540798,55.42871126244297,002172,澳洋健康,bottom_area,2026-06-12,3.18,4.2,2026-06-11,3.06,3.921568627450984,4.248366013071892,27.142857142857146,24.285714285714285,False,2.580645161290329,1.8258994643652653,2,7,2,28.57142857142857,25.46022590723384,29.824561403508774,16.07843137254902,3.921568627450984,历史2/7次成功; 当前距低点3.92%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
197,61.76441398435366,54.589759834656014,000401,金隅冀东,bottom_area,2026-06-12,3.85,5.12,2026-06-12,3.73,3.2171581769437028,3.7533512064343197,27.1484375,24.8046875,False,1.3157894736842257,0.36389621078021245,1,4,1,25.0,20.053120849933585,20.053120849933585,16.782841823056298,3.2171581769437028,历史1/4次成功; 当前距低点3.22%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
198,61.74649358019438,55.33531531531533,002423,中粮资本,bottom_area,2026-06-12,8.89,11.99,2026-06-11,8.55,3.9766081871345014,4.678362573099398,28.6905754795663,25.854879065888237,False,3.252032520325221,0.8503646615592981,1,3,1,33.33333333333333,31.981981981981967,31.981981981981967,16.0233918128655,3.9766081871345014,历史1/3次成功; 当前距低点3.98%; 最新日涨幅3.25%; 状态bottom_area; 底部未确认
199,61.65536921464502,56.243280006474784,300963,中洲特材,bottom_area,2026-06-12,13.78,18.4,2026-06-10,13.13,4.95049504950494,7.083015993907081,28.64130434782608,25.108695652173914,True,1.8477457501847816,2.8362457109131984,1,2,1,50.0,20.163487738419626,20.163487738419626,15.049504950495063,4.95049504950494,历史1/2次成功; 当前距低点4.95%; 最新日涨幅1.85%; 状态bottom_area; 底部已确认
200,61.30536547955945,54.58696926262143,300577,开润股份,bottom_area,2026-06-12,15.73,22.36,2026-06-11,15.18,3.6231884057971064,5.07246376811594,32.11091234347048,29.651162790697672,False,0.768737988468926,1.8415247049048213,1,3,1,33.33333333333333,23.626373626373624,23.626373626373624,16.376811594202895,3.6231884057971064,历史1/3次成功; 当前距低点3.62%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
201,61.123854010025035,54.70708333333331,603023,威帝股份,bottom_area,2026-06-12,3.99,5.37,2026-06-11,3.84,3.9062500000000098,4.687499999999993,28.491620111731848,25.698324022346362,False,2.0460358056265893,1.6375408259001294,1,3,1,33.33333333333333,27.74193548387096,27.74193548387096,16.09374999999999,3.9062500000000098,历史1/3次成功; 当前距低点3.91%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
202,60.75707202236443,54.15901895206242,600375,汉马科技,bottom_area,2026-06-12,3.94,5.42,2026-06-11,3.8,3.6842105263157925,4.210526315789478,29.88929889298893,27.30627306273063,False,2.0725388601036343,1.44664016504741,1,3,1,33.33333333333333,22.073578595317713,22.073578595317713,16.31578947368421,3.6842105263157925,历史1/3次成功; 当前距低点3.68%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
203,60.61327854932537,53.7320609362377,000995,皇台酒业,bottom_area,2026-06-12,11.01,14.89,2026-06-11,10.65,3.3802816901408397,5.070422535211259,28.475486903962395,26.05775688381464,False,1.8501387604070274,5.993810612674483,2,9,2,22.22222222222222,23.45993351722187,24.697644812221508,16.61971830985916,3.3802816901408397,历史2/9次成功; 当前距低点3.38%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
204,60.21318361915376,54.39104372722541,300507,苏奥传感,bottom_area,2026-06-12,7.1,9.58,2026-06-11,6.8,4.411764705882351,6.6176470588235325,29.018789144050107,25.887265135699376,False,0.14104372355430161,1.7200316293766102,1,4,1,25.0,33.6283185840708,33.6283185840708,15.58823529411765,4.411764705882351,历史1/4次成功; 当前距低点4.41%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
205,60.08741082754068,53.907139658294945,000661,长春高新,bottom_area,2026-06-12,66.5,90.0,2026-06-12,63.92,4.036295369211511,4.036295369211511,28.977777777777774,26.111111111111114,False,3.3893034825870805,3.8508351894510864,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,15.963704630788488,4.036295369211511,历史1/3次成功; 当前距低点4.04%; 最新日涨幅3.39%; 状态bottom_area; 底部未确认
206,59.967744959677404,53.010161290322564,000981,山子高科,bottom_area,2026-06-12,3.2,4.58,2026-06-11,3.1,3.2258064516129057,4.838709677419352,32.314410480349345,30.131004366812224,False,1.9108280254777066,2.371793866123746,1,5,1,20.0,22.499999999999993,22.499999999999993,16.774193548387096,3.2258064516129057,历史1/5次成功; 当前距低点3.23%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
207,59.889361953458305,54.09214475217081,000545,金浦钛业,bottom_area,2026-06-12,2.37,3.15,2026-06-11,2.27,4.405286343612339,7.488986784140966,27.936507936507933,24.761904761904756,True,2.155172413793105,4.857788531977712,2,8,2,25.0,22.748374277456644,24.6875,15.594713656387663,4.405286343612339,历史2/8次成功; 当前距低点4.41%; 最新日涨幅2.16%; 状态bottom_area; 底部已确认
208,59.00243108531363,52.70168865757211,002148,北纬科技,bottom_area,2026-06-12,6.29,8.35,2026-06-11,6.06,3.7953795379538025,5.115511551155124,27.425149700598805,24.670658682634727,False,1.944894651539708,2.9240340234684004,1,5,1,20.0,27.823408624229966,27.823408624229966,16.204620462046197,3.7953795379538025,历史1/5次成功; 当前距低点3.80%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
209,58.621014632781055,52.03755746683122,300365,恒华科技,bottom_area,2026-06-12,4.79,6.59,2026-06-11,4.63,3.4557235421166337,5.183585313174951,29.74203338391502,27.31411229135053,False,1.9148936170212627,2.8882918134525175,1,5,1,20.0,20.0892857142857,20.0892857142857,16.544276457883367,3.4557235421166337,历史1/5次成功; 当前距低点3.46%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
210,58.528243433791985,52.736598438949855,605108,同庆楼,bottom_area,2026-06-12,12.93,17.8,2026-06-11,12.4,4.274193548387092,4.67741935483871,30.337078651685395,27.359550561797757,False,2.945859872611467,1.0919615384615384,1,3,1,33.33333333333333,21.658206429780034,21.658206429780034,15.72580645161291,4.274193548387092,历史1/3次成功; 当前距低点4.27%; 最新日涨幅2.95%; 状态bottom_area; 底部未确认
211,58.054488637473895,52.28827730645239,000721,西安饮食,bottom_area,2026-06-12,6.13,8.38,2026-06-11,5.88,4.2517006802721085,4.761904761904766,29.832935560859198,26.849642004773276,False,3.3726812816188945,2.121866142784039,2,8,2,25.0,20.361047620821495,20.485175202156327,15.748299319727893,4.2517006802721085,历史2/8次成功; 当前距低点4.25%; 最新日涨幅3.37%; 状态bottom_area; 底部未确认
212,57.94632648424688,51.811808372895996,300713,英可瑞,bottom_area,2026-06-12,13.75,18.98,2026-06-11,13.24,3.8519637462235634,5.664652567975831,30.24236037934668,27.55532139093783,False,1.7011834319526686,4.123502675734532,1,5,1,20.0,23.73271889400922,23.73271889400922,16.14803625377644,3.8519637462235634,历史1/5次成功; 当前距低点3.85%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
213,57.45669539057562,50.417953629032276,605169,洪通燃气,bottom_area,2026-06-12,10.2,13.81,2026-06-12,9.92,2.822580645161284,6.249999999999992,28.16799420709631,26.140477914554676,False,-2.485659655831751,2.801011029411765,1,5,1,20.0,26.09375,26.09375,17.17741935483872,2.822580645161284,历史1/5次成功; 当前距低点2.82%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
214,56.26857142857143,46.89047619047619,002421,达实智能,bottom_area,2026-06-12,4.4,6.16,2026-06-12,4.4,0.0,5.454545454545439,28.57142857142857,28.57142857142857,False,-10.020449897750494,33.1611542821364,1,3,1,33.33333333333333,22.619047619047613,22.619047619047613,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
215,55.7071737218408,50.23087528816833,300639,凯普生物,bottom_area,2026-06-12,5.32,7.55,2026-06-11,5.1,4.3137254901960915,4.705882352941181,32.450331125827816,29.536423841059595,False,3.100775193798455,1.614259201711368,1,7,1,14.285714285714285,33.27433628318583,33.27433628318583,15.68627450980391,4.3137254901960915,历史1/7次成功; 当前距低点4.31%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
216,55.68948402948403,46.40790335790336,300715,凯伦股份,bottom_area,2026-06-12,19.78,28.16,2026-06-12,19.78,0.0,14.762386248736087,29.758522727272723,29.758522727272723,False,-10.90090090090089,8.68239187667352,1,3,1,33.33333333333333,20.02457002457001,20.02457002457001,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-10.90%; 状态bottom_area; 底部未确认
217,54.25183990656993,49.529688976925215,688176,亚虹医药,bottom_area,2026-06-12,10.3,14.59,2026-06-10,9.81,4.994903160040776,5.40265035677879,32.76216586703221,29.40370116518163,False,4.040404040404044,1.6345261633528811,1,5,1,20.0,25.473484848484844,25.473484848484844,15.005096839959226,4.994903160040776,历史1/5次成功; 当前距低点4.99%; 最新日涨幅4.04%; 状态bottom_area; 底部未确认
