rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
132,70.04239939250435,63.340865800865785,000576,甘化科工,bottom_area,2026-06-12,7.24,9.95,2026-06-08,6.93,4.473304473304481,6.782106782106792,30.351758793969847,27.236180904522605,False,2.5495750708215414,2.1937446018575013,2,5,2,40.0,57.033233678424665,90.05145797598628,15.526695526695523,4.473304473304481,历史2/5次成功; 当前距低点4.47%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
133,69.73064043706981,61.420771369439734,600199,金种子酒,bottom_area,2026-06-12,6.8,9.4,2026-06-11,6.6,3.030303030303033,4.5454545454545565,29.787234042553195,27.65957446808511,False,1.9490254872563728,2.1015760590009336,2,5,2,40.0,21.988506873820672,23.70304114490161,16.96969696969697,3.030303030303033,历史2/5次成功; 当前距低点3.03%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
134,69.68397947288763,61.20340173278615,002123,梦网科技,bottom_area,2026-06-12,7.52,10.16,2026-06-11,7.31,2.872777017783857,5.335157318741459,28.05118110236221,25.98425196850394,False,1.7591339648173276,2.063142144313935,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,17.127222982216146,2.872777017783857,历史1/3次成功; 当前距低点2.87%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
135,69.52121025899228,60.764890312031625,300981,中红医疗,bottom_area,2026-06-12,11.02,15.8,2026-06-11,10.74,2.607076350093104,3.6312849162011225,32.025316455696206,30.25316455696203,False,0.7312614259597838,0.9010747030062322,1,2,1,50.0,24.94099134539732,24.94099134539732,17.392923649906898,2.607076350093104,历史1/2次成功; 当前距低点2.61%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
136,69.38092050187853,60.56272197286281,002042,华孚时尚,bottom_area,2026-06-12,3.64,5.02,2026-06-11,3.55,2.5352112676056424,5.633802816901413,29.28286852589641,27.490039840637444,False,0.27548209366392573,1.75613138887988,1,3,1,33.33333333333333,42.41758241758243,42.41758241758243,17.46478873239436,2.5352112676056424,历史1/3次成功; 当前距低点2.54%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
137,69.35671557814204,60.925508474576276,002121,科陆电子,bottom_area,2026-06-12,6.07,8.78,2026-06-11,5.9,2.8813559322033884,5.423728813559311,32.8018223234624,30.865603644646917,False,2.360876897133224,2.5515009495512864,1,4,1,25.0,54.0059347181009,54.0059347181009,17.118644067796613,2.8813559322033884,历史1/4次成功; 当前距低点2.88%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
138,69.29818915822983,60.275429217340346,002518,科士达,bottom_area,2026-06-12,45.48,65.58,2026-06-11,44.44,2.3402340234023384,6.210621062106222,32.23543763342482,30.64958828911254,False,-0.17559262510975504,2.1418368850661884,1,2,1,50.0,41.51162790697675,41.51162790697675,17.65976597659766,2.3402340234023384,历史1/2次成功; 当前距低点2.34%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
139,69.24778697045869,61.80634883833258,300940,南极光,bottom_area,2026-06-12,16.03,21.99,2026-06-11,15.45,3.754045307443378,7.766990291262131,29.740791268758528,27.103228740336505,True,1.1356466876971671,2.6378052536755954,1,2,1,50.0,35.40630182421225,35.40630182421225,16.245954692556623,3.754045307443378,历史1/2次成功; 当前距低点3.75%; 最新日涨幅1.14%; 状态bottom_area; 底部已确认
140,69.1406494629453,59.29946213062828,002724,海洋王,bottom_area,2026-06-12,5.17,7.32,2026-06-11,5.09,1.5717092337917498,3.5363457760314283,30.464480874316948,29.371584699453557,False,0.19379844961240345,1.5621149521195086,1,4,1,25.0,25.204081632653047,25.204081632653047,18.428290766208253,1.5717092337917498,历史1/4次成功; 当前距低点1.57%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
141,69.08321477048636,61.58751062978007,603320,迪贝电气,bottom_area,2026-06-12,19.67,26.2,2026-06-11,18.97,3.690036900369019,5.8513442277279895,27.595419847328245,24.923664122137396,False,1.4963880288957787,1.429469864635103,2,5,2,40.0,30.972014852803454,38.22861468584406,16.30996309963098,3.690036900369019,历史2/5次成功; 当前距低点3.69%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
142,68.95184201474942,59.07315729151763,002703,浙江世宝,bottom_area,2026-06-12,15.44,22.58,2026-06-11,15.21,1.51216305062458,3.4845496383957877,32.639503985828156,31.620903454384408,False,0.7832898172323688,3.950341372238346,1,4,1,25.0,23.257467994310083,23.257467994310083,18.48783694937542,1.51216305062458,历史1/4次成功; 当前距低点1.51%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
