rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
57,73.3451230483598,67.03536108855587,605167,利柏特,bottom_area,2022-04-25,7.15,2022-04-25,7.13,0.2805049088359111,8.274894810659186,28.413654618473906,False,-8.0977,3.4212,1,1,1,100.0,10.994152046783618,10.994152046783618,9.71949509116409,0.2805049088359111,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-8.10%; 状态bottom_area; 底部未确认
58,73.26290658441775,66.98152775901663,002128,电投能源,bottom_area,2022-04-25,13.5,2022-04-25,13.46,0.29717682020801744,9.13818722139672,30.331262939958588,False,-8.9069,1.8749,1,1,1,100.0,10.909090909090903,10.909090909090903,9.702823179791983,0.29717682020801744,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-8.91%; 状态bottom_area; 底部未确认
59,73.22490476190477,66.56809523809524,000798,中水渔业,bottom_area,2022-04-25,7.49,2022-04-25,7.49,0.0,8.811748998664887,27.06913339824732,False,-9.976,6.4668,1,1,1,100.0,17.3015873015873,17.3015873015873,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
60,73.20176775960653,67.77544275427971,002676,顺威股份,bottom_area,2022-04-25,3.16,2022-04-25,3.13,0.9584664536741293,8.306709265175726,28.701594533029613,False,-7.8717,1.4349,1,1,1,100.0,23.283582089552233,23.283582089552233,9.041533546325871,0.9584664536741293,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-7.87%; 状态bottom_area; 底部未确认
61,73.1837615602403,71.46306731470192,601666,平煤股份,bottom_area,2022-04-25,13.83,2022-04-25,13.33,3.7509377344336086,8.252063015753935,29.61985216473073,False,-6.3643,3.2047,2,2,2,100.0,20.834437361347057,27.30923694779115,6.249062265566392,3.7509377344336086,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-6.36%; 状态bottom_area; 底部未确认
62,73.17430430661645,67.15363369911002,601068,中铝国际,bottom_area,2022-04-25,4.06,2022-04-25,4.04,0.4950495049504845,7.425742574257422,28.998242530755714,False,-7.0938,0.6312,1,1,1,100.0,14.259927797833935,14.259927797833935,9.504950495049517,0.4950495049504845,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-7.09%; 状态bottom_area; 底部未确认
63,73.14636732329086,66.49669756662804,603192,汇得科技,bottom_area,2022-04-25,23.81,2022-04-25,23.81,0.0,8.357832843343143,32.64497878359265,False,-9.9811,1.0296,1,1,1,100.0,16.917728852838945,16.917728852838945,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
64,73.05320647230432,66.41200588391301,300648,星云股份,bottom_area,2022-04-25,25.09,2022-04-25,25.09,0.0,7.214029493822236,31.82065217391304,False,-19.9936,8.8681,3,4,3,75.0,20.62906389200542,26.78362573099414,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-19.99%; 状态bottom_area; 底部未确认
65,72.98417438618738,69.64640335736283,688030,山石网科,bottom_area,2022-04-25,18.55,2022-04-25,18.09,2.542841348811503,7.849640685461591,27.34939759036144,False,-5.1151,2.1946,1,1,1,100.0,12.9251700680272,12.9251700680272,7.4571586511884975,2.542841348811503,历史1/1次成功; 当前距低点2.54%; 最新日涨幅-5.12%; 状态bottom_area; 底部未确认
66,72.86296617763828,66.76141099265391,002601,龙佰集团,bottom_area,2022-04-25,17.08,2022-04-25,17.01,0.4115226337448368,8.054085831863594,32.68698060941828,False,-9.0037,1.6097,1,1,1,100.0,11.127325793506023,11.127325793506023,9.588477366255162,0.4115226337448368,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-9.00%; 状态bottom_area; 底部未确认
67,72.84231092436976,66.22028265851796,002346,柘中股份,bottom_area,2022-04-25,10.41,2022-04-25,10.41,0.0,8.645533141210377,31.10522832561217,False,-9.8701,0.8217,1,1,1,100.0,15.431627196333075,15.431627196333075,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.87%; 状态bottom_area; 底部未确认
68,72.81115967910988,67.00153307687457,601886,江河集团,bottom_area,2022-04-25,4.74,2022-04-25,4.71,0.636942675159241,8.280254777070056,30.118694362017806,False,-8.8462,1.1734,1,1,1,100.0,15.181518151815196,15.181518151815196,9.36305732484076,0.636942675159241,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-8.85%; 状态bottom_area; 底部未确认
69,72.6677927318571,68.80584884804615,688093,世华科技,confirmed_rebound,2022-04-25,21.54,2022-04-25,21.09,2.133712660028446,12.375533428165005,31.68124392614189,False,-9.9122,1.1398,1,1,1,100.0,13.605987703822517,13.605987703822517,7.866287339971555,2.133712660028446,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-9.91%; 状态confirmed_rebound; 底部未确认
70,72.57720770676038,66.47993551459352,002492,恒基达鑫,confirmed_rebound,2022-04-25,5.07,2022-04-25,5.05,0.3960396039604052,10.693069306930694,30.727023319615913,False,-8.3183,3.9022,1,1,1,100.0,19.639278557114217,19.639278557114217,9.603960396039597,0.3960396039604052,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-8.32%; 状态confirmed_rebound; 底部未确认
71,72.55954545454546,65.96322314049587,000928,中钢国际,bottom_area,2022-04-25,5.16,2022-04-25,5.16,0.0,9.883720930232553,30.081300813008127,False,-9.9476,1.4453,1,1,1,100.0,14.049586776859499,14.049586776859499,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
72,72.55410344827588,65.95827586206897,300455,航天智装,bottom_area,2022-04-25,6.91,2022-04-25,6.91,0.0,8.248914616497833,30.060728744939276,False,-9.4364,0.919,1,1,1,100.0,14.022988505747136,14.022988505747136,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.44%; 状态bottom_area; 底部未确认
73,72.5320283018868,65.93820754716981,002467,二六三,bottom_area,2022-04-25,3.46,2022-04-25,3.46,0.0,7.51445086705203,29.098360655737704,False,-8.2228,1.6966,1,1,1,100.0,13.91509433962264,13.91509433962264,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-8.22%; 状态bottom_area; 底部未确认
74,72.50016892715284,65.97314540878037,688246,嘉和美康,confirmed_rebound,2022-04-25,19.71,2022-04-25,19.7,0.05076142131980489,10.203045685279196,32.534246575342465,False,-11.0158,2.0848,1,1,1,100.0,12.682158330051196,12.682158330051196,9.949238578680196,0.05076142131980489,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-11.02%; 状态confirmed_rebound; 底部未确认
75,72.46017329422564,66.0715250457112,002793,罗欣药业,confirmed_rebound,2022-04-25,6.35,2022-04-25,6.34,0.1577287066246023,10.410094637223978,30.93681917211329,False,-9.8011,1.2386,1,1,1,100.0,14.52229299363058,14.52229299363058,9.842271293375399,0.1577287066246023,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-9.80%; 状态confirmed_rebound; 底部未确认
76,72.37205440900564,65.79277673545967,002690,美亚光电,bottom_area,2022-04-25,20.88,2022-04-25,20.88,0.0,6.800766283524913,30.74626865671642,False,-6.7441,0.9757,1,1,1,100.0,13.133208255159476,13.133208255159476,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.74%; 状态bottom_area; 底部未确认
77,72.26363486513587,66.0560701652455,000153,丰原药业,confirmed_rebound,2022-04-25,6.97,2022-04-25,6.95,0.2877697841726557,10.071942446043169,29.441624365482227,False,-9.5979,2.1105,1,1,1,100.0,16.03325415676959,16.03325415676959,9.712230215827343,0.2877697841726557,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-9.60%; 状态confirmed_rebound; 底部未确认
78,72.22980509908474,68.99937959964674,605108,同庆楼,bottom_area,2022-04-25,15.4,2022-04-25,15.01,2.598267821452369,7.461692205196531,27.02965483714147,False,-5.1724,8.2624,1,1,1,100.0,10.12596899224806,10.12596899224806,7.401732178547632,2.598267821452369,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-5.17%; 状态bottom_area; 底部未确认
79,72.19911986430456,65.63556351300414,002190,成飞集成,bottom_area,2022-04-25,21.2,2022-04-25,21.2,0.0,9.386792452830198,30.944625407166125,False,-9.9788,1.5513,1,1,1,100.0,12.28797587636637,12.28797587636637,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
80,71.95133846153847,65.4103076923077,002249,大洋电机,bottom_area,2022-04-25,4.7,2022-04-25,4.7,0.0,8.936170212765955,30.780559646539025,False,-9.2664,1.891,1,1,1,100.0,11.076923076923073,11.076923076923073,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.27%; 状态bottom_area; 底部未确认
81,71.91183516483517,65.3743956043956,002474,榕基软件,confirmed_rebound,2022-04-25,5.1,2022-04-25,5.1,0.0,10.196078431372559,29.166666666666675,False,-9.894,3.7162,1,1,1,100.0,21.0989010989011,21.0989010989011,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.89%; 状态confirmed_rebound; 底部未确认
82,71.87822732866881,65.69515401007364,002115,三维通信,confirmed_rebound,2022-04-25,3.57,2022-04-25,3.56,0.2808988764044884,10.393258426966295,27.34693877551021,False,-9.6203,1.9262,1,1,1,100.0,14.008620689655181,14.008620689655181,9.719101123595513,0.2808988764044884,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-9.62%; 状态confirmed_rebound; 底部未确认
83,71.82129343629346,65.29208494208495,002802,洪汇新材,confirmed_rebound,2022-04-25,18.6,2022-04-25,18.6,0.0,12.84946236559138,27.90697674418604,False,-10.0145,3.9005,1,1,1,100.0,20.65637065637066,20.65637065637066,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态confirmed_rebound; 底部未确认
84,71.81957822220244,66.09421911421911,002654,万润科技,bottom_area,2022-04-25,3.14,2022-04-25,3.12,0.6410256410256416,9.61538461538461,30.20134228187919,False,-8.1871,2.0648,1,1,1,100.0,10.353535353535358,10.353535353535358,9.35897435897436,0.6410256410256416,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-8.19%; 状态bottom_area; 底部未确认
85,71.79328571428572,65.26662337662337,002047,宝鹰股份,confirmed_rebound,2022-04-25,2.8,2022-04-25,2.8,0.0,10.35714285714286,31.034482758620683,False,-9.9678,2.4929,1,1,1,100.0,20.51948051948051,20.51948051948051,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部未确认
86,71.01135987718519,65.07669291338584,600149,廊坊发展,confirmed_rebound,2022-04-25,4.77,2022-04-25,4.75,0.4210526315789384,10.947368421052623,29.1044776119403,False,-7.3786,3.2322,1,1,1,100.0,12.401574803149604,12.401574803149604,9.578947368421062,0.4210526315789384,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-7.38%; 状态confirmed_rebound; 底部未确认
87,70.58699999999999,64.16999999999999,002827,高争民爆,confirmed_rebound,2022-04-25,8.72,2022-04-25,8.72,0.0,10.091743119266043,29.105691056910565,False,-10.0103,2.2452,1,1,1,100.0,14.623655913978487,14.623655913978487,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态confirmed_rebound; 底部未确认
88,70.19826043737577,63.81660039761432,000572,海马汽车,confirmed_rebound,2022-04-25,4.5,2022-04-25,4.5,0.0,10.222222222222221,29.24528301886793,False,-10.0,1.9328,1,1,1,100.0,12.723658051689855,12.723658051689855,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态confirmed_rebound; 底部未确认
89,69.86736139400755,64.31305232921196,002567,唐人神,confirmed_rebound,2022-04-25,7.7,2022-04-25,7.65,0.6535947712418277,10.196078431372541,29.880843263061408,False,-8.3333,4.5182,1,1,1,100.0,11.146496815286627,11.146496815286627,9.346405228758172,0.6535947712418277,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-8.33%; 状态confirmed_rebound; 底部未确认
90,67.58029028224246,61.58495125164689,603233,大参林,bottom_area,2022-04-25,23.78,2022-04-25,23.75,0.12631578947368902,8.968421052631575,28.99850523168909,False,-8.6439,0.6774,2,3,2,66.66666666666666,18.689702069786225,20.223978919631097,9.87368421052631,0.12631578947368902,历史2/3次成功; 当前距低点0.13%; 最新日涨幅-8.64%; 状态bottom_area; 底部未确认
91,66.1281790244417,60.518387615874545,300511,雪榕生物,confirmed_rebound,2022-04-25,5.75,2022-04-25,5.73,0.3490401396160484,10.296684118673644,28.99628252788104,False,-11.1283,5.957,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,9.650959860383953,0.3490401396160484,历史2/3次成功; 当前距低点0.35%; 最新日涨幅-11.13%; 状态confirmed_rebound; 底部未确认
92,64.77097290467664,58.88270264061512,002111,威海广泰,bottom_area,2022-04-25,7.8,2022-04-25,7.8,0.0,5.897435897435897,27.509293680297397,False,-6.6986,1.1153,2,3,2,66.66666666666666,14.871161150260495,15.227629513343796,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-6.70%; 状态bottom_area; 底部未确认
93,64.10932925805149,63.24838963987658,300757,罗博特科,confirmed_rebound,2022-04-25,29.9,2022-04-25,28.67,4.290198814091373,11.47540983606557,27.34414597060314,False,-8.9802,1.0303,1,1,1,100.0,10.161521161316717,10.161521161316717,5.709801185908627,4.290198814091373,历史1/1次成功; 当前距低点4.29%; 最新日涨幅-8.98%; 状态confirmed_rebound; 底部未确认
94,61.37275557374622,57.060075452347824,000695,滨海能源,bottom_area,2022-04-25,7.74,2022-04-25,7.65,1.1764705882352922,8.627450980392158,27.556818181818183,False,-6.747,0.9106,1,2,1,50.0,20.174346201743475,20.174346201743475,8.823529411764708,1.1764705882352922,历史1/2次成功; 当前距低点1.18%; 最新日涨幅-6.75%; 状态bottom_area; 底部未确认
95,61.16000000000001,55.60000000000001,300488,恒锋工具,bottom_area,2022-04-25,19.84,2022-04-25,19.84,0.0,9.223790322580655,27.802037845705968,False,-9.7772,1.2446,1,2,1,50.0,65.52470248827983,65.52470248827983,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.78%; 状态bottom_area; 底部未确认
