rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.41024922935445,83.07880617414972,300454,深信服,bottom_area,2023-10-27,82.5,2023-10-27,80.44,2.560914967677775,2.9711586275484843,27.150878464046375,False,0.3405,1.2126,3,3,3,100.0,19.34243172287662,29.49391262831224,5.439085032322224,2.560914967677775,历史3/3次成功; 当前距低点2.56%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
2,84.26340535973617,79.70891810795399,688023,安恒信息,bottom_area,2023-10-27,118.28,2023-10-24,116.98,1.1113010771071954,4.804240041032647,29.021297251380375,False,-2.6021,1.4199,1,1,1,100.0,39.261744966442954,39.261744966442954,6.8886989228928055,1.1113010771071954,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
3,82.10972441618067,79.65868786644394,603326,我乐家居,bottom_area,2023-10-27,10.14,2023-10-23,9.9,2.4242424242424265,3.8383838383838285,30.76923076923077,False,1.1976,2.2523,2,2,2,100.0,15.946024697401477,20.141843971631218,5.5757575757575735,2.4242424242424265,历史2/2次成功; 当前距低点2.42%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
4,80.84783365727326,80.1682657061124,603129,春风动力,bottom_area,2023-10-27,103.53,2023-10-26,99.97,3.561068320496151,4.9714914474342295,32.48919502971368,False,1.3807,0.97,3,3,3,100.0,15.954309015288315,20.09633197480549,4.438931679503849,3.561068320496151,历史3/3次成功; 当前距低点3.56%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
5,80.09640774144816,79.80620336557334,002080,中材科技,bottom_area,2023-10-27,17.16,2023-10-26,16.53,3.8112522686025345,5.081669691470053,27.244718309859145,False,2.0821,0.8196,3,3,3,100.0,17.074508268747955,28.579356270810223,4.1887477313974655,3.8112522686025345,历史3/3次成功; 当前距低点3.81%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
6,80.06301312587559,77.9154282137651,000560,我爱我家,bottom_area,2023-10-27,2.38,2023-10-23,2.32,2.5862068965517264,5.603448275862084,32.55813953488372,False,1.2766,1.6343,2,2,2,100.0,8.559031924209851,8.679245283018867,5.413793103448274,2.5862068965517264,历史2/2次成功; 当前距低点2.59%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
7,79.04034376649973,76.08802037559302,000938,紫光股份,bottom_area,2023-10-27,19.69,2023-10-23,19.3,2.020725388601039,4.041450777202059,28.011935844834014,False,-0.9059,1.6681,1,1,1,100.0,30.942334739803094,30.942334739803094,5.979274611398961,2.020725388601039,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
8,78.57073496016488,78.85471334907473,000928,中钢国际,bottom_area,2023-10-27,6.22,2023-10-23,5.97,4.1876046901172534,5.192629815745402,31.06235565819862,False,2.3026,2.089,3,3,3,100.0,16.57232280936585,18.798449612403097,3.812395309882747,4.1876046901172534,历史3/3次成功; 当前距低点4.19%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
9,77.7938889314042,76.26236489563992,600408,安泰集团,bottom_area,2023-10-27,2.43,2023-10-23,2.36,2.9661016949152663,7.203389830508472,30.99415204678363,True,-0.8163,1.7705,2,2,2,100.0,17.60793957014374,21.457489878542503,5.033898305084734,2.9661016949152663,历史2/2次成功; 当前距低点2.97%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
10,77.19448982474104,75.12788061661216,600057,厦门象屿,bottom_area,2023-10-27,6.34,2023-10-26,6.18,2.588996763754048,3.559870550161823,27.12264150943397,False,1.278,0.8722,1,1,1,100.0,10.273081924577374,10.273081924577374,5.411003236245953,2.588996763754048,历史1/1次成功; 当前距低点2.59%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
11,76.5996101890447,76.16438513115239,002314,南山控股,bottom_area,2023-10-27,3.08,2023-10-19,2.97,3.7037037037036993,4.713804713804703,28.087167070217912,False,0.3257,1.0107,2,2,2,100.0,12.843169761273208,13.750000000000004,4.296296296296301,3.7037037037036993,历史2/2次成功; 当前距低点3.70%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
12,76.52652154856109,76.347359744361,000014,沙河股份,bottom_area,2023-10-27,11.25,2023-10-23,10.83,3.8781163434903037,5.909510618651899,31.671924290220822,False,1.0782,2.3521,2,2,2,100.0,15.964865631822029,20.605355064027936,4.121883656509697,3.8781163434903037,历史2/2次成功; 当前距低点3.88%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
13,76.11122435973834,76.60520249167459,600328,中盐化工,bottom_area,2023-10-27,7.94,2023-10-26,7.61,4.336399474375821,4.599211563731926,28.207547169811313,False,1.7949,0.8797,2,2,2,100.0,22.968781146513187,37.26315789473683,3.663600525624179,4.336399474375821,历史2/2次成功; 当前距低点4.34%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
14,74.53975838242354,75.73117774782871,601155,新城控股,bottom_area,2023-10-27,11.95,2023-10-20,11.4,4.8245614035087625,5.263157894736839,27.06333973128599,False,1.2712,0.5722,2,2,2,100.0,24.2536438055306,24.642857142857142,3.1754385964912375,4.8245614035087625,历史2/2次成功; 当前距低点4.82%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
15,73.98978385983762,74.70670755281996,603305,旭升集团,bottom_area,2023-10-27,18.34,2023-10-26,17.55,4.501424501424496,6.324786324786322,27.178423236514526,False,1.382,1.3611,2,2,2,100.0,14.784706537999003,15.339805825242717,3.498575498575504,4.501424501424496,历史2/2次成功; 当前距低点4.50%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
16,72.83761498871263,73.8023516110797,688337,普源精电,bottom_area,2023-10-27,39.78,2023-10-26,38.0,4.684210526315793,5.973684210526324,27.61904761904762,False,2.5522,1.8269,1,1,1,100.0,28.829847371396255,28.829847371396255,3.3157894736842075,4.684210526315793,历史1/1次成功; 当前距低点4.68%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
17,72.55344820884888,73.05813953488374,600280,中央商场,bottom_area,2023-10-27,3.59,2023-10-23,3.44,4.360465116279067,7.267441860465117,27.57894736842105,True,1.6997,1.5925,1,1,1,100.0,11.666666666666671,11.666666666666671,3.639534883720933,4.360465116279067,历史1/1次成功; 当前距低点4.36%; 最新日涨幅1.70%; 状态bottom_area; 底部已确认
18,72.25117218036034,72.04678414024616,300713,英可瑞,bottom_area,2023-10-27,18.33,2023-10-24,17.65,3.85269121813031,4.815864022662899,27.066115702479344,False,-0.3263,5.5249,2,2,2,100.0,15.004946868727224,19.819819819819813,4.14730878186969,3.85269121813031,历史2/2次成功; 当前距低点3.85%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
19,71.30139819456211,72.12955231371964,000006,深振业A,bottom_area,2023-10-27,4.32,2023-10-23,4.13,4.6004842615012205,6.053268765133172,32.295081967213115,False,0.9346,0.9497,1,1,1,100.0,18.809980806142043,18.809980806142043,3.3995157384987795,4.6004842615012205,历史1/1次成功; 当前距低点4.60%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
20,70.54738856046461,71.1501887708846,601156,东航物流,bottom_area,2023-10-27,11.52,2023-10-23,11.03,4.442429737080691,5.077062556663649,32.33128834355829,False,1.9469,0.7367,1,1,1,100.0,11.607142857142852,11.607142857142852,3.5575702629193087,4.442429737080691,历史1/1次成功; 当前距低点4.44%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
21,69.70014466992173,70.67686915731652,301371,敷尔佳,bottom_area,2023-10-27,41.68,2023-10-23,39.8,4.723618090452268,5.92964824120603,27.252787424602452,False,2.207,5.4895,1,1,1,100.0,12.50923872875093,12.50923872875093,3.276381909547732,4.723618090452268,历史1/1次成功; 当前距低点4.72%; 最新日涨幅2.21%; 状态bottom_area; 底部未确认
22,69.47834199428961,70.36396674845278,000063,中兴通讯,bottom_area,2023-10-27,26.06,2023-10-26,24.9,4.658634538152611,5.622489959839366,27.57417102966842,False,1.5588,3.3577,1,1,1,100.0,10.030395136778129,10.030395136778129,3.34136546184739,4.658634538152611,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
23,69.39556177735312,70.70080745341618,000965,天保基建,confirmed_rebound,2023-10-27,3.38,2023-10-23,3.22,4.968944099378873,8.385093167701864,29.8474945533769,True,1.1976,1.47,1,1,1,100.0,16.666666666666664,16.666666666666664,3.0310559006211277,4.968944099378873,历史1/1次成功; 当前距低点4.97%; 最新日涨幅1.20%; 状态confirmed_rebound; 底部已确认
24,69.17643227363062,70.31005785339788,002708,光洋股份,confirmed_rebound,2023-10-27,7.79,2023-10-23,7.43,4.845222072678335,9.01749663526245,29.439696106362774,True,-2.625,8.3181,1,1,1,100.0,35.522388059701484,35.522388059701484,3.154777927321665,4.845222072678335,历史1/1次成功; 当前距低点4.85%; 最新日涨幅-2.62%; 状态confirmed_rebound; 底部已确认
25,69.08229032887951,67.83432778290822,000701,厦门信达,bottom_area,2023-10-27,5.74,2023-10-27,5.57,3.0520646319569105,7.18132854578096,30.112923462986192,False,-5.9016,5.9219,1,1,1,100.0,9.424920127795525,9.424920127795525,4.9479353680430895,3.0520646319569105,历史1/1次成功; 当前距低点3.05%; 最新日涨幅-5.90%; 状态bottom_area; 底部未确认
26,68.51265877474259,69.68123782399542,002049,紫光国微,bottom_area,2023-10-27,73.94,2023-10-24,70.5,4.8794326241134724,4.936170212765964,27.003520397597846,False,2.9518,1.5394,1,1,1,100.0,9.066366704161965,9.066366704161965,3.120567375886528,4.8794326241134724,历史1/1次成功; 当前距低点4.88%; 最新日涨幅2.95%; 状态bottom_area; 底部未确认
27,68.46868165114223,69.71208822953545,000721,西安饮食,confirmed_rebound,2023-10-27,10.63,2023-10-23,10.13,4.935834155972358,8.588351431391898,30.521262002743477,True,2.0154,3.4149,3,4,3,75.0,15.111774758884062,20.485175202156327,3.0641658440276416,4.935834155972358,历史3/4次成功; 当前距低点4.94%; 最新日涨幅2.02%; 状态confirmed_rebound; 底部已确认
