rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.0910344533832,84.58011681319569,000811,冰轮环境,bottom_area,2024-07-24,8.21,2024-07-24,8.12,1.1083743842364733,2.339901477832528,31.64983164983166,False,-0.1217,1.1253,3,3,3,100.0,32.0817763938432,47.451868629671566,8.891625615763527,1.1083743842364733,历史3/3次成功; 当前距低点1.11%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
2,90.59685779894862,85.39867743343518,600973,宝胜股份,bottom_area,2024-07-24,3.22,2024-07-18,3.16,1.8987341772151913,4.113924050632908,31.749460043196542,False,0.0,0.659,2,2,2,100.0,40.36446966390223,46.551724137931025,8.101265822784809,1.8987341772151913,历史2/2次成功; 当前距低点1.90%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,86.53589458191664,79.28681440751527,601666,平煤股份,bottom_area,2024-07-24,9.8,2024-07-24,9.76,0.40983606557377994,2.663934426229506,28.498168498168504,False,-1.2097,0.6541,4,4,4,100.0,18.23247654313697,27.30923694779115,9.590163934426222,0.40983606557377994,历史4/4次成功; 当前距低点0.41%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
4,86.32342531341361,78.9256208515108,603368,柳药集团,bottom_area,2024-07-24,16.75,2024-07-16,16.7,0.29940119760479467,3.413173652694613,30.705394190871377,False,-0.6524,1.2324,3,3,3,100.0,31.603524634675978,42.85714285714285,9.700598802395206,0.29940119760479467,历史3/3次成功; 当前距低点0.30%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
5,85.98159364234469,79.79334492103408,001203,大中矿业,bottom_area,2024-07-24,8.42,2024-07-24,8.33,1.080432172869146,2.400960384153653,28.374892519346524,False,-0.8245,0.3196,2,2,2,100.0,22.670592877288865,29.46341463414634,8.919567827130855,1.080432172869146,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
6,85.78543196683177,78.3190188376431,601886,江河集团,bottom_area,2024-07-24,4.5,2024-07-24,4.49,0.22271714922048524,2.2271714922048917,29.067930489731435,False,-1.3158,0.7021,3,3,3,100.0,27.40222547239673,33.5540838852097,9.777282850779516,0.22271714922048524,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
7,85.27176936581219,79.18654122534214,600230,沧州大化,bottom_area,2024-07-24,9.07,2024-07-24,8.97,1.1148272017837195,2.229654403567439,29.647058823529406,False,0.443,0.6393,1,1,1,100.0,14.02337228714524,14.02337228714524,8.885172798216281,1.1148272017837195,历史1/1次成功; 当前距低点1.11%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
8,84.98421283863073,78.06131793947272,000065,北方国际,bottom_area,2024-07-24,9.28,2024-07-24,9.23,0.5417118093174316,2.4918743228602427,30.33962264150943,False,-0.6424,0.6635,3,3,3,100.0,29.926993896325044,41.48061104582843,9.45828819068257,0.5417118093174316,历史3/3次成功; 当前距低点0.54%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
9,83.84943756419918,77.03933096000026,605567,春雪食品,bottom_area,2024-07-24,7.24,2024-07-09,7.2,0.555555555555556,7.638888888888887,29.961089494163417,True,-1.897,1.348,2,2,2,100.0,32.07525605734906,36.46616541353383,9.444444444444445,0.555555555555556,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
10,83.62692067080401,77.05559105942761,000789,万年青,bottom_area,2024-07-24,4.28,2024-07-09,4.25,0.7058823529411823,7.2941176470588145,29.752066115702476,True,-1.6092,0.4928,2,2,2,100.0,34.00539152759949,47.599999999999994,9.294117647058817,0.7058823529411823,历史2/2次成功; 当前距低点0.71%; 最新日涨幅-1.61%; 状态bottom_area; 底部已确认
11,83.29975968978115,76.72898731505799,002246,北化股份,bottom_area,2024-07-24,7.31,2024-07-18,7.26,0.6887052341597772,6.887052341597796,31.315042573320724,False,-1.3495,1.4724,3,3,3,100.0,24.565780908291877,31.992687385740403,9.311294765840223,0.6887052341597772,历史3/3次成功; 当前距低点0.69%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
12,82.75087863701577,75.84865136298421,601038,一拖股份,bottom_area,2024-07-24,14.0,2024-07-24,13.94,0.43041606886657463,3.4433285509325713,30.125313283208023,False,-2.0979,0.591,1,1,1,100.0,53.52941176470589,53.52941176470589,9.569583931133426,0.43041606886657463,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
13,82.71949533687146,77.94800778884705,000597,东北制药,bottom_area,2024-07-24,3.79,2024-07-09,3.72,1.8817204301075225,7.258064516129033,29.00763358778626,True,-2.0672,0.5131,2,2,2,100.0,13.378120266087073,16.59751037344398,8.118279569892477,1.8817204301075225,历史2/2次成功; 当前距低点1.88%; 最新日涨幅-2.07%; 状态bottom_area; 底部已确认
14,82.71313612085764,75.93337086504964,002545,东方铁塔,bottom_area,2024-07-24,5.88,2024-07-24,5.85,0.5128205128205171,2.2222222222222356,29.004854368932044,False,-0.6757,0.6941,3,3,3,100.0,18.132266850969987,28.468653648509758,9.487179487179484,0.5128205128205171,历史3/3次成功; 当前距低点0.51%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
15,82.6544654425499,76.666633484288,600970,中材国际,bottom_area,2024-07-24,9.59,2024-07-24,9.49,1.0537407797681733,3.055848261327704,29.91137370753323,False,-1.2358,0.8118,1,1,1,100.0,22.19979818365287,22.19979818365287,8.946259220231829,1.0537407797681733,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
16,82.4740943581394,76.17034192312236,603209,兴通股份,bottom_area,2024-07-24,12.18,2024-07-24,12.08,0.827814569536421,2.8145695364238397,27.794381350866708,False,-1.2165,0.7669,3,3,3,100.0,23.267522267018258,26.115859449192786,9.17218543046358,0.827814569536421,历史3/3次成功; 当前距低点0.83%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
17,82.44252861652267,75.67556962025317,002687,乔治白,bottom_area,2024-07-24,3.97,2024-07-24,3.95,0.5063291139240511,2.0253164556962044,32.47863247863248,False,-1.7327,1.2728,1,1,1,100.0,64.00000000000001,64.00000000000001,9.49367088607595,0.5063291139240511,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
18,82.28866969921074,76.64455205811136,000930,中粮科技,bottom_area,2024-07-24,4.78,2024-07-10,4.72,1.2711864406779767,8.262711864406793,28.915662650602407,True,-1.6461,0.6011,1,1,1,100.0,15.552995391705066,15.552995391705066,8.728813559322024,1.2711864406779767,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
19,81.30342609663069,74.3019008264463,002552,宝鼎科技,bottom_area,2024-07-24,10.92,2024-07-24,10.89,0.27548209366390597,5.601469237832869,28.35526315789473,False,-5.8621,2.0436,1,1,1,100.0,52.23596574690771,52.23596574690771,9.724517906336095,0.27548209366390597,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-5.86%; 状态bottom_area; 底部未确认
20,81.2806777578575,75.40540038556006,603187,海容冷链,bottom_area,2024-07-24,10.46,2024-07-24,10.35,1.0628019323671614,2.4154589371980677,32.83582089552239,False,-0.8531,0.8437,1,1,1,100.0,15.530047265361235,15.530047265361235,8.93719806763284,1.0628019323671614,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
21,81.18825482521416,74.64411337834552,300349,金卡智能,bottom_area,2024-07-24,10.22,2024-07-24,10.16,0.590551181102367,2.2637795275590595,31.857813547954393,False,-0.8729,0.8369,1,1,1,100.0,45.48693586698337,45.48693586698337,9.409448818897634,0.590551181102367,历史1/1次成功; 当前距低点0.59%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
22,81.09779815884528,74.33345385778671,001218,丽臣实业,bottom_area,2024-07-24,14.0,2024-07-24,13.94,0.43041606886657463,2.2238163558106203,29.595959595959602,False,-1.6163,0.8801,2,2,2,100.0,25.18711018711019,29.999999999999993,9.569583931133426,0.43041606886657463,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
23,80.62273334012313,76.48597737179803,603010,万盛股份,bottom_area,2024-07-24,8.69,2024-07-18,8.5,2.235294117647053,5.764705882352944,27.78249787595582,False,0.4624,0.617,1,1,1,100.0,13.238967527060783,13.238967527060783,7.764705882352947,2.235294117647053,历史1/1次成功; 当前距低点2.24%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
24,80.48767276691537,73.84082802547773,300469,信息发展,bottom_area,2024-07-24,12.62,2024-07-24,12.56,0.4777070063694166,6.60828025477707,27.14617169373549,False,-6.5877,17.2385,1,1,1,100.0,52.431476569407586,52.431476569407586,9.522292993630584,0.4777070063694166,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-6.59%; 状态bottom_area; 底部未确认
25,79.69125397886329,74.2594859526586,000039,中集集团,bottom_area,2024-07-24,7.82,2024-07-24,7.72,1.2953367875647739,2.8497409326424954,28.45227062094532,False,-1.1378,1.023,1,1,1,100.0,12.219644238205724,12.219644238205724,8.704663212435227,1.2953367875647739,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
26,79.51166677143574,74.30150057273768,002320,海峡股份,bottom_area,2024-07-24,4.92,2024-07-09,4.85,1.443298969072171,5.567010309278361,27.28635682158921,False,-1.2048,0.4689,1,1,1,100.0,14.259259259259249,14.259259259259249,8.55670103092783,1.443298969072171,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
27,79.49015040579592,72.94474201474203,603012,创力集团,bottom_area,2024-07-24,4.09,2024-07-09,4.07,0.4914004914004809,6.633906633906624,27.19141323792486,False,-1.4458,0.7773,1,1,1,100.0,35.13513513513512,35.13513513513512,9.508599508599518,0.4914004914004809,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
28,79.4830196466157,72.49841614040585,002768,国恩股份,bottom_area,2024-07-24,17.22,2024-07-24,17.19,0.17452006980801385,2.44328097731238,27.25349132458738,False,-1.431,0.7317,2,2,2,100.0,12.184526341764123,13.681691264459511,9.825479930191987,0.17452006980801385,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
29,79.3785176259253,72.54077721864954,688188,柏楚电子,bottom_area,2024-07-24,139.04,2024-07-24,138.66,0.2740516370979341,4.565123323236704,31.677753141167774,False,-3.0404,0.6341,2,2,2,100.0,23.84739221092917,34.07281509974057,9.725948362902066,0.2740516370979341,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
30,79.37691002770464,72.44365248889056,002563,森马服饰,bottom_area,2024-07-24,4.89,2024-07-24,4.88,0.20491803278688087,2.4590163934426252,27.59643916913947,False,-2.2,0.5981,1,1,1,100.0,28.929384965831446,28.929384965831446,9.79508196721312,0.20491803278688087,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
31,79.31815389623615,75.33954852470671,002191,劲嘉股份,bottom_area,2024-07-24,3.56,2024-07-09,3.48,2.2988505747126458,8.62068965517241,27.348643006263053,True,-1.6575,0.7403,1,1,1,100.0,21.134020618556693,21.134020618556693,7.701149425287354,2.2988505747126458,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
32,78.98457081404418,72.6861326266891,600210,紫江企业,bottom_area,2024-07-24,4.72,2024-07-24,4.69,0.6396588486140588,2.5586353944562727,27.173913043478258,False,-0.2114,0.8503,2,2,2,100.0,18.895455922199744,19.867549668874158,9.360341151385942,0.6396588486140588,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
33,78.92377663642358,77.45097224401738,601156,东航物流,bottom_area,2024-07-24,15.04,2024-07-23,14.46,4.011065006915617,9.474412171507602,31.175630652070446,False,0.4005,2.1406,2,2,2,100.0,23.527959461209687,35.44877606527652,5.988934993084383,4.011065006915617,历史2/2次成功; 当前距低点4.01%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
34,78.90632576813913,72.0702505336932,001308,康冠科技,bottom_area,2024-07-24,20.4,2024-07-24,20.35,0.24570024570023172,2.8501228501228417,32.00801871032408,False,-2.4857,2.1699,1,1,1,100.0,27.421758569299566,27.421758569299566,9.754299754299769,0.24570024570023172,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
35,78.25793208541697,73.96779970266255,002335,科华数据,bottom_area,2024-07-24,19.0,2024-07-10,18.62,2.040816326530607,8.37808807733619,32.24163027656477,True,-2.3638,1.7973,1,1,1,100.0,10.596026490066222,10.596026490066222,7.959183673469394,2.040816326530607,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
36,78.04063528705129,71.56649962605651,002698,博实股份,bottom_area,2024-07-24,11.01,2024-07-24,10.96,0.456204379562034,2.3722627737226256,30.982367758186395,False,-1.6086,0.6431,2,2,2,100.0,10.627126943322317,11.142857142857146,9.543795620437967,0.456204379562034,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
37,77.51289005525884,76.91663705483376,000301,东方盛虹,confirmed_rebound,2024-07-24,7.74,2024-07-09,7.4,4.594594594594593,11.891891891891877,28.914505283381363,True,-2.1492,0.1539,6,6,6,100.0,17.969423282308696,28.337639965546952,5.405405405405408,4.594594594594593,历史6/6次成功; 当前距低点4.59%; 最新日涨幅-2.15%; 状态confirmed_rebound; 底部已确认
38,77.19405376684934,70.48718954248368,002543,万和电气,bottom_area,2024-07-24,8.66,2024-07-24,8.64,0.23148148148147651,3.1249999999999947,29.46938775510204,False,-2.0362,0.5333,1,1,1,100.0,18.736383442265804,18.736383442265804,9.768518518518524,0.23148148148147651,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
