rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.9376660341851,84.50350369002058,603221,爱丽家居,bottom_area,2025-09-03,12.09,2025-09-02,11.93,1.341156747694888,5.616093880972338,32.2159090909091,False,-2.1053,1.988,4,4,4,100.0,17.856672444972688,20.699708454810505,6.658843252305112,1.341156747694888,历史4/4次成功; 当前距低点1.34%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
2,86.88247065115908,83.8094572197676,002795,永和智控,bottom_area,2025-09-03,4.8,2025-08-28,4.7,2.1276595744680775,5.957446808510643,31.884057971014496,False,-2.439,3.4047,6,6,6,100.0,23.766242201907538,32.328767123287676,5.872340425531923,2.1276595744680775,历史6/6次成功; 当前距低点2.13%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
3,85.56307780448593,80.26487611644104,300510,金冠股份,bottom_area,2025-09-03,4.46,2025-09-03,4.43,0.6772009029345428,3.6117381489842018,30.01579778830964,False,-2.6201,4.213,4,4,4,100.0,26.76824825339677,40.000000000000014,7.322799097065458,0.6772009029345428,历史4/4次成功; 当前距低点0.68%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
4,84.86569753586332,79.4151291115923,300665,飞鹿股份,bottom_area,2025-09-03,9.15,2025-09-03,9.1,0.5494505494505573,4.175824175824185,29.18287937743191,False,-2.9692,7.1829,5,5,5,100.0,20.633743894298735,23.50486787204451,7.450549450549443,0.5494505494505573,历史5/5次成功; 当前距低点0.55%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
5,84.15189314939276,78.45452687294969,688115,思林杰,bottom_area,2025-09-03,53.55,2025-09-03,53.36,0.35607196401798674,7.571214392803596,29.890947313099463,False,-4.375,3.3025,7,7,7,100.0,23.313822316724192,53.58819584171696,7.643928035982013,0.35607196401798674,历史7/7次成功; 当前距低点0.36%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
6,83.84582985971346,78.00969321054546,002695,煌上煌,bottom_area,2025-09-03,12.03,2025-09-03,12.0,0.24999999999999467,3.6666666666666625,27.18446601941748,False,-2.5122,1.4981,3,3,3,100.0,26.073619411534626,30.57176196032671,7.750000000000005,0.24999999999999467,历史3/3次成功; 当前距低点0.25%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
7,83.83900766897774,78.53314375252387,603192,汇得科技,bottom_area,2025-09-03,21.74,2025-09-03,21.61,0.6015733456732948,4.118463674224899,27.165487023929902,False,-2.3799,1.5361,4,4,4,100.0,16.530811723972995,25.562817719680464,7.3984266543267045,0.6015733456732948,历史4/4次成功; 当前距低点0.60%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
8,83.71453500065502,81.0157108181661,688448,磁谷科技,bottom_area,2025-09-03,47.67,2025-09-03,46.6,2.2961373390557944,5.343347639484983,27.027873473222673,False,-0.5425,6.1647,2,2,2,100.0,44.14464489899632,63.23529411764706,5.703862660944206,2.2961373390557944,历史2/2次成功; 当前距低点2.30%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
9,83.28963657087931,78.92158002581573,300902,国安达,bottom_area,2025-09-03,22.78,2025-09-03,22.51,1.1994669035983987,3.8649489115948352,31.82919442761963,False,-2.3156,5.4607,2,2,2,100.0,19.4428202474198,26.906779661016937,6.800533096401601,1.1994669035983987,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
10,82.9206484575553,77.55976105034408,000561,烽火电子,bottom_area,2025-09-03,11.47,2025-09-03,11.41,0.5258545135845792,7.8001752848378665,29.1304347826087,False,-6.6721,6.3696,4,4,4,100.0,20.584458824284518,31.050955414012744,7.474145486415421,0.5258545135845792,历史4/4次成功; 当前距低点0.53%; 最新日涨幅-6.67%; 状态bottom_area; 底部未确认
11,82.84871452083325,77.2311212333567,301259,艾布鲁,bottom_area,2025-09-03,42.96,2025-09-03,42.81,0.35038542396635963,6.49380985750993,30.884727155311587,False,-4.7661,8.5663,2,2,2,100.0,52.009763002213916,74.57627118644068,7.649614576033641,0.35038542396635963,历史2/2次成功; 当前距低点0.35%; 最新日涨幅-4.77%; 状态bottom_area; 底部未确认
12,82.82297530748944,78.51870535761898,603080,新疆火炬,bottom_area,2025-09-03,20.65,2025-08-28,20.4,1.2254901960784315,5.490196078431378,29.655172413793107,False,-2.3179,2.1981,2,2,2,100.0,17.595822605794677,22.385321100917427,6.774509803921569,1.2254901960784315,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
13,82.07984606455503,76.32483013293943,301009,可靠股份,bottom_area,2025-09-03,13.57,2025-09-03,13.54,0.22156573116692127,3.9881831610044385,27.008086253369278,False,-2.7937,3.8949,1,1,1,100.0,53.96648044692738,53.96648044692738,7.778434268833079,0.22156573116692127,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
14,82.05341943427375,76.39667494180404,002800,天顺股份,bottom_area,2025-09-03,13.97,2025-09-03,13.93,0.28715003589376115,6.030150753768844,27.673935617860856,False,-4.5765,4.3951,5,5,5,100.0,11.405252815278596,14.184397163120579,7.712849964106239,0.28715003589376115,历史5/5次成功; 当前距低点0.29%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
15,81.30030156180753,75.66295198545834,002826,易明医药,bottom_area,2025-09-03,18.93,2025-09-03,18.88,0.26483050847458,4.290254237288147,29.631010063361906,False,-2.6235,4.2157,2,2,2,100.0,30.305191100969765,50.0,7.73516949152542,0.26483050847458,历史2/2次成功; 当前距低点0.26%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
16,80.46825273085433,74.97443627935021,300730,科创信息,bottom_area,2025-09-03,18.56,2025-09-03,18.5,0.3243243243243174,4.972972972972982,27.90335151987529,False,-3.4339,8.1438,3,3,3,100.0,20.881159886073412,24.329896907216508,7.675675675675683,0.3243243243243174,历史3/3次成功; 当前距低点0.32%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
17,80.346831766455,74.67777622000875,002148,北纬科技,bottom_area,2025-09-03,10.18,2025-09-03,10.16,0.1968503937007832,5.2165354330708595,29.395413481584438,False,-3.5071,8.194,3,3,3,100.0,17.72362966476626,19.756097560975626,7.803149606299217,0.1968503937007832,历史3/3次成功; 当前距低点0.20%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
18,79.41084856258755,77.48478331303592,300683,海特生物,confirmed_rebound,2025-09-03,44.51,2025-09-02,43.33,2.7232864066466647,10.039233787214405,29.841321243523318,True,-1.1328,5.6356,3,3,3,100.0,14.75202322682966,16.532137518684582,5.276713593353335,2.7232864066466647,历史3/3次成功; 当前距低点2.72%; 最新日涨幅-1.13%; 状态confirmed_rebound; 底部已确认
19,79.26700078306628,74.29054156499019,002041,登海种业,bottom_area,2025-09-03,9.59,2025-06-23,9.53,0.6295907660021038,7.345225603357829,29.719764011799416,True,-1.8424,1.3599,2,2,2,100.0,18.2043468358871,21.395106715252467,7.370409233997896,0.6295907660021038,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
20,76.69822945054945,71.01687912087911,002212,天融信,bottom_area,2025-09-03,9.9,2025-09-03,9.9,0.0,4.848484848484853,27.312775330396473,False,-3.1311,11.7559,2,2,2,100.0,24.553113553113555,30.95238095238096,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
21,76.56653336852882,71.69306274494201,002596,海南瑞泽,bottom_area,2025-09-03,3.46,2025-09-03,3.44,0.5813953488372098,3.7790697674418574,30.364372469635637,False,-2.5352,2.4881,2,2,2,100.0,12.842172797262624,14.970059880239523,7.41860465116279,0.5813953488372098,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
22,75.99838006259866,71.331243039884,601669,中国电建,bottom_area,2025-09-03,5.71,2025-09-03,5.67,0.7054673721340394,2.46913580246913,27.67857142857143,False,-1.2111,1.6256,2,2,2,100.0,12.417788431987212,16.457680250783696,7.29453262786596,0.7054673721340394,历史2/2次成功; 当前距低点0.71%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
23,75.96365350805436,70.67616022443107,688227,品高股份,bottom_area,2025-09-03,32.08,2025-09-03,32.0,0.24999999999999467,5.125000000000002,27.27272727272727,False,-4.067,4.6479,4,5,4,80.0,23.527743142102526,36.87150837988826,7.750000000000005,0.24999999999999467,历史4/5次成功; 当前距低点0.25%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
24,74.78261889206344,74.5250602837229,600658,电子城,confirmed_rebound,2025-09-03,6.25,2025-09-03,6.02,3.8205980066445258,10.797342192691037,32.35955056179776,False,2.1242,8.6156,1,1,1,100.0,32.344213649851625,32.344213649851625,4.179401993355474,3.8205980066445258,历史1/1次成功; 当前距低点3.82%; 最新日涨幅2.12%; 状态confirmed_rebound; 底部未确认
25,74.74996543774245,74.26312390594067,603511,爱慕股份,bottom_area,2025-09-03,15.01,2025-09-03,14.48,3.6602209944751336,5.317679558011046,32.336448598130836,False,2.1784,1.86,1,1,1,100.0,18.754988028731056,18.754988028731056,4.339779005524867,3.6602209944751336,历史1/1次成功; 当前距低点3.66%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
26,74.66002662507267,69.80004709341972,603280,南方路机,bottom_area,2025-09-03,42.11,2025-09-01,41.9,0.5011933174224363,4.248210023866352,29.46127946127946,False,-1.8872,13.4904,1,1,1,100.0,18.348214285714302,18.348214285714302,7.498806682577563,0.5011933174224363,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
