rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,79.38583090053085,76.35661973720546,000756,新华制药,bottom_area,2023-02-14,26.82,2023-02-10,26.3,1.9771863117870707,2.3574144486692052,29.301075268817208,False,0.4118,3.3992,1,1,1,100.0,9.379594236989137,9.379594236989137,6.0228136882129295,1.9771863117870707,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
2,79.13046649866095,76.35742152938695,000419,通程控股,bottom_area,2023-02-14,6.19,2023-01-19,6.06,2.1452145214521585,4.620462046204625,29.039812646370024,False,-0.8013,2.2525,2,2,2,100.0,17.250057195149854,24.82269503546099,5.854785478547841,2.1452145214521585,历史2/2次成功; 当前距低点2.15%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
3,76.01951137857924,75.20328880111522,002855,捷荣技术,bottom_area,2023-02-14,11.13,2023-02-14,10.76,3.438661710037184,3.5315985130111596,27.248140635564567,False,1.0899,8.8518,1,1,1,100.0,21.093749999999993,21.093749999999993,4.5613382899628165,3.438661710037184,历史1/1次成功; 当前距低点3.44%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
4,74.43404899170703,74.98447938470203,000650,仁和药业,bottom_area,2023-02-14,6.43,2023-01-12,6.16,4.383116883116876,5.844155844155835,27.444051825677267,False,1.2598,2.9073,2,2,2,100.0,14.827881065637138,17.19038817005545,3.6168831168831246,4.383116883116876,历史2/2次成功; 当前距低点4.38%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
5,73.92217546807524,74.89285379661233,300434,金石亚药,bottom_area,2023-02-14,12.53,2023-01-19,11.97,4.678362573099404,6.766917293233071,31.127733026467197,False,0.8857,3.1062,2,2,2,100.0,17.954411092897637,26.7379679144385,3.3216374269005957,4.678362573099404,历史2/2次成功; 当前距低点4.68%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
