rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.34229980751162,85.25028607586987,002481,双塔食品,bottom_area,2024-07-04,3.9,2024-06-28,3.84,1.5625000000000013,7.552083333333334,27.819548872180455,True,-2.9851,1.0519,3,3,3,100.0,32.057989655214385,54.6583850931677,6.437499999999999,1.5625000000000013,历史3/3次成功; 当前距低点1.56%; 最新日涨幅-2.99%; 状态bottom_area; 底部已确认
2,87.95458711917112,83.96249785925315,603233,大参林,bottom_area,2024-07-04,14.1,2024-07-04,13.88,1.5850144092218938,2.9538904899135328,31.79361179361179,False,-1.0526,1.1342,5,5,5,100.0,17.93726189397345,27.64192139737992,6.414985590778106,1.5850144092218938,历史5/5次成功; 当前距低点1.59%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
3,86.88843828914897,82.22011893645698,002299,圣农发展,bottom_area,2024-07-04,12.54,2024-07-04,12.4,1.1290322580645062,4.112903225806449,28.735632183908038,False,-2.7153,1.2318,3,3,3,100.0,19.64684131636587,26.73830594184577,6.870967741935494,1.1290322580645062,历史3/3次成功; 当前距低点1.13%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
4,86.47606733664722,82.26387651366835,600416,湘电股份,bottom_area,2024-07-04,9.39,2024-07-04,9.26,1.4038876889848897,4.319654427645792,30.998509687034275,False,-1.2618,1.527,3,3,3,100.0,23.251292712655438,34.41084462982274,6.59611231101511,1.4038876889848897,历史3/3次成功; 当前距低点1.40%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
5,85.83823302808408,82.16425086666885,300765,新诺威,bottom_area,2024-07-04,22.99,2024-07-03,22.6,1.725663716814146,7.079646017699106,28.997800816839455,False,-0.8197,0.6881,3,3,3,100.0,26.66002226346828,28.947368421052634,6.274336283185853,1.725663716814146,历史3/3次成功; 当前距低点1.73%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
6,85.70383449188326,79.48212141183129,603215,比依股份,bottom_area,2024-07-04,12.08,2024-07-04,12.07,0.08285004142501894,5.633802816901405,29.373902867173783,False,-4.8069,2.1172,4,4,4,100.0,25.48935218430281,36.01562499999999,7.917149958574981,0.08285004142501894,历史4/4次成功; 当前距低点0.08%; 最新日涨幅-4.81%; 状态bottom_area; 底部未确认
7,85.48476385875355,82.22270393135453,600367,红星发展,confirmed_rebound,2024-07-04,9.8,2024-06-24,9.61,1.977107180020825,8.22060353798128,27.471698113207548,True,-2.9703,1.3501,5,5,5,100.0,14.411334955924787,24.161490683229793,6.022892819979175,1.977107180020825,历史5/5次成功; 当前距低点1.98%; 最新日涨幅-2.97%; 状态confirmed_rebound; 底部已确认
8,85.13698060859402,79.11374804377434,603185,弘元绿能,bottom_area,2024-07-04,16.14,2024-07-04,16.11,0.18621973929237207,4.034761018001254,29.68136185072021,False,-3.1794,0.9665,6,6,6,100.0,24.77596263097275,43.51028702057404,7.813780260707628,0.18621973929237207,历史6/6次成功; 当前距低点0.19%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
9,84.72366650771826,83.1403661669351,603180,金牌家居,bottom_area,2024-07-04,19.45,2024-06-24,18.88,3.0190677966101713,7.521186440677975,28.403488813045136,True,-1.8173,0.5752,4,4,4,100.0,21.902369587130575,31.366822429906527,4.980932203389829,3.0190677966101713,历史4/4次成功; 当前距低点3.02%; 最新日涨幅-1.82%; 状态bottom_area; 底部已确认
10,84.61430266925345,80.11500713936368,000705,浙江震元,bottom_area,2024-07-04,6.98,2024-06-24,6.9,1.1594202898550736,6.666666666666665,29.01234567901235,False,-3.0556,2.127,3,3,3,100.0,18.916588173296947,34.04605263157895,6.840579710144927,1.1594202898550736,历史3/3次成功; 当前距低点1.16%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
11,84.54875561124965,79.3087154812392,002838,道恩股份,bottom_area,2024-07-04,8.96,2024-07-04,8.9,0.674157303370792,3.370786516853921,29.25278219395866,False,-2.2901,0.5824,5,5,5,100.0,21.59029103722908,38.59649122807017,7.325842696629207,0.674157303370792,历史5/5次成功; 当前距低点0.67%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
