rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.37863202427282,84.33213864891061,002636,金安国纪,bottom_area,2025-08-01,11.84,2025-07-25,11.67,1.4567266495287055,7.112253641816624,29.698795180722897,True,-1.251,3.1046,2,2,2,100.0,42.49180327868853,69.0,13.543273350471294,1.4567266495287055,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-1.25%; 状态bottom_area; 底部已确认
2,90.08718381351943,79.66813061692568,002246,北化股份,bottom_area,2025-08-01,16.78,2025-08-01,16.63,0.9019843656043424,2.1647624774503873,29.771959459459463,False,-0.886,3.7706,5,5,5,100.0,26.315349303782714,31.992687385740403,14.098015634395658,0.9019843656043424,历史5/5次成功; 当前距低点0.90%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
3,87.49490099209463,76.68832751606342,605033,美邦股份,bottom_area,2025-08-01,21.3,2025-08-01,21.21,0.4243281471004236,1.9801980198019715,31.80064308681672,False,0.1881,2.5673,1,1,1,100.0,31.96664350243223,31.96664350243223,14.575671852899577,0.4243281471004236,历史1/1次成功; 当前距低点0.42%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
4,85.60479569541477,75.6445204748566,603928,兴业股份,bottom_area,2025-08-01,15.25,2025-08-01,15.12,0.859788359788365,1.0582010582010593,32.16689098250337,False,0.263,1.353,1,1,1,100.0,31.69267707082834,31.69267707082834,14.140211640211634,0.859788359788365,历史1/1次成功; 当前距低点0.86%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
5,85.56798229838417,76.34897358338375,003040,楚天龙,bottom_area,2025-08-01,22.05,2025-08-01,21.75,1.3793103448275894,4.183908045977012,27.23318835731014,False,-3.247,8.4161,1,1,1,100.0,34.697855750487335,34.697855750487335,13.620689655172411,1.3793103448275894,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
6,83.31615236798591,76.39381745159226,300963,中洲特材,bottom_area,2025-08-01,19.55,2025-08-01,19.01,2.8406102051551767,3.051025775907408,27.93783169067475,False,1.1905,7.0677,1,1,1,100.0,20.163487738419626,20.163487738419626,12.159389794844824,2.8406102051551767,历史1/1次成功; 当前距低点2.84%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
7,82.74050679840536,76.73485247239608,000999,华润三九,bottom_area,2025-08-01,31.47,2025-07-15,30.42,3.451676528599596,7.133464825772523,30.036798528058867,True,0.4469,1.0069,1,1,1,100.0,20.293951384963254,20.293951384963254,11.548323471400405,3.451676528599596,历史1/1次成功; 当前距低点3.45%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
8,81.3972560570951,70.86773378788463,603511,爱慕股份,bottom_area,2025-08-01,15.14,2025-08-01,15.13,0.06609385327164433,1.8506278916060763,29.299065420560737,False,-1.4964,1.7092,1,1,1,100.0,18.754988028731056,18.754988028731056,14.933906146728354,0.06609385327164433,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
9,81.021517039497,76.78925090391988,002041,登海种业,bottom_area,2025-08-01,9.97,2025-06-23,9.53,4.616998950682071,7.345225603357829,29.719764011799416,True,0.1004,0.9861,2,2,2,100.0,18.2043468358871,21.395106715252467,10.38300104931793,4.616998950682071,历史2/2次成功; 当前距低点4.62%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
10,80.85003967159243,70.76447935172031,300879,大叶股份,bottom_area,2025-08-01,31.63,2025-08-01,31.52,0.34898477157360225,1.903553299492379,31.730560970327055,False,-1.1563,3.3917,1,1,1,100.0,21.667551779075957,21.667551779075957,14.651015228426397,0.34898477157360225,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
11,80.83269716597555,72.87062280098384,000607,华媒控股,bottom_area,2025-08-01,4.75,2025-07-31,4.66,1.9313304721030013,2.145922746781108,29.924812030075188,False,1.4957,3.1811,2,4,2,50.0,48.408904717089726,59.82721382289418,13.068669527896997,1.9313304721030013,历史2/4次成功; 当前距低点1.93%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
12,80.25793991997924,72.49688173205907,002658,雪迪龙,bottom_area,2025-08-01,8.01,2025-08-01,7.85,2.038216560509556,2.292993630573245,31.50087260034905,False,1.6497,4.2083,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,12.961783439490443,2.038216560509556,历史2/3次成功; 当前距低点2.04%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
13,80.12664864533635,70.85458040797256,002987,京北方,bottom_area,2025-08-01,20.22,2025-08-01,20.04,0.8982035928143698,3.2934131736526955,27.653429602888085,False,-2.1771,3.7641,1,1,1,100.0,28.88432580424366,28.88432580424366,14.10179640718563,0.8982035928143698,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
14,80.03751815129455,69.73979406803181,001226,拓山重工,bottom_area,2025-08-01,36.74,2025-08-01,36.7,0.10899182561307669,6.076294277929146,29.45021145713187,False,-8.15,9.7732,3,4,3,75.0,27.598362529191544,41.451766953199616,14.891008174386922,0.10899182561307669,历史3/4次成功; 当前距低点0.11%; 最新日涨幅-8.15%; 状态bottom_area; 底部未确认
15,74.6717881870724,66.1984351989249,001298,好上好,bottom_area,2025-08-01,28.34,2025-08-01,28.05,1.033868092691619,1.426024955436715,27.481902792140637,False,0.2122,5.332,1,2,1,50.0,34.86910994764398,34.86910994764398,13.96613190730838,1.033868092691619,历史1/2次成功; 当前距低点1.03%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
16,69.70509723601234,65.90684297965062,300346,南大光电,bottom_area,2025-08-01,31.19,2025-06-13,29.85,4.489112227805695,10.318257956448905,27.513355998057303,True,-1.2037,2.4135,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,10.510887772194305,4.489112227805695,历史2/3次成功; 当前距低点4.49%; 最新日涨幅-1.20%; 状态bottom_area; 底部已确认
17,68.50534057515283,62.37299557728952,000637,茂化实华,bottom_area,2025-08-01,4.16,2025-07-07,4.06,2.4630541871921316,7.142857142857144,27.370304114490168,True,1.9608,2.9721,1,2,1,50.0,22.627737226277358,22.627737226277358,12.536945812807868,2.4630541871921316,历史1/2次成功; 当前距低点2.46%; 最新日涨幅1.96%; 状态bottom_area; 底部已确认
18,68.49891528795844,61.78566513397812,600241,时代万恒,bottom_area,2025-08-01,8.32,2025-07-15,8.16,1.960784313725492,4.779411764705889,30.25641025641025,False,0.4831,1.6651,1,2,1,50.0,22.50673854447439,22.50673854447439,13.039215686274508,1.960784313725492,历史1/2次成功; 当前距低点1.96%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
19,68.47282455013452,60.053081565296274,300651,金陵体育,confirmed_rebound,2025-08-01,21.95,2025-08-01,21.85,0.4576659038901504,16.70480549199084,27.045075125208673,False,-17.4191,35.4771,3,5,3,60.0,22.508386162181807,25.720461095100855,14.54233409610985,0.4576659038901504,历史3/5次成功; 当前距低点0.46%; 最新日涨幅-17.42%; 状态confirmed_rebound; 底部未确认
20,68.46907556399891,61.99239206221505,603022,新通联,bottom_area,2025-08-01,10.39,2025-07-24,10.17,2.163225172074736,2.654867256637164,32.33532934131736,False,0.9718,4.8042,1,2,1,50.0,26.099706744868023,26.099706744868023,12.836774827925263,2.163225172074736,历史1/2次成功; 当前距低点2.16%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
