rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.72380655748317,77.2059011794176,002652,扬子新材,bottom_area,2024-04-18,2.07,2024-04-16,2.01,2.985074626865675,7.9601990049751326,28.469750889679723,True,-2.3585,5.0599,2,2,2,100.0,22.913286713286713,23.426573426573423,17.014925373134325,2.985074626865675,历史2/2次成功; 当前距低点2.99%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
2,85.33628215408929,76.97750589112002,000042,中洲控股,bottom_area,2024-04-18,3.61,2024-04-17,3.46,4.335260115606934,6.358381502890179,32.81553398058253,False,0.0,2.0529,2,2,2,100.0,24.956445993031362,28.57142857142858,15.664739884393066,4.335260115606934,历史2/2次成功; 当前距低点4.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,84.05374287202375,75.44109109518935,300725,药石科技,bottom_area,2024-04-18,30.5,2024-04-16,29.31,4.060047765267831,9.757761856021846,27.053260328521656,True,-1.5176,3.097,1,1,1,100.0,43.26881720430109,43.26881720430109,15.939952234732168,4.060047765267831,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
4,81.55518335710681,69.15879548682658,688114,华大智造,bottom_area,2024-04-18,53.0,2024-04-18,52.5,0.9523809523809524,4.723809523809518,29.463925836356314,False,-1.6698,0.6044,1,1,1,100.0,20.431312141156706,20.431312141156706,19.04761904761905,0.9523809523809524,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
5,79.0243634299139,67.18836372046782,301367,瑞迈特,bottom_area,2024-04-18,73.83,2024-04-16,73.03,1.0954402300424444,8.024099685060932,28.387919199843108,False,-2.3413,1.7643,2,4,2,50.0,30.0858464783042,32.411969715178486,18.904559769957558,1.0954402300424444,历史2/4次成功; 当前距低点1.10%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
6,78.6783640211288,70.82345886852842,301520,万邦医药,bottom_area,2024-04-18,42.72,2024-04-16,40.99,4.220541595511093,10.026835813613074,27.80908770693906,False,-0.0702,5.1411,1,1,1,100.0,29.60372960372961,29.60372960372961,15.779458404488908,4.220541595511093,历史1/1次成功; 当前距低点4.22%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
7,75.62138103756709,63.01781753130591,603030,全筑股份,bottom_area,2024-04-18,1.96,2024-04-18,1.96,0.0,4.081632653061228,31.2280701754386,False,-4.8544,1.4644,3,5,3,60.0,34.88073941562313,50.5813953488372,20.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
8,74.20577307089134,63.63108761329303,002432,九安医疗,bottom_area,2024-04-18,40.34,2024-04-17,39.72,1.560926485397796,3.57502517623364,27.75554747180793,False,-1.3692,2.4727,1,2,1,50.0,65.03496503496503,65.03496503496503,18.439073514602207,1.560926485397796,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
9,69.52811186407003,62.10572083718673,000428,华天酒店,bottom_area,2024-04-18,3.28,2024-04-17,3.16,3.797468354430369,11.075949367088596,28.828828828828833,True,-2.9586,4.3461,2,4,2,50.0,26.687896157462177,28.045977011494273,16.202531645569632,3.797468354430369,历史2/4次成功; 当前距低点3.80%; 最新日涨幅-2.96%; 状态bottom_area; 底部已确认
10,67.63882042753417,60.36067415730337,002685,华东重机,bottom_area,2024-04-18,2.77,2024-04-16,2.67,3.745318352059929,7.490636704119858,28.22580645161291,True,-2.807,2.6024,1,2,1,50.0,109.52380952380952,109.52380952380952,16.25468164794007,3.745318352059929,历史1/2次成功; 当前距低点3.75%; 最新日涨幅-2.81%; 状态bottom_area; 底部已确认
11,61.64200040028528,56.170472508286394,002256,兆新股份,bottom_area,2024-04-18,1.93,2024-04-16,1.84,4.891304347826079,8.152173913043473,30.82706766917293,True,-1.5306,1.0462,2,5,2,40.0,29.85293774908523,31.775700934579426,15.108695652173923,4.891304347826079,历史2/5次成功; 当前距低点4.89%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
