rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.31972910722436,81.33901848892945,688069,德林海,bottom_area,2022-06-20,30.72,2022-06-20,30.33,1.2858555885262137,2.1760633036597437,30.769230769230777,False,0.6223,0.5519,1,1,1,100.0,27.692307692307676,27.692307692307676,13.714144411473786,1.2858555885262137,历史1/1次成功; 当前距低点1.29%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
2,87.26157701947756,80.77754189944133,002663,普邦股份,bottom_area,2022-06-20,1.85,2022-06-14,1.79,3.3519553072625725,6.145251396648037,31.939163498098853,False,0.5435,1.3706,1,1,1,100.0,66.45569620253163,66.45569620253163,11.648044692737427,3.3519553072625725,历史1/1次成功; 当前距低点3.35%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
3,83.6700568885545,76.42968858131489,603203,快克智能,bottom_area,2022-06-20,23.73,2022-06-17,23.12,2.638408304498267,4.4117647058823515,30.549714629017714,False,0.4657,0.2821,1,1,1,100.0,17.877739331026522,17.877739331026522,12.361591695501732,2.638408304498267,历史1/1次成功; 当前距低点2.64%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
4,81.96684063049655,75.11970677399802,603222,济民健康,bottom_area,2022-06-20,10.96,2022-06-20,10.66,2.814258911819894,3.3771106941838593,31.535003211303792,False,2.2388,2.3764,4,6,4,66.66666666666666,35.21263670043394,68.46504559270518,12.185741088180105,2.814258911819894,历史4/6次成功; 当前距低点2.81%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
5,73.32210782752495,66.40448275862069,002339,积成电子,bottom_area,2022-06-20,5.63,2022-06-17,5.51,2.177858439201454,4.174228675136124,30.604534005037788,False,0.3565,4.9644,1,2,1,50.0,82.94930875576038,82.94930875576038,12.822141560798544,2.177858439201454,历史1/2次成功; 当前距低点2.18%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
6,57.44124875989764,53.51860983348726,002568,百润股份,bottom_area,2022-06-20,28.59,2022-06-17,27.57,3.69967355821545,6.601378309756983,30.554156171284642,False,-1.4817,1.6497,1,2,1,50.0,21.848739495798313,21.848739495798313,11.30032644178455,3.69967355821545,历史1/2次成功; 当前距低点3.70%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
