rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,70.27058989319848,60.95248702842464,002209,达意隆,bottom_area,2024-03-14,8.87,2024-03-04,12.38,2024-03-14,8.68,2.188940092165893,4.838709677419354,29.886914378029083,28.352180936995165,False,-2.0971302428256178,10.680500431045227,3,7,3,42.857142857142854,25.44001003835644,29.13533834586466,2008-09-18; 2009-09-02; 2015-08-26,17.81105990783411,2.188940092165893,历史3/7次成功; 当前距低点2.19%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
2,67.39963467920506,57.380173597227625,688776,国光电气,bottom_area,2024-03-14,62.4,2024-03-07,85.84,2024-03-14,61.68,1.1673151750972743,5.706874189364467,28.145386766076424,27.30661696178938,False,-7.280832095096579,4.624785781090349,1,2,1,50.0,21.783076324996763,21.783076324996763,2023-09-25,18.832684824902728,1.1673151750972743,历史1/2次成功; 当前距低点1.17%; 最新日涨幅-7.28%; 状态bottom_area; 底部未确认
3,65.76413176425129,56.93039128281329,603273,天元智能,bottom_area,2024-03-14,27.48,2024-03-07,38.04,2024-03-14,26.92,2.0802377414561612,10.698365527488852,29.23238696109358,27.760252365930597,False,-7.067974298275281,35.670480351474986,1,3,1,33.33333333333333,201.34228187919464,201.34228187919464,2023-10-24,17.91976225854384,2.0802377414561612,历史1/3次成功; 当前距低点2.08%; 最新日涨幅-7.07%; 状态bottom_area; 底部未确认
4,59.988622045012356,53.415326168924004,603798,康普顿,bottom_area,2024-03-14,9.15,2024-03-04,12.17,2024-03-11,8.83,3.624009060022653,6.568516421291054,27.44453574363188,24.815119145439603,False,-0.21810250817884125,3.79649632679422,1,2,1,50.0,20.36595067621321,20.36595067621321,2018-02-07,16.37599093997735,3.624009060022653,历史1/2次成功; 当前距低点3.62%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
