rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.19242323784373,79.10935952064895,300521,爱司凯,bottom_area,2022-02-28,16.12,2022-02-28,15.9,1.3836477987421425,6.7924528301886795,27.43039707895938,False,-9.5906,9.3055,3,3,3,100.0,16.258475816027065,20.590790616854918,6.6163522012578575,1.3836477987421425,历史3/3次成功; 当前距低点1.38%; 最新日涨幅-9.59%; 状态bottom_area; 底部未确认
2,77.99498108586879,75.20144408224314,002707,众信旅游,bottom_area,2022-02-28,6.31,2022-02-28,6.18,2.10355987055016,2.912621359223311,29.209621993127154,False,-1.5601,3.2413,2,2,2,100.0,10.524519285470474,11.76470588235293,5.896440129449839,2.10355987055016,历史2/2次成功; 当前距低点2.10%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
3,76.53756101770644,74.40953403662076,600211,西藏药业,bottom_area,2022-02-28,41.68,2022-01-28,40.65,2.5338253382533855,6.519065190651903,28.18021201413428,False,-0.9506,0.7637,2,2,2,100.0,11.541160257196122,13.252533280349695,5.4661746617466145,2.5338253382533855,历史2/2次成功; 当前距低点2.53%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
4,74.86555840927232,71.82731148931019,603123,翠微股份,confirmed_rebound,2022-02-28,19.31,2022-02-25,18.96,1.8459915611814233,8.28059071729958,28.64132480240873,False,-0.5664,9.5118,1,1,1,100.0,16.108452950558224,16.108452950558224,6.154008438818577,1.8459915611814233,历史1/1次成功; 当前距低点1.85%; 最新日涨幅-0.57%; 状态confirmed_rebound; 底部未确认
5,74.54013690943957,73.56749715754611,002705,新宝股份,bottom_area,2022-02-28,19.0,2022-02-24,18.39,3.3170201196302305,7.123436650353446,27.88235294117647,False,0.5291,0.7054,1,1,1,100.0,10.808080808080812,10.808080808080812,4.6829798803697695,3.3170201196302305,历史1/1次成功; 当前距低点3.32%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
6,73.90307851519414,73.76663156663157,300511,雪榕生物,confirmed_rebound,2022-02-28,6.92,2022-01-27,6.66,3.9039039039039007,8.70870870870871,31.198347107438014,True,-0.4317,2.0492,2,2,2,100.0,25.900712191034756,29.220779220779214,4.096096096096099,3.9039039039039007,历史2/2次成功; 当前距低点3.90%; 最新日涨幅-0.43%; 状态confirmed_rebound; 底部已确认
7,73.16195908802156,73.32098213215015,002104,恒宝股份,confirmed_rebound,2022-02-28,12.91,2022-02-25,12.4,4.112903225806449,8.62903225806452,31.03448275862069,True,2.5417,29.0288,1,1,1,100.0,20.260223048327138,20.260223048327138,3.8870967741935507,4.112903225806449,历史1/1次成功; 当前距低点4.11%; 最新日涨幅2.54%; 状态confirmed_rebound; 底部已确认
8,73.15153214522407,71.47499251497004,002355,兴民智通,bottom_area,2022-02-28,5.15,2022-02-24,5.01,2.794411177644722,6.586826347305391,27.18023255813954,False,-0.7707,0.9315,1,1,1,100.0,15.624999999999991,15.624999999999991,5.205588822355278,2.794411177644722,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
9,71.90019519403558,70.27990910515591,688319,欧林生物,bottom_area,2022-02-28,27.76,2022-02-22,27.0,2.8148148148148207,5.851851851851846,30.358524632447775,False,-1.0691,1.1746,1,1,1,100.0,9.449929478138205,9.449929478138205,5.18518518518518,2.8148148148148207,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
10,71.81105706632437,72.56050832602983,603368,柳药集团,bottom_area,2022-02-28,17.04,2022-01-28,16.3,4.539877300613488,6.932515337423306,30.282292557741652,False,-1.2746,1.7918,1,1,1,100.0,42.85714285714285,42.85714285714285,3.460122699386513,4.539877300613488,历史1/1次成功; 当前距低点4.54%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
11,70.84800246104774,69.60141004237829,000967,盈峰环境,bottom_area,2022-02-28,6.03,2022-02-24,5.85,3.0769230769230873,4.957264957264958,32.369942196531795,False,-0.1656,0.4902,1,1,1,100.0,9.015025041736227,9.015025041736227,4.923076923076914,3.0769230769230873,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
12,70.58477753392779,70.95631887350447,300418,昆仑万维,bottom_area,2022-02-28,17.57,2022-02-24,16.85,4.2729970326409425,6.231454005934701,28.541136556403725,False,0.114,1.3524,1,1,1,100.0,8.487914558740876,8.487914558740876,3.7270029673590575,4.2729970326409425,历史1/1次成功; 当前距低点4.27%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
