rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.14044988071416,86.82083441845265,605136,丽人丽妆,bottom_area,2025-06-26,10.54,2025-06-26,10.27,2.629016553067182,4.67380720545278,29.318651066758434,False,0.7648,7.0042,4,4,4,100.0,23.62899010454739,52.667814113597245,5.370983446932819,2.629016553067182,历史4/4次成功; 当前距低点2.63%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
2,87.22355993284773,84.50124941127373,603333,尚纬股份,bottom_area,2025-06-26,7.4,2025-06-23,7.23,2.3513139695712297,7.1922544951590535,28.838582677165352,True,-1.4647,3.0045,5,5,5,100.0,21.03357667686099,47.19626168224298,5.64868603042877,2.3513139695712297,历史5/5次成功; 当前距低点2.35%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
3,87.06647279886128,83.4597245729437,600281,华阳新材,bottom_area,2025-06-26,6.22,2025-06-26,6.11,1.8003273322422166,4.255319148936167,27.692307692307683,False,-1.5823,9.4279,4,4,4,100.0,17.873499411053555,24.86486486486486,6.199672667757784,1.8003273322422166,历史4/4次成功; 当前距低点1.80%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
4,84.72263400905737,82.0525372805571,688114,华大智造,bottom_area,2025-06-26,63.55,2025-06-23,62.1,2.3349436392914584,5.024154589371976,28.20809248554913,False,-2.0499,1.5682,4,4,4,100.0,16.861337516890426,27.745919717688572,5.665056360708542,2.3349436392914584,历史4/4次成功; 当前距低点2.33%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
5,84.71372833079438,82.82732607193122,300436,广生堂,bottom_area,2025-06-26,33.44,2025-06-20,32.52,2.829028290282886,7.595325953259528,29.671280276816603,True,-1.9067,4.5923,5,5,5,100.0,17.889841794495617,35.88379705400981,5.170971709717115,2.829028290282886,历史5/5次成功; 当前距低点2.83%; 最新日涨幅-1.91%; 状态bottom_area; 底部已确认
6,84.32435502750046,83.96846220754794,603327,福蓉科技,bottom_area,2025-06-26,9.06,2025-06-23,8.73,3.780068728522337,5.154639175257723,28.148148148148145,False,-0.8753,0.6719,6,6,6,100.0,44.87644574504772,129.39632545931758,4.219931271477663,3.780068728522337,历史6/6次成功; 当前距低点3.78%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
7,83.07259156105731,78.76726207086797,300703,创源股份,bottom_area,2025-06-26,20.52,2025-06-26,20.27,1.23334977799704,4.0947212629501815,31.404399323181053,False,-1.3462,8.8567,2,2,2,100.0,19.02849228333993,20.914127423822727,6.766650222002959,1.23334977799704,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
8,82.47175197307797,77.72354966619753,603139,康惠股份,bottom_area,2025-06-26,20.9,2025-06-20,20.71,0.9174311926605394,5.5528730082085875,31.42384105960264,False,-0.5709,2.9326,4,4,4,100.0,16.049961212169606,29.315476190476186,7.08256880733946,0.9174311926605394,历史4/4次成功; 当前距低点0.92%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
9,82.3852219298485,79.51512455794179,603011,合锻智能,bottom_area,2025-06-26,15.16,2025-06-20,14.84,2.156334231805932,7.614555256064695,28.170377541142305,True,-2.0672,8.0694,2,2,2,100.0,25.169712937953285,41.201716738197426,5.843665768194068,2.156334231805932,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-2.07%; 状态bottom_area; 底部已确认
10,82.35949798943219,79.52099087133432,002155,湖南黄金,bottom_area,2025-06-26,17.84,2025-06-26,17.46,2.176403207331037,2.978235967926687,28.995526636844243,False,0.507,2.4864,1,1,1,100.0,28.834355828220854,28.834355828220854,5.823596792668964,2.176403207331037,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
11,82.30541729901785,81.62985983828719,002678,珠江钢琴,bottom_area,2025-06-26,4.93,2025-06-23,4.76,3.57142857142857,4.201680672268911,29.79351032448378,False,0.2033,1.5343,3,3,3,100.0,23.939338608302766,35.5191256830601,4.428571428571431,3.57142857142857,历史3/3次成功; 当前距低点3.57%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
