rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
110,66.20393979261483,66.62939942293391,300612,宣亚国际,confirmed_rebound,2022-04-28,15.41,2022-04-27,14.77,4.3331076506432,11.509817197020984,30.231459612659435,True,-2.3447,8.2959,3,4,3,75.0,13.623036916131237,17.015706806282722,3.6668923493568006,4.3331076506432,历史3/4次成功; 当前距低点4.33%; 最新日涨幅-2.34%; 状态confirmed_rebound; 底部已确认
111,66.16890181443262,66.12090116023282,603132,金徽股份,confirmed_rebound,2022-04-28,11.02,2022-04-27,10.6,3.9622641509433953,9.150943396226422,30.582842174197772,True,-4.3403,7.4914,1,1,1,100.0,12.391738840772826,12.391738840772826,4.037735849056605,3.9622641509433953,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-4.34%; 状态confirmed_rebound; 底部已确认
112,65.96820930100289,66.03426716025572,688262,国芯科技,confirmed_rebound,2022-04-28,27.99,2022-04-27,26.9,4.052044609665427,10.037174721189603,32.716358179089546,True,-4.8606,6.8216,1,1,1,100.0,13.026499302649935,13.026499302649935,3.947955390334573,4.052044609665427,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-4.86%; 状态confirmed_rebound; 底部已确认
113,65.55752523199016,66.58741051461621,605098,行动教育,confirmed_rebound,2022-04-28,39.0,2022-04-27,37.21,4.810534802472452,10.158559527008872,31.32152085640458,True,-2.7431,1.7226,1,1,1,100.0,15.082956259426847,15.082956259426847,3.1894651975275483,4.810534802472452,历史1/1次成功; 当前距低点4.81%; 最新日涨幅-2.74%; 状态confirmed_rebound; 底部已确认
114,65.36471468334632,66.1338484271689,002642,荣联科技,confirmed_rebound,2022-04-28,4.54,2022-04-27,4.34,4.60829493087558,9.447004608294934,27.181208053691275,True,-4.0169,2.8514,1,1,1,100.0,20.380434782608685,20.380434782608685,3.39170506912442,4.60829493087558,历史1/1次成功; 当前距低点4.61%; 最新日涨幅-4.02%; 状态confirmed_rebound; 底部已确认
115,64.97579181382096,65.25948267117498,300601,康泰生物,confirmed_rebound,2022-04-28,61.65,2022-04-27,59.15,4.22654268808115,11.580726965342352,29.212541886069893,True,-3.2486,1.72,1,1,1,100.0,10.999999999999998,10.999999999999998,3.773457311918851,4.22654268808115,历史1/1次成功; 当前距低点4.23%; 最新日涨幅-3.25%; 状态confirmed_rebound; 底部已确认
116,64.46280905141226,61.686898613791655,002607,中公教育,confirmed_rebound,2022-04-28,4.16,2022-04-28,4.09,1.711491442542794,9.290953545232272,30.085470085470085,False,-6.5169,2.8818,2,3,2,66.66666666666666,9.045335678078182,9.458533241946544,6.288508557457206,1.711491442542794,历史2/3次成功; 当前距低点1.71%; 最新日涨幅-6.52%; 状态confirmed_rebound; 底部未确认
117,64.44815332836842,64.96631365479945,002392,北京利尔,confirmed_rebound,2022-04-28,3.31,2022-04-27,3.17,4.416403785488963,8.201892744479503,27.293577981651385,True,-3.4985,1.816,1,1,1,100.0,11.751152073732714,11.751152073732714,3.5835962145110374,4.416403785488963,历史1/1次成功; 当前距低点4.42%; 最新日涨幅-3.50%; 状态confirmed_rebound; 底部已确认
118,63.61578234140983,62.23738134702299,603353,和顺石油,confirmed_rebound,2022-04-28,15.46,2022-04-27,15.03,2.8609447771124517,10.046573519627412,32.113821138211385,True,-4.509,2.5676,2,3,2,66.66666666666666,16.90144501168123,17.582417582417577,5.139055222887548,2.8609447771124517,历史2/3次成功; 当前距低点2.86%; 最新日涨幅-4.51%; 状态confirmed_rebound; 底部已确认
119,63.39848167867333,64.52485941191478,300342,天银机电,confirmed_rebound,2022-04-28,7.47,2022-04-27,7.12,4.915730337078647,10.814606741573028,29.852216748768473,True,-4.9618,1.6003,1,1,1,100.0,15.498519249753192,15.498519249753192,3.0842696629213533,4.915730337078647,历史1/1次成功; 当前距低点4.92%; 最新日涨幅-4.96%; 状态confirmed_rebound; 底部已确认
120,63.02209572008528,63.89377062631052,000503,国新健康,confirmed_rebound,2022-04-28,7.33,2022-04-27,7.0,4.714285714285715,8.85714285714286,30.41749502982108,True,-3.1704,1.432,1,1,1,100.0,9.63624760689215,9.63624760689215,3.2857142857142847,4.714285714285715,历史1/1次成功; 当前距低点4.71%; 最新日涨幅-3.17%; 状态confirmed_rebound; 底部已确认
121,57.4156737804878,55.67580487804877,000558,天府文旅,bottom_area,2022-04-28,2.56,2022-04-27,2.5,2.400000000000002,7.200000000000006,27.536231884057976,True,-4.4776,1.7232,1,2,1,50.0,18.53658536585368,18.53658536585368,5.599999999999998,2.400000000000002,历史1/2次成功; 当前距低点2.40%; 最新日涨幅-4.48%; 状态bottom_area; 底部已确认
