rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.38327467519267,83.70063372728102,688318,财富趋势,bottom_area,2023-07-24,89.55,2023-07-19,88.0,1.7613636363636331,5.113636363636364,28.837134077308747,False,0.3924,0.6727,3,3,3,100.0,12.884638807473594,22.012826837691176,6.238636363636367,1.7613636363636331,历史3/3次成功; 当前距低点1.76%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,86.00690982388225,82.24457781058906,000037,深南电A,bottom_area,2023-07-24,10.93,2023-07-24,10.75,1.6744186046511602,2.604651162790692,27.266576454668467,False,0.2752,4.3609,5,6,5,83.33333333333334,23.435047827206347,45.16765285996055,6.32558139534884,1.6744186046511602,历史5/6次成功; 当前距低点1.67%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,84.98526564644006,80.85559914160945,603033,三维股份,bottom_area,2023-07-24,15.82,2023-07-17,15.6,1.4102564102564144,5.25641025641027,27.677329624478446,False,-0.2522,0.1307,3,3,3,100.0,15.757977188140112,24.922480620155024,6.589743589743585,1.4102564102564144,历史3/3次成功; 当前距低点1.41%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
4,84.36685431500364,79.74262585284899,601669,中国电建,bottom_area,2023-07-24,5.67,2023-06-07,5.61,1.069518716577533,5.882352941176471,29.78723404255319,False,0.0,0.4526,1,1,1,100.0,16.457680250783696,16.457680250783696,6.930481283422467,1.069518716577533,历史1/1次成功; 当前距低点1.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,83.28477617400293,80.52475322800923,605178,时空科技,bottom_area,2023-07-24,22.29,2023-06-26,21.8,2.2477064220183416,7.4311926605504635,29.4041450777202,True,1.9204,2.1226,2,2,2,100.0,9.244751990382023,9.557235421166304,5.752293577981658,2.2477064220183416,历史2/2次成功; 当前距低点2.25%; 最新日涨幅1.92%; 状态bottom_area; 底部已确认
6,81.07634144592646,75.66813397682886,002829,星网宇达,bottom_area,2023-07-24,31.71,2023-07-24,31.58,0.41165294490184473,1.6149461684610678,29.46169309805674,False,-0.4083,2.1972,3,3,3,100.0,15.4661435011025,21.628131021194598,7.588347055098156,0.41165294490184473,历史3/3次成功; 当前距低点0.41%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
7,80.03987291295738,74.95519314411672,002403,爱仕达,bottom_area,2023-07-24,8.55,2023-07-24,8.5,0.5882352941176554,1.9999999999999991,31.891025641025646,False,-0.5814,1.6012,3,3,3,100.0,13.797686100564366,21.63892445582587,7.411764705882345,0.5882352941176554,历史3/3次成功; 当前距低点0.59%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
8,79.4137057035898,76.72621451412216,688287,退市观典,bottom_area,2023-07-24,11.1,2023-07-24,10.86,2.2099447513812174,3.038674033149172,27.406417112299476,False,0.9091,0.5793,1,1,1,100.0,14.219830899308223,14.219830899308223,5.790055248618783,2.2099447513812174,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
9,79.31169681530326,77.2289224754553,300722,新余国科,bottom_area,2023-07-24,24.71,2023-07-24,24.08,2.6162790697674527,3.7375415282392117,29.176470588235297,False,0.488,0.6105,3,4,3,75.0,26.070100830780092,45.90377113133938,5.383720930232547,2.6162790697674527,历史3/4次成功; 当前距低点2.62%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
10,78.26851150615008,75.96306800985774,601360,三六零,bottom_area,2023-07-24,11.73,2023-07-24,11.45,2.445414847161582,4.716157205240183,29.1460396039604,False,1.5584,1.6658,1,1,1,100.0,13.003300330033007,13.003300330033007,5.554585152838418,2.445414847161582,历史1/1次成功; 当前距低点2.45%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
11,76.9408968298393,76.42136275855368,002590,万安科技,bottom_area,2023-07-24,11.65,2023-07-24,11.24,3.6476868327402148,3.825622775800709,28.589580686149933,False,2.193,7.7557,1,1,1,100.0,30.204778156996575,30.204778156996575,4.352313167259785,3.6476868327402148,历史1/1次成功; 当前距低点3.65%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
