rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.91159773794473,80.12093007832505,603155,新亚强,bottom_area,2023-08-29,22.32,2023-08-29,21.76,2.5735294117647,3.3547794117646914,28.39749917736097,False,1.6393,1.2865,2,2,2,100.0,20.261167404024544,25.624375624375624,7.426470588235301,2.5735294117647,历史2/2次成功; 当前距低点2.57%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
2,83.02772336696219,79.37787263180216,300423,昇辉科技,bottom_area,2023-08-29,9.33,2023-08-25,9.09,2.640264026402643,5.720572057205716,29.37062937062937,False,1.9672,1.5532,2,2,2,100.0,17.084272107527923,23.28482328482329,7.359735973597357,2.640264026402643,历史2/2次成功; 当前距低点2.64%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
3,82.53840456355351,81.3045274305907,605111,新洁能,bottom_area,2023-08-29,34.66,2023-08-25,33.26,4.2092603728202,7.27600721587493,27.616974972796527,True,3.2469,2.763,3,3,3,100.0,20.815274626993325,36.800373134328346,5.790739627179801,4.2092603728202,历史3/3次成功; 当前距低点4.21%; 最新日涨幅3.25%; 状态bottom_area; 底部已确认
4,82.0026200837551,80.30795626035257,300505,川金诺,bottom_area,2023-08-29,15.97,2023-08-25,15.37,3.9037085230969515,7.937540663630453,28.378378378378383,True,2.3062,1.8215,2,2,2,100.0,28.378557489320507,39.35656836461126,6.096291476903049,3.9037085230969515,历史2/2次成功; 当前距低点3.90%; 最新日涨幅2.31%; 状态bottom_area; 底部已确认
5,80.41715466790814,79.54509757157531,603212,赛伍技术,bottom_area,2023-08-29,16.51,2023-08-25,15.81,4.427577482605952,7.5268817204301035,30.198675496688736,True,3.123,1.5682,2,2,2,100.0,30.698786193101522,32.01038575667657,5.572422517394049,4.427577482605952,历史2/2次成功; 当前距低点4.43%; 最新日涨幅3.12%; 状态bottom_area; 底部已确认
6,77.52666587323468,76.92970040886138,002339,积成电子,bottom_area,2023-08-29,6.83,2023-08-25,6.53,4.5941807044410385,5.359877488514543,27.201783723522855,False,3.1722,1.9463,3,4,3,75.0,48.70662588702658,82.94930875576038,5.405819295558962,4.5941807044410385,历史3/4次成功; 当前距低点4.59%; 最新日涨幅3.17%; 状态bottom_area; 底部未确认
7,77.03122049830908,71.0971293843405,000028,国药一致,bottom_area,2023-08-29,31.75,2023-08-29,31.5,0.7936507936507936,1.96825396825396,28.652321630804074,False,-0.3765,1.2153,2,2,2,100.0,12.240070934754426,14.150943396226415,9.206349206349207,0.7936507936507936,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
8,76.16838345474312,75.02334197531418,688339,亿华通,bottom_area,2023-08-29,53.53,2023-08-29,51.37,4.204788787229908,4.730387385633638,27.392226148409897,False,3.4396,1.5462,2,2,2,100.0,12.850862420421358,14.0971239981141,5.795211212770092,4.204788787229908,历史2/2次成功; 当前距低点4.20%; 最新日涨幅3.44%; 状态bottom_area; 底部未确认
9,74.1451842840963,73.8813224183166,002755,奥赛康,bottom_area,2023-08-29,7.84,2023-08-24,7.48,4.812834224598923,5.347593582887693,32.97491039426523,False,2.3499,0.2305,1,1,1,100.0,30.831099195710454,30.831099195710454,5.187165775401077,4.812834224598923,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
10,74.00339403083883,73.74582588894728,002519,银河电子,bottom_area,2023-08-29,5.44,2023-08-25,5.19,4.816955684007707,7.707129094412321,30.053908355795144,True,2.2556,1.7638,1,1,1,100.0,20.959595959595962,20.959595959595962,5.183044315992294,4.816955684007707,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.26%; 状态bottom_area; 底部已确认
11,72.86397476561812,71.86778761061944,603076,乐惠国际,bottom_area,2023-08-29,35.35,2023-08-28,33.9,4.277286135693224,8.584070796460189,27.22198368398454,False,4.1851,1.5694,1,1,1,100.0,13.440860215053762,13.440860215053762,5.722713864306777,4.277286135693224,历史1/1次成功; 当前距低点4.28%; 最新日涨幅4.19%; 状态bottom_area; 底部未确认
