rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.9583139741537,82.24055130588485,300761,立华股份,bottom_area,2024-09-19,17.46,2024-09-18,17.27,1.1001737116386872,3.2426172553561012,30.6425702811245,False,0.4025,0.6527,1,1,1,100.0,30.263157894736853,30.263157894736853,6.8998262883613135,1.1001737116386872,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,86.78275662348487,85.85531757647482,300521,爱司凯,bottom_area,2024-09-19,10.22,2024-09-18,9.88,3.441295546558703,4.048582995951403,28.920863309352512,False,2.3023,1.3442,6,6,6,100.0,28.395007648541178,73.27586206896554,4.5587044534412975,3.441295546558703,历史6/6次成功; 当前距低点3.44%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
3,85.2163245931535,83.85813154240533,300400,劲拓股份,bottom_area,2024-09-19,11.41,2024-09-18,11.06,3.1645569620253133,4.339963833634707,28.64516129032258,False,1.0629,3.1681,5,5,5,100.0,14.265168902274414,27.014218009478668,4.835443037974687,3.1645569620253133,历史5/5次成功; 当前距低点3.16%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
4,83.76195366309497,84.10380747639394,002806,华锋股份,bottom_area,2024-09-19,8.66,2024-09-18,8.31,4.211793020457276,7.701564380264727,32.05233033524121,True,3.2181,5.9503,4,4,4,100.0,19.229546037830822,34.66407010710809,3.788206979542724,4.211793020457276,历史4/4次成功; 当前距低点4.21%; 最新日涨幅3.22%; 状态bottom_area; 底部已确认
5,83.52236683123296,80.34430327929635,002130,沃尔核材,bottom_area,2024-09-19,10.8,2024-09-19,10.59,1.9830028328611977,3.3994334277620344,27.416038382453735,False,0.0927,4.6695,1,1,1,100.0,30.89005235602093,30.89005235602093,6.016997167138802,1.9830028328611977,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
6,82.57084670289599,81.26570118820463,300473,德尔股份,bottom_area,2024-09-19,15.94,2024-09-18,15.45,3.1715210355987065,4.336569579288037,29.612756264236907,False,0.7585,5.5524,3,3,3,100.0,17.0794040288693,21.37137137137137,4.8284789644012935,3.1715210355987065,历史3/3次成功; 当前距低点3.17%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
7,82.39939968913419,82.38789701590338,603060,国检集团,bottom_area,2024-09-19,5.73,2024-09-18,5.51,3.9927404718693404,4.537205081669692,29.719387755102044,False,2.3214,0.8915,4,4,4,100.0,16.51260909551329,36.2098138747885,4.0072595281306596,3.9927404718693404,历史4/4次成功; 当前距低点3.99%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
8,82.27130661664873,78.80230151638165,301456,盘古智能,bottom_area,2024-09-19,18.5,2024-09-18,18.18,1.7601760176017618,4.510451045104512,27.279999999999998,False,-0.5376,2.3706,1,1,1,100.0,42.34141309953585,42.34141309953585,6.239823982398239,1.7601760176017618,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
9,81.56814935377476,80.42536557048611,000591,太阳能,bottom_area,2024-09-19,4.11,2024-08-23,3.98,3.266331658291466,7.035175879396981,28.158844765342963,True,2.2388,0.509,2,2,2,100.0,21.19678360962714,32.84132841328414,4.733668341708534,3.266331658291466,历史2/2次成功; 当前距低点3.27%; 最新日涨幅2.24%; 状态bottom_area; 底部已确认
10,81.46248258310592,78.91645657428313,002600,领益智造,bottom_area,2024-09-19,6.1,2024-09-18,5.96,2.3489932885905986,4.026845637583897,30.616996507566935,False,0.9934,2.507,4,5,4,80.0,21.03312511972955,38.381201044386415,5.651006711409401,2.3489932885905986,历史4/5次成功; 当前距低点2.35%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
11,81.35381969694382,80.49520418563043,603306,华懋科技,confirmed_rebound,2024-09-19,17.7,2024-09-19,17.11,3.448275862068965,8.12390414962011,31.367829923786605,False,2.3121,7.6506,3,3,3,100.0,26.54447930724555,49.205252246026255,4.551724137931036,3.448275862068965,历史3/3次成功; 当前距低点3.45%; 最新日涨幅2.31%; 状态confirmed_rebound; 底部未确认
