rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.89237397149395,82.94932377857491,688258,卓易信息,bottom_area,2023-07-13,61.03,2023-07-13,59.37,2.7960249284150307,4.0087586323058835,31.30857341200973,False,0.7262,1.9505,3,3,3,100.0,21.528282878285978,27.716894977168955,5.20397507158497,2.7960249284150307,历史3/3次成功; 当前距低点2.80%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,81.65460820075107,82.4928419170045,603222,济民健康,confirmed_rebound,2023-07-13,9.92,2023-07-10,9.49,4.531085353003158,8.113804004214959,27.112135176651304,True,0.5066,2.5405,7,7,7,100.0,24.697400655116585,68.46504559270518,3.4689146469968417,4.531085353003158,历史7/7次成功; 当前距低点4.53%; 最新日涨幅0.51%; 状态confirmed_rebound; 底部已确认
3,81.19026774845776,78.41859143207874,002825,纳尔股份,bottom_area,2023-07-13,8.85,2023-07-07,8.66,2.1939953810623503,2.886836027713626,32.55451713395638,False,1.1429,1.0352,1,1,1,100.0,23.123123123123136,23.123123123123136,5.80600461893765,2.1939953810623503,历史1/1次成功; 当前距低点2.19%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
4,81.08604389742871,77.61096528257475,601360,三六零,bottom_area,2023-07-13,11.81,2023-07-12,11.61,1.7226528854435923,4.478897502153328,28.15594059405941,False,1.5477,2.0129,1,1,1,100.0,13.003300330033007,13.003300330033007,6.277347114556409,1.7226528854435923,历史1/1次成功; 当前距低点1.72%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
5,80.54691133736384,77.3365318423038,688085,三友医疗,bottom_area,2023-07-13,25.4,2023-06-26,24.93,1.8852787805856352,6.498194945848379,29.25652667423383,False,0.994,0.3411,1,1,1,100.0,13.52133044107013,13.52133044107013,6.114721219414365,1.8852787805856352,历史1/1次成功; 当前距低点1.89%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
6,80.1628674955702,75.47177851715121,002755,奥赛康,bottom_area,2023-07-13,8.16,2023-07-13,8.09,0.8652657601977787,1.3597033374536394,27.508960573476703,False,0.6165,0.5402,1,1,1,100.0,30.831099195710454,30.831099195710454,7.134734239802222,0.8652657601977787,历史1/1次成功; 当前距低点0.87%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
7,76.9271376302678,77.32800859238486,000792,盐湖股份,bottom_area,2023-07-13,19.29,2023-05-30,18.5,4.270270270270266,7.5675675675675595,29.49695121951219,True,0.8364,0.3248,2,2,2,100.0,16.850671013984325,24.904214559386965,3.7297297297297347,4.270270270270266,历史2/2次成功; 当前距低点4.27%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
8,76.76799221303214,77.4886947169243,688318,财富趋势,bottom_area,2023-07-13,94.1,2023-07-12,90.06,4.48589829002886,5.3519875638463175,27.17127607957302,False,4.1505,1.7375,3,3,3,100.0,12.884638807473594,22.012826837691176,3.5141017099711402,4.48589829002886,历史3/3次成功; 当前距低点4.49%; 最新日涨幅4.15%; 状态bottom_area; 底部未确认
9,76.68892303153238,75.27203761755487,601669,中国电建,bottom_area,2023-07-13,5.78,2023-06-07,5.61,3.030303030303029,5.882352941176471,29.78723404255319,False,2.6643,1.5973,1,1,1,100.0,16.457680250783696,16.457680250783696,4.9696969696969715,3.030303030303029,历史1/1次成功; 当前距低点3.03%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
10,75.72693123269453,74.20052052475667,002507,涪陵榨菜,bottom_area,2023-07-13,18.2,2023-06-26,17.68,2.941176470588233,4.8076923076923155,28.967456809963842,False,1.1111,0.6822,1,1,1,100.0,9.604316546762583,9.604316546762583,5.058823529411767,2.941176470588233,历史1/1次成功; 当前距低点2.94%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
11,74.16443572577246,73.45747655293222,600990,四创电子,bottom_area,2023-07-13,23.94,2023-07-10,23.13,3.5019455252918386,6.917423259835717,27.921470863197268,False,1.2262,0.8385,1,1,1,100.0,12.483399734395755,12.483399734395755,4.498054474708161,3.5019455252918386,历史1/1次成功; 当前距低点3.50%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
