rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.04077980926363,78.74414048059153,002110,三钢闽光,bottom_area,2022-07-28,5.52,2022-07-26,5.41,2.0332717190388063,2.0332717190388063,27.187079407806188,False,0.5464,0.2719,1,1,1,100.0,22.90322580645161,22.90322580645161,17.966728280961195,2.0332717190388063,历史1/1次成功; 当前距低点2.03%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
2,87.4679990541942,78.64644017522417,002796,世嘉科技,bottom_area,2022-07-28,10.52,2022-07-26,10.1,4.158415841584158,6.336633663366342,32.66666666666667,False,0.1905,10.4125,2,2,2,100.0,31.7614424410541,36.33841886269071,15.841584158415845,4.158415841584158,历史2/2次成功; 当前距低点4.16%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
3,67.86277421992102,59.199441340782144,002589,瑞康医药,bottom_area,2022-07-28,4.51,2022-07-21,4.4,2.499999999999987,11.590909090909085,29.82456140350876,True,-0.8791,6.4917,1,2,1,50.0,28.49162011173183,28.49162011173183,17.500000000000014,2.499999999999987,历史1/2次成功; 当前距低点2.50%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
