rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.48195954012814,78.5841694057931,603809,豪能股份,bottom_area,2025-11-21,11.77,2025-11-21,11.51,2.258905299739355,4.257167680278021,32.294117647058826,False,-0.5912,2.3594,2,2,2,100.0,30.615448866660387,31.661442006269603,17.741094700260646,2.258905299739355,历史2/2次成功; 当前距低点2.26%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
2,90.27814726405278,77.57593303464553,300680,隆盛科技,bottom_area,2025-11-21,42.47,2025-11-21,41.77,1.6758439071103561,4.357194158486952,28.9625850340136,False,-0.7942,5.3517,1,1,1,100.0,34.71428571428571,34.71428571428571,18.324156092889645,1.6758439071103561,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
3,90.18344163849424,76.7141763881125,300687,赛意信息,bottom_area,2025-11-21,22.52,2025-11-21,22.27,1.1225864391558151,3.771890435563538,27.055355388142814,False,-1.011,3.0287,1,1,1,100.0,23.299319727891156,23.299319727891156,18.877413560844186,1.1225864391558151,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
4,88.43237122103075,74.15448979591835,000620,盈新发展,bottom_area,2025-11-21,2.95,2025-11-21,2.94,0.3401360544217766,8.163265306122456,28.11735941320293,False,-8.9506,9.606,1,1,1,100.0,50.62240663900413,50.62240663900413,19.659863945578223,0.3401360544217766,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-8.95%; 状态bottom_area; 底部未确认
5,87.48339942833368,73.12241970289939,002136,安纳达,bottom_area,2025-11-21,12.21,2025-11-21,12.19,0.16406890894176662,10.172272354388845,29.45601851851853,False,-7.4299,10.5687,1,1,1,100.0,42.29299363057326,42.29299363057326,19.835931091058235,0.16406890894176662,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-7.43%; 状态bottom_area; 底部未确认
6,87.15094688485298,72.71934612420395,605333,沪光股份,bottom_area,2025-11-21,28.5,2025-11-21,28.48,0.0702247191011221,2.844101123595501,28.58575727181545,False,-2.6972,0.5701,1,1,1,100.0,28.76052948255115,28.76052948255115,19.92977528089888,0.0702247191011221,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
7,86.83610369140524,72.6281346138624,002160,常铝股份,bottom_area,2025-11-21,5.03,2025-11-21,5.02,0.1992031872510095,6.573705179282871,27.665706051873208,False,-7.024,10.3047,1,1,1,100.0,40.066225165562926,40.066225165562926,19.80079681274899,0.1992031872510095,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-7.02%; 状态bottom_area; 底部未确认
8,86.74670458327532,73.05846281436826,688608,恒玄科技,bottom_area,2025-11-21,200.16,2025-11-21,199.01,0.577860409024675,2.7285061052208466,30.899305555555557,False,-1.3018,2.0172,1,1,1,100.0,36.80636853195971,36.80636853195971,19.422139590975327,0.577860409024675,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
9,86.64596345961205,73.45455331412106,688588,凌志软件,bottom_area,2025-11-21,14.01,2025-11-21,13.88,0.9365994236311168,4.178674351585014,30.599999999999994,False,-2.0964,1.8659,1,1,1,100.0,43.33333333333334,43.33333333333334,19.063400576368885,0.9365994236311168,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
10,85.64729613733905,71.37274678111588,000619,海螺新材,bottom_area,2025-11-21,6.19,2025-11-21,6.19,0.0,6.1389337641357,27.85547785547785,False,-5.4962,7.3768,1,1,1,100.0,43.133047210300425,43.133047210300425,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.50%; 状态bottom_area; 底部未确认
11,85.6160533664288,71.34671113869067,001309,德明利,bottom_area,2025-11-21,222.71,2025-11-21,222.71,0.0,3.2688249292802305,27.21895424836601,False,-10.0016,8.0203,1,1,1,100.0,42.99307063812183,42.99307063812183,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
12,85.50032202209177,73.42444749021004,688766,普冉股份,bottom_area,2025-11-21,121.97,2025-11-21,120.0,1.6416666666666655,7.816666666666664,28.22966507177033,False,-12.9594,9.0341,1,1,1,100.0,22.190577904355056,22.190577904355056,18.358333333333334,1.6416666666666655,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-12.96%; 状态bottom_area; 底部未确认
13,84.99144276317818,71.2273805855162,301017,漱玉平民,bottom_area,2025-11-21,13.02,2025-11-21,12.98,0.30816640986131855,5.084745762711865,27.566964285714292,False,-2.8358,7.0636,1,1,1,100.0,23.655913978494613,23.655913978494613,19.691833590138682,0.30816640986131855,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
14,84.63311203319502,70.52759336099585,002578,闽发铝业,bottom_area,2025-11-21,3.73,2025-11-21,3.73,0.0,9.651474530831097,30.410447761194032,False,-9.6852,12.986,1,1,1,100.0,38.589211618257245,38.589211618257245,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.69%; 状态bottom_area; 底部未确认
15,84.17405714537949,70.22779244944262,003038,鑫铂股份,bottom_area,2025-11-21,15.56,2025-11-21,15.55,0.06430868167202435,5.016077170417991,27.975914775358955,False,-5.0641,4.1826,1,1,1,100.0,25.507614213197975,25.507614213197975,19.93569131832798,0.06430868167202435,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
16,84.03745661679203,70.79925308194343,002374,中锐股份,bottom_area,2025-11-21,3.38,2025-11-21,3.36,0.5952380952380958,13.392857142857148,27.429805615550755,False,-2.3121,17.2435,1,1,1,100.0,24.873096446700508,24.873096446700508,19.404761904761905,0.5952380952380958,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
17,83.92482312215817,70.07144897248347,603366,日出东方,bottom_area,2025-11-21,9.58,2025-11-21,9.57,0.10449320794148158,8.150470219435729,28.582089552238806,False,-8.1496,9.2083,1,1,1,100.0,25.15964240102172,25.15964240102172,19.89550679205852,0.10449320794148158,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-8.15%; 状态bottom_area; 底部未确认
18,83.8806265540645,70.45397613392805,002338,奥普光电,bottom_area,2025-11-21,49.01,2025-11-21,48.8,0.43032786885246077,2.418032786885245,30.632551528073915,False,-2.0779,1.5974,1,1,1,100.0,20.995288574793882,20.995288574793882,19.569672131147538,0.43032786885246077,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
19,83.75172413793102,69.79310344827586,600104,上汽集团,bottom_area,2025-11-21,14.7,2025-11-21,14.7,0.0,1.9047619047619126,28.74454677653902,False,-2.1305,0.4847,1,1,1,100.0,24.425287356321842,24.425287356321842,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
20,83.65010779372255,70.16134262674899,600506,统一股份,bottom_area,2025-11-21,25.56,2025-11-21,25.47,0.3533568904593634,12.367491166077746,30.21917808219178,False,-8.812,20.0946,1,1,1,100.0,28.69352869352869,28.69352869352869,19.646643109540637,0.3533568904593634,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-8.81%; 状态bottom_area; 底部未确认
21,83.46480061389401,69.64436238775968,002636,金安国纪,bottom_area,2025-11-21,14.13,2025-11-21,14.12,0.07082152974505357,5.7365439093484465,27.36625514403293,False,-6.2997,3.4729,1,1,1,100.0,22.450728363324757,22.450728363324757,19.929178470254946,0.07082152974505357,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-6.30%; 状态bottom_area; 底部未确认
22,83.10768211915033,70.3669271587072,000803,山高环能,bottom_area,2025-11-21,6.97,2025-11-21,6.91,0.8683068017366079,4.920405209840808,27.94577685088634,False,-4.1265,5.5751,1,1,1,100.0,36.1111111111111,36.1111111111111,19.131693198263395,0.8683068017366079,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
23,82.01665979227548,69.01669056429236,300591,万里马,bottom_area,2025-11-21,9.45,2025-11-21,9.4,0.5319148936170099,8.404255319148927,27.131782945736433,False,-8.6957,15.6922,1,1,1,100.0,24.728260869565208,24.728260869565208,19.46808510638299,0.5319148936170099,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-8.70%; 状态bottom_area; 底部未确认
24,81.75860524182167,69.27718225332403,688286,敏芯股份,bottom_area,2025-11-21,72.1,2025-11-21,71.45,0.9097270818754255,4.89853044086774,28.39963924240906,False,-4.033,2.9217,1,1,1,100.0,30.759999999999994,30.759999999999994,19.090272918124576,0.9097270818754255,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
25,81.55275172701897,68.82636690337588,002337,赛象科技,bottom_area,2025-11-21,5.83,2025-11-21,5.79,0.6908462867012095,5.1813471502590644,29.47624847746651,False,-4.2693,3.8542,1,1,1,100.0,25.653206650831358,25.653206650831358,19.30915371329879,0.6908462867012095,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
26,81.21069767441861,67.67558139534884,002309,中利集团,bottom_area,2025-11-21,3.06,2025-11-21,3.06,0.0,5.8823529411764754,29.49308755760368,False,-6.422,6.8203,1,1,1,100.0,23.25581395348837,23.25581395348837,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.42%; 状态bottom_area; 底部未确认
27,81.07747374605766,68.36629843024281,600408,安泰集团,bottom_area,2025-11-21,4.69,2025-11-21,4.66,0.64377682403434,13.090128755364795,32.46376811594203,False,-7.4951,19.556,1,1,1,100.0,22.6027397260274,22.6027397260274,19.356223175965663,0.64377682403434,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-7.50%; 状态bottom_area; 底部未确认
28,73.6120498814502,62.96265493802478,002678,珠江钢琴,bottom_area,2025-11-21,4.99,2025-11-03,4.92,1.4227642276422823,7.113821138211375,29.613733905579405,True,-2.1569,1.1153,1,2,1,50.0,35.5191256830601,35.5191256830601,18.57723577235772,1.4227642276422823,历史1/2次成功; 当前距低点1.42%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
29,64.01214346817574,55.3566165007332,600693,东百集团,bottom_area,2025-11-21,8.57,2025-11-21,8.4,2.023809523809523,8.928571428571429,30.578512396694208,False,-1.2673,15.2498,1,3,1,33.33333333333333,30.632090761750412,30.632090761750412,17.976190476190478,2.023809523809523,历史1/3次成功; 当前距低点2.02%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
30,63.27043298969071,52.72536082474226,300730,科创信息,bottom_area,2025-11-21,13.48,2025-11-21,13.48,0.0,4.154302670623135,30.871794871794872,False,-2.3188,7.1134,1,2,1,50.0,24.329896907216508,24.329896907216508,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
31,62.22769230769231,51.85641025641026,301038,深水规院,bottom_area,2025-11-21,23.5,2025-11-21,23.5,0.0,3.4893617021276606,27.803379416282638,False,-2.6915,1.5444,1,3,1,33.33333333333333,39.102564102564095,39.102564102564095,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
32,61.14,50.95,600376,首开股份,bottom_area,2025-11-21,5.68,2025-11-21,5.68,0.0,7.218309859154933,28.911138923654573,False,-5.3333,8.7566,1,2,1,50.0,24.99999999999999,24.99999999999999,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
33,57.19044110990842,48.45615408916793,603767,中马传动,bottom_area,2025-11-21,22.28,2025-11-21,22.08,0.9057971014492883,4.076086956521749,27.725040916530286,False,-3.0461,2.3806,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,19.094202898550712,0.9057971014492883,历史1/3次成功; 当前距低点0.91%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
