rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.42120404176497,88.2390080381457,600316,洪都航空,bottom_area,2025-09-18,34.45,2025-09-16,33.91,1.5924506045414517,4.747861987614293,28.565409732462616,False,0.7605,3.4611,5,5,5,100.0,18.547287185485008,30.462519936204153,6.407549395458548,1.5924506045414517,历史5/5次成功; 当前距低点1.59%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
2,87.85054462203215,84.58683999905958,300510,金冠股份,bottom_area,2025-09-18,4.52,2025-09-03,4.43,2.0316027088036086,6.997742663656896,30.01579778830964,False,-1.7391,4.8077,4,4,4,100.0,26.76824825339677,40.000000000000014,5.968397291196392,2.0316027088036086,历史4/4次成功; 当前距低点2.03%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
3,85.65216334703096,84.4792688579545,302132,中航成飞,bottom_area,2025-09-18,82.11,2025-09-09,79.5,3.2830188679245276,6.163522012578623,27.595628415300546,False,0.5141,3.1818,4,4,4,100.0,19.056730520550555,28.81165919282512,4.716981132075473,3.2830188679245276,历史4/4次成功; 当前距低点3.28%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
4,84.23195318561383,80.49671641791048,301009,可靠股份,bottom_area,2025-09-18,13.62,2025-09-05,13.4,1.641791044776111,5.597014925373134,27.762803234501348,False,-1.9438,3.6376,1,1,1,100.0,53.96648044692738,53.96648044692738,6.358208955223889,1.641791044776111,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
5,81.04996702282018,76.99746867167919,300218,安利股份,bottom_area,2025-09-18,19.76,2025-09-16,19.5,1.3333333333333415,7.9487179487179525,27.102803738317753,True,-0.4032,7.6378,1,1,1,100.0,18.212197159565576,18.212197159565576,6.666666666666658,1.3333333333333415,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-0.40%; 状态bottom_area; 底部已确认
6,79.46474023952543,80.18328700700161,002795,永和智控,bottom_area,2025-09-18,4.91,2025-08-28,4.7,4.468085106382977,7.234042553191486,31.884057971014496,True,-1.8,3.201,6,6,6,100.0,23.766242201907538,32.328767123287676,3.5319148936170226,4.468085106382977,历史6/6次成功; 当前距低点4.47%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
7,79.29605174966547,75.47859257358262,300645,正元智慧,bottom_area,2025-09-18,18.38,2025-09-05,18.12,1.434878587196457,6.236203090507721,27.3164861612515,False,-3.9205,6.2299,1,1,1,100.0,30.699547055863096,30.699547055863096,6.565121412803543,1.434878587196457,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
8,78.89868149521132,78.8427646408561,000561,烽火电子,confirmed_rebound,2025-09-18,11.28,2025-09-04,10.85,3.9631336405529933,8.20276497695853,32.60869565217392,True,-1.3986,5.5894,4,4,4,100.0,20.584458824284518,31.050955414012744,4.036866359447007,3.9631336405529933,历史4/4次成功; 当前距低点3.96%; 最新日涨幅-1.40%; 状态confirmed_rebound; 底部已确认
9,78.69910101720718,73.75735802924758,601900,南方传媒,bottom_area,2025-09-18,12.8,2025-09-18,12.72,0.6289308176100634,2.8301886792452784,29.254727474972192,False,-2.0658,1.3452,2,2,2,100.0,24.523227383863077,39.999999999999986,7.371069182389936,0.6289308176100634,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
10,77.35906055736041,72.12396625121185,601669,中国电建,bottom_area,2025-09-18,5.61,2025-09-18,5.59,0.3577817531305986,3.220035778175308,28.69897959183674,False,-1.9231,2.1131,2,2,2,100.0,12.417788431987212,16.457680250783696,7.642218246869402,0.3577817531305986,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
11,76.58138883118109,75.53458771056015,603080,新疆火炬,bottom_area,2025-09-18,21.07,2025-08-28,20.4,3.2843137254902044,7.745098039215696,29.655172413793107,True,-2.1366,3.1387,2,2,2,100.0,17.595822605794677,22.385321100917427,4.715686274509796,3.2843137254902044,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
12,76.46324564051126,72.14668746674344,603839,安正时尚,bottom_area,2025-09-18,8.25,2025-09-18,8.17,0.9791921664626693,3.0599755201958385,29.447322970639036,False,-1.3158,4.1384,2,2,2,100.0,20.15723444235658,31.88073394495412,7.02080783353733,0.9791921664626693,历史2/2次成功; 当前距低点0.98%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
13,75.68450647517815,74.46393554393806,300902,国安达,bottom_area,2025-09-18,22.89,2025-09-04,22.19,3.15457413249211,5.8134294727354625,32.798304058146584,False,-1.2511,7.062,2,2,2,100.0,19.4428202474198,26.906779661016937,4.84542586750789,3.15457413249211,历史2/2次成功; 当前距低点3.15%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
14,74.57155109267879,72.16570067717329,605169,洪通燃气,bottom_area,2025-09-18,14.71,2025-09-05,14.38,2.294853963838665,5.354659248956882,31.064237775647165,False,-0.2712,2.1051,3,4,3,75.0,17.381546853362593,26.09375,5.705146036161334,2.294853963838665,历史3/4次成功; 当前距低点2.29%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
15,74.28594171142461,73.41508688765383,688682,霍莱沃,confirmed_rebound,2025-09-18,29.0,2025-09-04,28.05,3.3868092691622076,8.698752228163984,27.687548337200308,True,-2.8476,2.2354,2,2,2,100.0,17.672107641632564,26.22699386503069,4.613190730837792,3.3868092691622076,历史2/2次成功; 当前距低点3.39%; 最新日涨幅-2.85%; 状态confirmed_rebound; 底部已确认
16,74.13132698500662,74.37249381976336,300192,科德教育,confirmed_rebound,2025-09-18,19.49,2025-09-09,18.71,4.168893639764819,8.177445216461772,32.649388048956084,True,1.3521,11.8692,1,1,1,100.0,26.599845797995382,26.599845797995382,3.8311063602351814,4.168893639764819,历史1/1次成功; 当前距低点4.17%; 最新日涨幅1.35%; 状态confirmed_rebound; 底部已确认
17,74.04304356178504,75.20511715285934,002800,天顺股份,confirmed_rebound,2025-09-18,14.6,2025-09-03,13.93,4.809763101220387,9.404163675520463,27.673935617860856,True,-1.3514,3.8186,5,5,5,100.0,11.405252815278596,14.184397163120579,3.190236898779613,4.809763101220387,历史5/5次成功; 当前距低点4.81%; 最新日涨幅-1.35%; 状态confirmed_rebound; 底部已确认
