rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.37351343257286,83.30261517385811,002795,永和智控,bottom_area,2023-06-01,9.2,2023-06-01,9.07,1.4332965821389085,2.7563395810363835,31.287878787878782,False,-0.9688,2.071,3,3,3,100.0,29.196405274918448,31.302270011947446,18.566703417861092,1.4332965821389085,历史3/3次成功; 当前距低点1.43%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
2,95.12604185792743,80.87346981691857,001332,锡装股份,bottom_area,2023-06-01,42.58,2023-06-01,42.12,1.0921177587844275,2.0655270655270765,32.73714468221016,False,-0.1875,1.635,2,2,2,100.0,28.620958639500337,31.086142322097377,18.907882241215574,1.0921177587844275,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
3,94.58253742778162,80.65177610120912,600256,广汇能源,bottom_area,2023-06-01,7.26,2023-06-01,7.17,1.2552301255230107,2.092050209205026,29.49852507374631,False,0.0,0.9267,1,1,1,100.0,23.62204724409449,23.62204724409449,18.74476987447699,1.2552301255230107,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,92.83632783209973,80.09742832691487,600935,华塑股份,bottom_area,2023-06-01,3.76,2023-05-31,3.69,1.8970189701896976,2.7100271002710055,27.788649706457928,False,1.6216,0.4461,1,1,1,100.0,28.50877192982458,28.50877192982458,18.1029810298103,1.8970189701896976,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
5,90.69878048780487,78.33076496674057,000890,法尔胜,bottom_area,2023-06-01,4.18,2023-05-19,4.1,1.9512195121951237,7.56097560975611,27.689594356261026,True,-1.4151,1.8827,1,1,1,100.0,32.954545454545446,32.954545454545446,18.048780487804876,1.9512195121951237,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
6,87.28404323748352,76.8870966846997,688289,圣湘生物,bottom_area,2023-06-01,18.34,2023-05-29,17.8,3.0337078651685343,3.8202247191011214,27.789046653144013,False,1.2141,0.692,1,1,1,100.0,25.182530200451346,25.182530200451346,16.966292134831466,3.0337078651685343,历史1/1次成功; 当前距低点3.03%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
7,85.81470286774214,73.39923236288888,603327,福蓉科技,bottom_area,2023-06-01,11.41,2023-06-01,11.25,1.4222222222222236,2.3999999999999964,27.419354838709676,False,0.2636,0.3071,2,4,2,50.0,45.01020983632018,52.609776304888165,18.577777777777776,1.4222222222222236,历史2/4次成功; 当前距低点1.42%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
8,85.69492956153002,75.74948984903696,002041,登海种业,bottom_area,2023-06-01,15.69,2023-05-30,15.2,3.2236842105263177,3.486842105263165,28.30188679245283,False,2.0156,0.4905,1,1,1,100.0,21.395106715252467,21.395106715252467,16.776315789473685,3.2236842105263177,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
9,85.17676908798876,76.5595888649553,300363,博腾股份,bottom_area,2023-06-01,31.7,2023-05-30,30.44,4.1392904073587315,5.946123521681993,27.01989930472309,False,3.0559,1.9309,1,1,1,100.0,36.97403760071621,36.97403760071621,15.86070959264127,4.1392904073587315,历史1/1次成功; 当前距低点4.14%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
10,85.14116753840469,71.11133060275637,601111,中国国航,bottom_area,2023-06-01,8.13,2023-06-01,8.12,0.12315270935962516,7.389162561576374,28.331862312444844,False,-6.7661,1.717,1,1,1,100.0,30.97913322632423,30.97913322632423,19.876847290640377,0.12315270935962516,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-6.77%; 状态bottom_area; 底部未确认
11,81.55724160713814,69.36738579052164,601127,赛力斯,bottom_area,2023-06-01,25.38,2023-06-01,25.1,1.115537848605568,3.505976095617526,27.372685185185187,False,-1.5516,1.3162,4,7,4,57.14285714285714,26.57118632672534,30.591200733272228,18.88446215139443,1.115537848605568,历史4/7次成功; 当前距低点1.12%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
12,74.78934531904824,62.50222746426108,600009,上海机场,bottom_area,2023-06-01,45.12,2023-06-01,45.05,0.15538290788013384,3.1076581576026765,29.477144646211656,False,-3.176,0.8117,2,3,2,66.66666666666666,23.97760122344691,27.704918032786885,19.84461709211987,0.15538290788013384,历史2/3次成功; 当前距低点0.16%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
13,72.93426252272377,62.16503918880025,002570,贝因美,bottom_area,2023-06-01,4.11,2023-05-30,4.06,1.2315270935960767,3.2019704433497735,29.636048526863085,False,0.489,0.7505,1,3,1,33.33333333333333,35.05154639175259,35.05154639175259,18.768472906403925,1.2315270935960767,历史1/3次成功; 当前距低点1.23%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
14,71.56548255073261,61.97144387174378,002455,百川股份,bottom_area,2023-06-01,7.79,2023-05-05,7.63,2.096985583224117,7.86369593709044,28.691588785046722,True,0.5161,0.7806,1,3,1,33.33333333333333,35.42600896860987,35.42600896860987,17.903014416775882,2.096985583224117,历史1/3次成功; 当前距低点2.10%; 最新日涨幅0.52%; 状态bottom_area; 底部已确认
15,69.25971177928362,59.1528081372841,600984,建设机械,bottom_area,2023-06-01,4.53,2023-06-01,4.47,1.342281879194642,2.237136465324397,28.480000000000004,False,0.4435,0.6225,1,3,1,33.33333333333333,20.21439509954057,20.21439509954057,18.65771812080536,1.342281879194642,历史1/3次成功; 当前距低点1.34%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
16,68.10238266232564,59.9238055296676,000792,盐湖股份,bottom_area,2023-06-01,19.05,2023-05-30,18.5,2.972972972972977,4.486486486486477,29.49695121951219,False,1.3837,0.4088,1,2,1,50.0,24.904214559386965,24.904214559386965,17.027027027027025,2.972972972972977,历史1/2次成功; 当前距低点2.97%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
17,67.45560454708352,57.239015473442464,600955,维远股份,bottom_area,2023-06-01,18.41,2023-06-01,18.23,0.987383433900163,1.9199122325836415,28.453689167974883,False,0.327,0.3059,1,2,1,50.0,25.969084423305596,25.969084423305596,19.012616566099837,0.987383433900163,历史1/2次成功; 当前距低点0.99%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
