rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.69867856156911,84.95886802940245,688221,前沿生物,bottom_area,2023-03-27,13.3,2023-03-20,13.02,2.150537634408611,8.525345622119824,30.00000000000001,True,-0.6721,2.3122,5,5,5,100.0,21.032762558355284,34.87394957983194,7.849462365591389,2.150537634408611,历史5/5次成功; 当前距低点2.15%; 最新日涨幅-0.67%; 状态bottom_area; 底部已确认
2,83.5076109753224,77.27115915385023,300382,斯莱克,bottom_area,2023-03-27,15.24,2023-03-27,15.1,0.9271523178807984,2.980132450331133,31.42597638510445,False,-1.6139,1.54,3,3,3,100.0,30.403583003325068,49.70059880239522,9.072847682119201,0.9271523178807984,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
3,80.14772830560362,74.84961086575291,605128,上海沿浦,bottom_area,2023-03-27,40.97,2023-03-27,40.4,1.4108910891089117,2.1287128712871275,32.10084033613445,False,-0.3163,1.3958,1,1,1,100.0,16.80883090817863,16.80883090817863,8.589108910891088,1.4108910891089117,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
4,79.06501613508227,73.78924600166239,300767,震安科技,bottom_area,2023-03-27,41.26,2023-03-27,40.7,1.375921375921364,3.0958230958230906,27.939093484419253,False,-1.2446,0.849,1,1,1,100.0,10.679283541737075,10.679283541737075,8.624078624078637,1.375921375921364,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
5,77.34129609243271,70.61252417036845,000525,红太阳,bottom_area,2023-03-27,8.92,2023-03-21,8.9,0.22471910112359073,7.191011235955043,29.75532754538279,True,-4.086,1.9717,1,1,1,100.0,20.348837209302317,20.348837209302317,9.77528089887641,0.22471910112359073,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-4.09%; 状态bottom_area; 底部已确认
6,76.21093515554372,72.51547191773209,688348,昱能科技,bottom_area,2023-03-27,341.3,2023-03-24,333.33,2.3910239102391104,5.832058320583205,28.966884030175173,False,-0.1317,6.5137,1,1,1,100.0,16.27422813482398,16.27422813482398,7.60897608976089,2.3910239102391104,历史1/1次成功; 当前距低点2.39%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
7,75.24698526892163,74.0422037213013,002660,茂硕电源,bottom_area,2023-03-27,9.28,2023-03-20,8.91,4.152637485970811,7.519640852974185,28.31858407079646,True,-2.4185,4.8659,2,2,2,100.0,20.21622144792876,24.71428571428572,5.847362514029189,4.152637485970811,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
8,75.1825852382099,74.75842396747245,000887,中鼎股份,bottom_area,2023-03-27,12.69,2023-03-20,12.12,4.702970297029705,6.600660066006607,28.45336481700119,False,0.6344,0.9568,2,2,2,100.0,17.53331314354936,23.84615384615385,5.2970297029702955,4.702970297029705,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
9,72.5411695401066,71.88221060492906,002645,华宏科技,bottom_area,2023-03-27,15.49,2023-03-20,14.82,4.520917678812415,4.723346828609982,29.22636103151863,False,2.9236,2.0185,1,1,1,100.0,16.50485436893203,16.50485436893203,5.479082321187585,4.520917678812415,历史1/1次成功; 当前距低点4.52%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
10,72.32790973864483,71.5094283300479,002708,光洋股份,bottom_area,2023-03-27,6.64,2023-03-20,6.36,4.40251572327043,6.132075471698108,31.759656652360512,False,-1.1905,1.7151,1,1,1,100.0,35.522388059701484,35.522388059701484,5.5974842767295705,4.40251572327043,历史1/1次成功; 当前距低点4.40%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
11,72.08552701802863,70.91830683532552,601702,华峰铝业,bottom_area,2023-03-27,12.82,2023-03-20,12.31,4.1429731925264,9.098294069861893,29.212190914318576,True,-1.8377,3.6531,1,1,1,100.0,19.96927803379416,19.96927803379416,5.857026807473601,4.1429731925264,历史1/1次成功; 当前距低点4.14%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
12,71.59606985640956,70.43914144356516,300681,英搏尔,bottom_area,2023-03-27,31.66,2023-03-20,30.4,4.144736842105268,8.190789473684218,31.22171945701358,True,-1.1243,1.5232,3,4,3,75.0,21.58140561056545,27.487589035182385,5.855263157894732,4.144736842105268,历史3/4次成功; 当前距低点4.14%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
13,68.55031731092232,67.7501190543746,600399,抚顺特钢,bottom_area,2023-03-27,11.43,2023-03-27,10.95,4.383561643835621,5.9360730593607345,28.84990253411307,False,-1.21,3.9392,1,1,1,100.0,15.078707539353772,15.078707539353772,5.61643835616438,4.383561643835621,历史1/1次成功; 当前距低点4.38%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
14,59.171185274116205,57.12563839701773,002374,中锐股份,bottom_area,2023-03-27,4.58,2023-03-27,4.44,3.153153153153146,3.6036036036035863,28.155339805825236,False,1.5521,1.7635,1,2,1,50.0,12.068965517241388,12.068965517241388,6.846846846846855,3.153153153153146,历史1/2次成功; 当前距低点3.15%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
15,51.553094335730655,51.23611557515548,603032,德新科技,bottom_area,2023-03-27,68.05,2023-03-20,65.01,4.676203660975222,9.829257037378865,27.363128491620103,True,-2.2411,0.8039,1,2,1,50.0,12.354085603112855,12.354085603112855,5.323796339024779,4.676203660975222,历史1/2次成功; 当前距低点4.68%; 最新日涨幅-2.24%; 状态bottom_area; 底部已确认
