rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.10381514468969,86.55841114248388,002636,金安国纪,bottom_area,2025-08-08,11.94,2025-07-25,11.67,2.3136246786632357,7.112253641816624,29.698795180722897,True,0.4205,2.0029,2,2,2,100.0,42.49180327868853,69.0,7.686375321336765,2.3136246786632357,历史2/2次成功; 当前距低点2.31%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
2,89.4834707683634,86.11104319528752,001226,拓山重工,bottom_area,2025-08-08,36.59,2025-08-08,35.53,2.9833943146636708,3.405572755417959,31.699346405228763,False,2.5217,5.8579,4,4,4,100.0,24.15689372430483,41.451766953199616,7.01660568533633,2.9833943146636708,历史4/4次成功; 当前距低点2.98%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
3,88.28223297393974,84.0484491545856,002658,雪迪龙,bottom_area,2025-08-08,8.04,2025-08-01,7.85,2.4203821656050897,2.5477707006369563,31.50087260034905,False,0.2494,3.1451,3,3,3,100.0,22.83290587185592,34.81481481481481,7.579617834394911,2.4203821656050897,历史3/3次成功; 当前距低点2.42%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
4,84.91642837788409,80.12915912655326,600620,天宸股份,bottom_area,2025-08-08,6.26,2025-08-04,6.14,1.9543973941368098,3.094462540716619,27.078384798099762,False,0.0,1.0889,1,1,1,100.0,29.38271604938273,29.38271604938273,8.045602605863191,1.9543973941368098,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,83.64002364981438,83.19676221180067,000607,华媒控股,confirmed_rebound,2025-08-08,4.88,2025-07-31,4.66,4.72103004291845,10.515021459227473,29.924812030075188,True,3.8298,14.2807,4,4,4,100.0,30.810272632552305,59.82721382289418,5.278969957081551,4.72103004291845,历史4/4次成功; 当前距低点4.72%; 最新日涨幅3.83%; 状态confirmed_rebound; 底部已确认
6,83.26590312296695,79.38219070583399,605033,美邦股份,bottom_area,2025-08-08,21.38,2025-08-08,20.86,2.4928092042185983,2.540747842761271,32.926045016077175,False,1.1832,3.2482,1,1,1,100.0,31.96664350243223,31.96664350243223,7.507190795781401,2.4928092042185983,历史1/1次成功; 当前距低点2.49%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
7,82.1679426957149,79.02069991954946,603022,新通联,bottom_area,2025-08-08,10.47,2025-07-24,10.17,2.949852507374638,3.3431661750245802,32.33532934131736,False,0.0956,3.0626,2,2,2,100.0,18.958944281524914,26.099706744868023,7.050147492625363,2.949852507374638,历史2/2次成功; 当前距低点2.95%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
8,82.12083171591296,75.80849121255665,603839,安正时尚,bottom_area,2025-08-08,7.53,2025-08-08,7.47,0.8032128514056291,1.2048192771084318,28.03468208092486,False,0.0,2.8324,1,1,1,100.0,31.88073394495412,31.88073394495412,9.196787148594371,0.8032128514056291,历史1/1次成功; 当前距低点0.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,82.05896768958925,76.61310721916698,300651,金陵体育,bottom_area,2025-08-08,21.06,2025-08-08,20.77,1.3962445835339392,2.1184400577756444,30.651085141903174,False,-0.4255,8.5198,4,5,4,80.0,19.443789621636355,25.720461095100855,8.603755416466061,1.3962445835339392,历史4/5次成功; 当前距低点1.40%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
10,79.57031033713888,73.15960736825399,001331,胜通能源,bottom_area,2025-08-08,11.88,2025-08-08,11.81,0.5927180355630844,2.4555461473327616,30.242173656231536,False,-0.8347,21.4628,2,2,2,100.0,20.865615534074305,23.35390946502057,9.407281964436915,0.5927180355630844,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
11,77.26690667352692,73.41318620488,300963,中洲特材,bottom_area,2025-08-08,19.45,2025-08-01,19.01,2.31457127827458,6.049447659126767,27.93783169067475,False,-0.2564,4.004,1,1,1,100.0,20.163487738419626,20.163487738419626,7.685428721725421,2.31457127827458,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
