rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.20344456887936,79.30734310337337,002246,北化股份,bottom_area,2025-01-27,9.05,2025-01-27,9.05,0.0,4.861878453038669,28.571428571428566,False,-2.4784,1.3738,4,4,4,100.0,25.577113458996685,31.992687385740403,15.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
2,84.17608042842627,76.49900448943339,002848,高斯贝尔,bottom_area,2025-01-27,5.63,2025-01-27,5.5,2.363636363636362,8.000000000000007,30.817610062893085,False,-0.1773,15.0238,2,2,2,100.0,20.688684938302675,21.924482338611433,12.636363636363637,2.363636363636362,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
3,80.1677564970738,74.2771970873813,688253,英诺特,bottom_area,2025-01-27,29.5,2025-01-24,28.53,3.399929898352607,6.62460567823344,28.09979838709677,False,0.0,6.1715,1,1,1,100.0,15.639985245296947,15.639985245296947,11.600070101647391,3.399929898352607,历史1/1次成功; 当前距低点3.40%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,80.00506213571009,70.20992182286203,600693,东百集团,bottom_area,2025-01-27,6.15,2025-01-27,6.12,0.49019607843137664,11.601307189542483,27.48815165876777,False,-8.4821,9.2894,1,1,1,100.0,30.632090761750412,30.632090761750412,14.509803921568624,0.49019607843137664,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-8.48%; 状态bottom_area; 底部未确认
5,74.70819415492907,67.82382131471377,600325,华发股份,bottom_area,2025-01-27,5.32,2025-01-13,5.2,2.3076923076923097,5.961538461538454,29.539295392953925,False,-0.7463,0.9938,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,12.692307692307688,2.3076923076923097,历史2/3次成功; 当前距低点2.31%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
6,73.58833644982884,64.2508014397254,002767,先锋电子,bottom_area,2025-01-27,13.81,2025-01-27,13.78,0.21770682148041465,4.354136429608138,31.442786069651753,False,-2.3338,8.3696,2,4,2,50.0,43.37189781021898,52.04379562043795,14.782293178519584,0.21770682148041465,历史2/4次成功; 当前距低点0.22%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
7,73.14609160298538,66.65721570664466,300347,泰格医药,bottom_area,2025-01-27,49.0,2025-01-24,47.8,2.510460251046031,4.393305439330547,30.824891461649784,False,0.3687,1.9727,2,4,2,50.0,22.102500424890394,23.423271500843175,12.489539748953968,2.510460251046031,历史2/4次成功; 当前距低点2.51%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
8,72.94771677635859,65.91972785382622,600202,哈空调,bottom_area,2025-01-27,4.46,2025-01-24,4.37,2.0594965675057177,3.89016018306636,29.967948717948715,False,0.2247,3.6061,2,5,2,40.0,34.27623670827554,41.50485436893204,12.940503432494282,2.0594965675057177,历史2/5次成功; 当前距低点2.06%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
9,68.44855652141192,59.52048393166254,000736,中交地产,bottom_area,2025-01-27,6.3,2025-01-27,6.3,0.0,6.825396825396836,30.76923076923077,False,-10.0,6.306,2,3,2,66.66666666666666,18.300092822558383,19.029126213592225,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
10,67.21302193443194,63.40493659886278,000829,天音控股,bottom_area,2025-01-27,10.04,2025-01-13,9.62,4.365904365904365,11.018711018711025,30.691642651296842,True,-2.3346,2.1118,2,4,2,50.0,40.640852436154454,46.4765100671141,10.634095634095635,4.365904365904365,历史2/4次成功; 当前距低点4.37%; 最新日涨幅-2.33%; 状态bottom_area; 底部已确认
11,65.1724228689825,56.67167205998478,605162,新中港,bottom_area,2025-01-27,6.77,2025-01-27,6.77,0.0,4.283604135893649,27.43837084673098,False,-4.6479,3.3087,2,4,2,50.0,22.428344408520275,26.46502835538753,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-4.65%; 状态bottom_area; 底部未确认
