rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.91594592939111,88.24125543142524,002693,双成药业,bottom_area,2024-12-27,18.0,2024-12-27,17.57,2.447353443369378,5.29311326124075,30.443388756927952,False,2.0987,4.9576,8,8,8,100.0,29.038824098427074,102.85714285714285,5.552646556630622,2.447353443369378,历史8/8次成功; 当前距低点2.45%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
2,86.440561723242,84.48562107336106,688196,卓越新能,bottom_area,2024-12-27,34.02,2024-12-27,33.09,2.810516772438802,5.167724388032619,30.860844128708724,False,1.0996,1.1022,4,4,4,100.0,13.298921045814655,19.41979522184301,5.1894832275611975,2.810516772438802,历史4/4次成功; 当前距低点2.81%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
3,86.04836948549232,82.63533785680208,000981,山子高科,confirmed_rebound,2024-12-27,2.15,2024-12-25,2.11,1.8957345971564,9.478672985782,30.81967213114754,True,-0.9217,8.7984,4,4,4,100.0,15.632326550100428,22.499999999999993,6.1042654028436,1.8957345971564,历史4/4次成功; 当前距低点1.90%; 最新日涨幅-0.92%; 状态confirmed_rebound; 底部已确认
4,84.9392484502346,84.07501367281571,002146,荣盛发展,bottom_area,2024-12-27,1.79,2024-12-25,1.73,3.4682080924855523,5.202312138728328,27.61506276150628,False,0.5618,3.9446,5,5,5,100.0,19.153377009047105,33.33333333333333,4.531791907514448,3.4682080924855523,历史5/5次成功; 当前距低点3.47%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
5,84.6864681023327,82.03403432579852,000536,华映科技,bottom_area,2024-12-27,4.8,2024-12-25,4.69,2.3454157782515868,7.889125799573543,28.723404255319146,False,1.0526,3.4205,3,3,3,100.0,11.083775807592168,11.280487804878053,5.654584221748413,2.3454157782515868,历史3/3次成功; 当前距低点2.35%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
6,83.55016939146863,80.58170500168329,300533,冰川网络,bottom_area,2024-12-27,20.24,2024-12-25,19.82,2.1190716448032196,5.852674066599396,29.264810849393285,False,-1.0269,2.8937,3,3,3,100.0,22.974130923842026,40.564081294068856,5.880928355196781,2.1190716448032196,历史3/3次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
7,83.12573114176764,80.72168349621073,000688,国城矿业,bottom_area,2024-12-27,12.84,2024-12-27,12.53,2.474062250598567,5.187549880287314,27.320185614849184,False,1.0228,0.9944,2,2,2,100.0,22.271749610620777,30.935251798561143,5.525937749401432,2.474062250598567,历史2/2次成功; 当前距低点2.47%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
8,81.93325404400579,81.0225869510028,002162,悦心健康,bottom_area,2024-12-27,3.63,2024-12-24,3.51,3.4188034188034218,7.122507122507122,30.21868787276343,True,1.6807,2.8468,2,2,2,100.0,26.276659924056922,43.23432343234324,4.581196581196578,3.4188034188034218,历史2/2次成功; 当前距低点3.42%; 最新日涨幅1.68%; 状态bottom_area; 底部已确认
9,81.33847504320147,81.82005857112763,300651,金陵体育,bottom_area,2024-12-27,13.32,2024-12-25,12.77,4.30696945967111,6.656225528582612,32.398094229751194,False,0.8327,5.9951,5,5,5,100.0,17.311553436439517,25.720461095100855,3.6930305403288908,4.30696945967111,历史5/5次成功; 当前距低点4.31%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
10,80.68109296319071,76.34799444942286,000681,视觉中国,bottom_area,2024-12-27,22.37,2024-12-27,22.12,1.1301989150090417,5.922242314647372,30.48397234443746,False,-2.1435,18.4674,4,5,4,80.0,14.757247180878878,20.93690248565965,6.869801084990959,1.1301989150090417,历史4/5次成功; 当前距低点1.13%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
11,80.58486903964798,79.70934307452735,300386,飞天诚信,bottom_area,2024-12-27,17.48,2024-12-27,16.9,3.4319526627219052,7.041420118343203,31.41233766233767,False,1.1574,15.472,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,4.568047337278095,3.4319526627219052,历史8/9次成功; 当前距低点3.43%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
12,80.46146793008606,79.57213233341847,300355,蒙草生态,bottom_area,2024-12-27,5.44,2024-12-25,5.26,3.4220532319391754,7.604562737642592,29.58500669344043,False,0.7407,4.5256,2,2,2,100.0,27.711901624945106,33.201581027668,4.577946768060825,3.4220532319391754,历史2/2次成功; 当前距低点3.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
13,79.96741843125112,77.07968858488094,002583,海能达,bottom_area,2024-12-27,14.67,2024-12-25,14.37,2.0876826722338255,6.750173973556024,28.078078078078082,False,0.0,8.5952,1,1,1,100.0,14.621532675129286,14.621532675129286,5.912317327766174,2.0876826722338255,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,79.71964815018579,80.98821520036763,002167,东方锆业,bottom_area,2024-12-27,7.61,2024-12-25,7.26,4.820936639118465,6.198347107438019,30.259365994236315,False,1.4667,3.2073,4,4,4,100.0,19.139520094396374,41.1650485436893,3.179063360881535,4.820936639118465,历史4/4次成功; 当前距低点4.82%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
15,79.71224048608791,81.09450451324999,002343,慈文传媒,bottom_area,2024-12-27,6.43,2024-12-25,6.13,4.893964110929851,6.851549755301793,27.7122641509434,False,1.1006,3.2564,4,4,4,100.0,20.60614347403244,40.33149171270718,3.1060358890701494,4.893964110929851,历史4/4次成功; 当前距低点4.89%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
16,79.12833033139707,80.19015863889135,002374,中锐股份,bottom_area,2024-12-27,2.9,2024-12-26,2.77,4.693140794223822,6.498194945848382,32.1078431372549,False,2.1127,1.8548,4,4,4,100.0,13.28236370818097,20.94240837696336,3.3068592057761776,4.693140794223822,历史4/4次成功; 当前距低点4.69%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
17,78.94891192352479,79.87203796044915,603256,宏和科技,bottom_area,2024-12-27,8.86,2024-12-25,8.47,4.604486422668226,7.319952774498219,30.45977011494252,True,1.8391,0.9578,3,3,3,100.0,17.958424753401612,22.318339100346023,3.395513577331774,4.604486422668226,历史3/3次成功; 当前距低点4.60%; 最新日涨幅1.84%; 状态bottom_area; 底部已确认
18,78.94724259094941,77.50308571428572,002016,世荣兆业,bottom_area,2024-12-27,6.44,2024-12-25,6.25,3.0400000000000063,3.840000000000003,28.160919540229877,False,1.0989,0.6343,1,1,1,100.0,28.571428571428566,28.571428571428566,4.959999999999994,3.0400000000000063,历史1/1次成功; 当前距低点3.04%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
19,77.87255588064993,79.04581451112959,002178,延华智能,confirmed_rebound,2024-12-27,6.36,2024-12-25,6.07,4.7775947281713345,8.237232289950576,29.663962920046355,False,2.2508,4.6563,5,5,5,100.0,18.38027145892594,29.076086956521735,3.2224052718286655,4.7775947281713345,历史5/5次成功; 当前距低点4.78%; 最新日涨幅2.25%; 状态confirmed_rebound; 底部未确认
20,77.20483543086975,73.03399821946014,688165,埃夫特,confirmed_rebound,2024-12-27,26.35,2024-12-27,26.06,1.1128165771297112,9.286262471220267,28.89495225102319,False,-5.4539,7.6584,3,4,3,75.0,27.990430189870313,53.84615384615383,6.887183422870288,1.1128165771297112,历史3/4次成功; 当前距低点1.11%; 最新日涨幅-5.45%; 状态confirmed_rebound; 底部未确认
21,76.15168168855894,77.55647827620339,002370,亚太药业,confirmed_rebound,2024-12-27,3.18,2024-12-25,3.03,4.950495049504963,8.25082508250825,28.70588235294118,False,2.5806,4.6355,6,6,6,100.0,12.492510693950058,15.633423180592995,3.049504950495037,4.950495049504963,历史6/6次成功; 当前距低点4.95%; 最新日涨幅2.58%; 状态confirmed_rebound; 底部未确认
22,74.81990758818785,75.11065852441138,002369,卓翼科技,confirmed_rebound,2024-12-27,7.44,2024-12-27,7.14,4.2016806722689175,8.683473389355745,28.6,False,-1.0638,20.6715,5,5,5,100.0,12.63704546873386,17.345132743362825,3.7983193277310825,4.2016806722689175,历史5/5次成功; 当前距低点4.20%; 最新日涨幅-1.06%; 状态confirmed_rebound; 底部未确认
23,74.70502084098847,73.60667811105218,600206,有研新材,bottom_area,2024-12-27,16.62,2024-12-25,16.1,3.2298136645962705,5.279503105590049,28.44444444444444,False,0.7884,5.5656,1,1,1,100.0,9.949748743718596,9.949748743718596,4.7701863354037295,3.2298136645962705,历史1/1次成功; 当前距低点3.23%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
24,74.62410453119138,74.01917087568934,000668,荣丰控股,bottom_area,2024-12-27,6.95,2024-12-25,6.71,3.5767511177347275,7.153502235469455,32.085020242914986,False,2.3564,2.9202,1,1,1,100.0,16.420233463035032,16.420233463035032,4.4232488822652725,3.5767511177347275,历史1/1次成功; 当前距低点3.58%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
25,74.62290024894016,75.87792757421839,000620,盈新发展,confirmed_rebound,2024-12-27,2.37,2024-12-24,2.26,4.867256637168156,8.407079646017717,27.795527156549525,True,0.4237,1.7863,6,7,6,85.71428571428571,24.206535290885213,58.4192439862543,3.132743362831844,4.867256637168156,历史6/7次成功; 当前距低点4.87%; 最新日涨幅0.42%; 状态confirmed_rebound; 底部已确认
26,74.4542199596774,73.35391129032257,002766,索菱股份,bottom_area,2024-12-27,6.08,2024-12-25,5.89,3.22580645161291,5.432937181663842,28.17073170731707,False,0.4959,2.0423,1,1,1,100.0,8.54166666666667,8.54166666666667,4.77419354838709,3.22580645161291,历史1/1次成功; 当前距低点3.23%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
27,72.7588648487924,71.43487102181595,002383,合众思壮,bottom_area,2024-12-27,8.46,2024-12-25,8.21,3.045066991473812,6.577344701583423,31.06633081444164,False,-0.4706,4.1128,1,1,1,100.0,18.48184818481848,18.48184818481848,4.954933008526188,3.045066991473812,历史1/1次成功; 当前距低点3.05%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
28,71.87439081731993,72.90648258727978,002115,三维通信,confirmed_rebound,2024-12-27,7.29,2024-12-25,6.96,4.741379310344829,9.051724137931034,29.55465587044535,True,-0.4098,12.4239,3,3,3,100.0,14.875416208956915,20.720720720720706,3.258620689655171,4.741379310344829,历史3/3次成功; 当前距低点4.74%; 最新日涨幅-0.41%; 状态confirmed_rebound; 底部已确认
