rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,76.32332958494786,73.3595451554222,002233,塔牌集团,bottom_area,2021-11-10,9.98,2021-11-10,9.79,1.9407558733401564,2.1450459652706932,31.77700348432056,False,-0.1001,1.2156,1,1,1,100.0,15.292841648590022,15.292841648590022,6.059244126659843,1.9407558733401564,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
2,72.45703260488101,72.77767628008604,600331,宏达股份,bottom_area,2021-11-10,3.45,2021-11-10,3.31,4.229607250755291,4.531722054380662,31.469979296066253,False,-0.5764,2.2988,1,1,1,100.0,40.221402214022135,40.221402214022135,3.7703927492447096,4.229607250755291,历史1/1次成功; 当前距低点4.23%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
3,72.17819080046787,72.2587018889235,000301,东方盛虹,confirmed_rebound,2021-11-10,21.54,2021-11-08,20.7,4.057971014492753,8.454106280193237,32.4853228962818,True,-1.8679,2.0535,2,2,2,100.0,19.682127967564348,28.337639965546952,3.942028985507247,4.057971014492753,历史2/2次成功; 当前距低点4.06%; 最新日涨幅-1.87%; 状态confirmed_rebound; 底部已确认
4,70.53065573095544,71.09848116428101,000936,华西股份,bottom_area,2021-11-10,5.91,2021-11-03,5.66,4.41696113074205,4.41696113074205,29.072681704260656,False,0.5102,0.5707,1,1,1,100.0,11.016949152542363,11.016949152542363,3.5830388692579507,4.41696113074205,历史1/1次成功; 当前距低点4.42%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
5,68.16425753322102,67.96288601909039,601600,中国铝业,bottom_area,2021-11-10,5.4,2021-11-10,5.2,3.8461538461538494,4.230769230769226,29.634641407307168,False,-1.2797,2.7899,1,1,1,100.0,9.635036496350367,9.635036496350367,4.153846153846151,3.8461538461538494,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
6,67.75569375988906,67.70535520583267,002386,天原股份,bottom_area,2021-11-10,10.76,2021-11-05,10.35,3.9613526570048325,7.729468599033823,27.82426778242678,False,-1.5554,3.8488,1,1,1,100.0,9.662576687116577,9.662576687116577,4.0386473429951675,3.9613526570048325,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
