rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.32072765263506,80.8014849187935,688077,大地熊,bottom_area,2023-05-23,26.25,2023-05-22,25.86,1.5081206496519743,3.3642691415313264,32.83116883116883,False,-0.9434,0.7956,1,1,1,100.0,53.68518518518518,53.68518518518518,18.491879350348025,1.5081206496519743,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
2,90.83734486338486,75.79457637386156,001332,锡装股份,bottom_area,2023-05-23,43.07,2023-05-23,43.04,0.06970260223048591,2.5325278810409,31.26796550622804,False,-1.5093,2.034,2,2,2,100.0,28.620958639500337,31.086142322097377,19.930297397769515,0.06970260223048591,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
3,90.58409575001706,77.20023017902815,000629,钒钛股份,bottom_area,2023-05-23,4.13,2023-04-25,4.08,1.225490196078427,9.803921568627459,31.08108108108108,False,-1.432,0.3572,1,1,1,100.0,27.173913043478265,27.173913043478265,18.774509803921575,1.225490196078427,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
4,83.8078653127628,73.41037998324616,688289,圣湘生物,bottom_area,2023-05-23,18.47,2023-04-26,17.98,2.725250278086754,12.45828698553948,27.058823529411757,False,-0.3238,0.9441,1,1,1,100.0,25.182530200451346,25.182530200451346,17.274749721913246,2.725250278086754,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
5,83.53818496608059,73.0012549366424,002041,登海种业,bottom_area,2023-05-23,15.81,2023-05-19,15.41,2.595717066839717,5.12654120700843,27.311320754716977,False,-2.2263,0.5474,1,1,1,100.0,21.395106715252467,21.395106715252467,17.404282933160285,2.595717066839717,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
6,82.7960943164888,74.76496190958395,601858,中国科传,bottom_area,2023-05-23,37.07,2023-05-22,35.51,4.393128696141938,7.265558997465519,28.11740890688259,True,0.2976,2.3277,1,1,1,100.0,21.243523316062173,21.243523316062173,15.606871303858064,4.393128696141938,历史1/1次成功; 当前距低点4.39%; 最新日涨幅0.30%; 状态bottom_area; 底部已确认
7,81.27147113933357,73.80967463711461,688181,八亿时空,bottom_area,2023-05-23,34.7,2023-05-15,33.14,4.707302353651183,7.211828605914304,29.157759726378796,True,-1.1678,0.5228,2,2,2,100.0,25.76518281418983,28.477257745550418,15.292697646348818,4.707302353651183,历史2/2次成功; 当前距低点4.71%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
8,80.48400000000001,67.07000000000001,300528,幸福蓝海,bottom_area,2023-05-23,8.51,2023-05-23,8.51,0.0,3.2902467685076306,29.901153212520597,False,-3.4052,2.5844,1,1,1,100.0,20.0,20.0,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
9,79.74049816080992,71.63292601412326,300762,上海瀚讯,bottom_area,2023-05-23,11.91,2023-05-10,11.44,4.1083916083916145,6.118881118881128,27.50316856780735,False,-1.7327,0.718,1,1,1,100.0,32.580961727183514,32.580961727183514,15.891608391608386,4.1083916083916145,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
10,78.74852143953272,67.90813953250844,002245,蔚蓝锂芯,bottom_area,2023-05-23,10.9,2023-04-26,10.7,1.8691588785046829,8.317757009345799,29.512516469038214,False,-1.2681,1.0611,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,18.130841121495315,1.8691588785046829,历史2/3次成功; 当前距低点1.87%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
11,68.23850410659126,58.5729349777535,002405,四维图新,bottom_area,2023-05-23,11.32,2023-05-16,11.14,1.6157989228007157,4.039497307001789,27.75616083009079,False,-0.5272,0.7103,1,2,1,50.0,23.478260869565215,23.478260869565215,18.384201077199286,1.6157989228007157,历史1/2次成功; 当前距低点1.62%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
