rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.83227972218931,78.06971162961378,301151,冠龙节能,bottom_area,2025-09-30,20.48,2025-09-29,20.14,1.688182720953326,3.674280039721939,29.333333333333332,False,-1.0628,3.859,1,1,1,100.0,37.520259319286865,37.520259319286865,18.311817279046675,1.688182720953326,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
2,89.91613944680955,80.1001242236025,301009,可靠股份,bottom_area,2025-09-30,13.35,2025-09-23,12.88,3.6490683229813574,4.5807453416149055,30.566037735849054,False,1.0598,1.8501,1,1,1,100.0,53.96648044692738,53.96648044692738,16.350931677018643,3.6490683229813574,历史1/1次成功; 当前距低点3.65%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
3,87.09376552493127,77.40094171302559,300111,向日葵,bottom_area,2025-09-30,7.65,2025-09-29,7.39,3.5182679296346504,12.04330175913396,28.11284046692607,True,2.0,21.9817,1,1,1,100.0,24.691358024691343,24.691358024691343,16.48173207036535,3.5182679296346504,历史1/1次成功; 当前距低点3.52%; 最新日涨幅2.00%; 状态bottom_area; 底部已确认
4,80.42888542340563,72.52323631976647,300645,正元智慧,bottom_area,2025-09-30,17.65,2025-09-23,16.92,4.314420803782487,11.170212765957428,32.129963898916955,True,-1.1204,3.0341,1,1,1,100.0,30.699547055863096,30.699547055863096,15.685579196217514,4.314420803782487,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
5,79.42133120688801,70.0245483218533,688205,德科立,bottom_area,2025-09-30,121.02,2025-09-29,117.4,3.0834752981260563,5.1959114139693305,27.441285537700864,False,0.2984,7.752,2,3,2,66.66666666666666,27.786050187709932,35.44761904761904,16.916524701873943,3.0834752981260563,历史2/3次成功; 当前距低点3.08%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
6,77.32493339644374,69.13674984157171,300534,陇神戎发,bottom_area,2025-09-30,9.71,2025-09-23,9.35,3.850267379679157,5.454545454545452,27.519379844961243,False,0.4137,1.5182,3,5,3,60.0,30.190104662581724,41.58730158730159,16.149732620320844,3.850267379679157,历史3/5次成功; 当前距低点3.85%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
7,73.8281356321839,65.52793103448276,002269,美邦服饰,bottom_area,2025-09-30,2.4,2025-09-29,2.32,3.448275862068969,6.034482758620696,27.725856697819317,False,-1.2346,4.3828,4,8,4,50.0,62.09717161843492,173.50993377483442,16.551724137931032,3.448275862068969,历史4/8次成功; 当前距低点3.45%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
8,70.44300353398118,59.048644747393766,002097,山河智能,bottom_area,2025-09-30,12.51,2025-09-30,12.47,0.32076984763431554,2.566158781074567,28.33333333333332,False,-1.8824,5.0251,1,2,1,50.0,50.210970464135016,50.210970464135016,19.679230152365683,0.32076984763431554,历史1/2次成功; 当前距低点0.32%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
9,69.71860414279695,59.57991953106924,002059,云南旅游,bottom_area,2025-09-30,5.9,2025-09-29,5.82,1.3745704467353963,6.013745704467348,28.0593325092707,False,-2.9605,6.8529,1,2,1,50.0,25.935162094763093,25.935162094763093,18.625429553264606,1.3745704467353963,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
10,67.78254677598223,60.53284803486542,000037,深南电A,bottom_area,2025-09-30,8.5,2025-09-23,8.19,3.785103785103791,5.616605616605627,28.220858895705526,False,0.2358,1.0376,3,9,3,33.33333333333333,40.91156629875658,45.16765285996055,16.21489621489621,3.785103785103791,历史3/9次成功; 当前距低点3.79%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
11,66.18011362161046,58.54869995936125,000096,广聚能源,bottom_area,2025-09-30,11.37,2025-09-23,11.01,3.2697547683923656,5.812897366030886,28.039215686274517,False,0.7979,1.4751,1,2,1,50.0,21.149144254278735,21.149144254278735,16.730245231607636,3.2697547683923656,历史1/2次成功; 当前距低点3.27%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
