rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.69696313891822,83.10069402295817,001206,依依股份,bottom_area,2026-03-17,22.37,31.9,2026-03-04,22.0,1.6818181818181863,6.045454545454538,31.034482758620683,29.874608150470213,False,0.0,3.18,1,1,1,100.0,42.01741654571844,42.01741654571844,18.318181818181813,1.6818181818181863,历史1/1次成功; 当前距低点1.68%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,94.55890271123606,81.13544662105163,001391,国货航,bottom_area,2026-03-17,5.73,7.73,2026-03-09,5.64,1.5957446808510771,2.3049645390070905,27.037516170763272,25.873221216041397,False,0.5263,1.6414,1,1,1,100.0,30.39647577092513,30.39647577092513,18.404255319148923,1.5957446808510771,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
3,91.372950394885,79.9195834251708,301283,聚胶股份,bottom_area,2026-03-17,46.57,63.52,2026-03-09,45.37,2.644919550363683,9.080890456248634,28.573677581863986,26.68450881612091,True,-2.7969,1.333,1,1,1,100.0,73.6405529953917,73.6405529953917,17.35508044963632,2.644919550363683,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-2.80%; 状态bottom_area; 底部已确认
4,88.50860234611365,74.7120599016472,688608,恒玄科技,bottom_area,2026-03-17,175.0,246.36,2026-03-16,173.78,0.7020370583496368,4.039590286569231,29.460951453157985,28.96574119175191,False,-2.5829,1.1448,2,2,2,100.0,30.55217416496976,36.80636853195971,19.297962941650365,0.7020370583496368,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
5,86.57998541084011,72.76221453272368,688317,之江生物,bottom_area,2026-03-17,19.61,28.58,2026-03-04,19.52,0.4610655737704911,4.76434426229508,31.700489853044083,31.385584324702588,False,-1.6056,0.7655,3,4,3,75.0,37.948623875916084,40.461049284578706,19.53893442622951,0.4610655737704911,历史3/4次成功; 当前距低点0.46%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
6,86.27728238801463,73.24735151542197,000759,中百集团,bottom_area,2026-03-17,5.97,8.42,2026-03-16,5.91,1.0152284263959324,3.214890016920465,29.80997624703088,29.097387173396676,False,-0.8306,2.5566,2,3,2,66.66666666666666,42.233363768483954,49.78038067349927,18.98477157360407,1.0152284263959324,历史2/3次成功; 当前距低点1.02%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
7,85.80419464359271,72.15000092092336,002345,潮宏基,bottom_area,2026-03-17,10.23,14.25,2026-03-16,10.18,0.4911591355599284,2.1611001964636603,28.56140350877193,28.21052631578947,False,-1.35,1.4187,1,1,1,100.0,30.859375,30.859375,19.50884086444007,0.4911591355599284,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
8,84.74276951020627,71.47369430124463,688236,春立医疗,bottom_area,2026-03-17,19.93,27.56,2026-03-13,19.8,0.6565656565656515,4.292929292929282,28.156748911465883,27.68505079825834,False,-1.4829,0.7872,3,4,3,75.0,33.4175483774963,48.33672776646301,19.34343434343435,0.6565656565656515,历史3/4次成功; 当前距低点0.66%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
9,84.3273961897421,70.92099478308846,002739,儒意电影,bottom_area,2026-03-17,10.03,13.87,2026-03-09,9.98,0.5010020040080053,3.206412825651305,28.04614275414563,27.68565248738284,False,-0.5946,1.3552,1,1,1,100.0,24.37246963562753,24.37246963562753,19.498997995991996,0.5010020040080053,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
10,83.2153119342305,72.65431822607434,300663,科蓝软件,bottom_area,2026-03-17,15.3,20.71,2026-03-04,14.92,2.546916890080434,7.908847184986604,27.95750845002415,26.12264606470304,True,-2.1113,1.4209,2,3,2,66.66666666666666,48.62700036984445,76.77304964539006,17.453083109919568,2.546916890080434,历史2/3次成功; 当前距低点2.55%; 最新日涨幅-2.11%; 状态bottom_area; 底部已确认
11,83.07788844858766,69.52391432549756,002264,新华都,bottom_area,2026-03-17,8.72,12.29,2026-03-17,8.7,0.22988505747127988,3.9080459770114926,29.21074043938161,29.048006509357187,False,-3.9648,3.3584,1,1,1,100.0,23.752969121140143,23.752969121140143,19.77011494252872,0.22988505747127988,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
12,81.47279662980594,68.17502596633337,301367,瑞迈特,bottom_area,2026-03-17,71.16,97.33,2026-03-16,71.0,0.22535211267605154,2.183098591549292,27.052296311517516,26.887907120106856,False,-0.5034,0.9812,4,6,4,66.66666666666666,28.452484497677933,32.411969715178486,19.774647887323948,0.22535211267605154,历史4/6次成功; 当前距低点0.23%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
13,78.82413304819748,71.12996779313221,601519,大智慧,bottom_area,2026-03-17,11.26,15.88,2026-03-16,10.79,4.355885078776652,7.32159406858203,32.05289672544082,29.09319899244333,True,0.9865,1.8512,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,15.644114921223352,4.355885078776652,历史2/3次成功; 当前距低点4.36%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
14,77.23266236694388,69.20423392678424,002842,翔鹭钨业,bottom_area,2026-03-17,33.79,47.7,2026-03-16,32.5,3.9692307692307667,9.261538461538455,31.86582809224319,29.16142557651992,True,0.1779,16.1827,2,3,2,66.66666666666666,25.039857064321065,29.70588235294118,16.030769230769234,3.9692307692307667,历史2/3次成功; 当前距低点3.97%; 最新日涨幅0.18%; 状态bottom_area; 底部已确认
15,77.22283355254002,68.75499628804754,300725,药石科技,bottom_area,2026-03-17,37.22,51.15,2026-03-04,35.92,3.6191536748329542,6.319599109131392,29.775171065493637,27.2336265884653,False,-0.5345,2.8529,2,3,2,66.66666666666666,51.70433867208061,60.139860139860126,16.38084632516705,3.6191536748329542,历史2/3次成功; 当前距低点3.62%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
16,73.61352681970172,65.26527447754921,688302,海创药业,bottom_area,2026-03-17,41.2,54.67,2026-03-04,39.85,3.387703889585951,10.238393977415303,27.108103164441193,24.63874154014999,True,-2.068,0.8128,2,4,2,50.0,38.6518244398128,40.24920312952768,16.61229611041405,3.387703889585951,历史2/4次成功; 当前距低点3.39%; 最新日涨幅-2.07%; 状态bottom_area; 底部已确认
17,70.55884672596221,60.46786532910509,600415,小商品城,bottom_area,2026-03-17,13.95,19.01,2026-03-04,13.74,1.5283842794759759,4.512372634643371,27.722251446607054,26.617569700157823,False,-0.9233,0.8486,1,2,1,50.0,32.59452411994785,32.59452411994785,18.471615720524028,1.5283842794759759,历史1/2次成功; 当前距低点1.53%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
18,70.13692360454515,61.476581628661656,603236,移远通信,bottom_area,2026-03-17,78.88,107.04,2026-03-16,76.76,2.7618551328816965,5.497655028660759,28.28849028400598,26.30792227204784,False,-0.6424,2.0658,2,5,2,40.0,41.47102866468776,43.55271994627266,17.238144867118304,2.7618551328816965,历史2/5次成功; 当前距低点2.76%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
19,69.32732721028903,58.646913664824986,002855,捷荣技术,bottom_area,2026-03-17,12.3,16.72,2026-03-16,12.2,0.8196721311475527,4.5081967213114815,27.033492822966505,26.435406698564584,False,-2.5357,1.4041,2,4,2,50.0,20.62239851527635,21.093749999999993,19.180327868852448,0.8196721311475527,历史2/4次成功; 当前距低点0.82%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
20,69.21893680648124,59.214723585988274,603099,长白山,bottom_area,2026-03-17,37.55,52.2,2026-03-06,37.02,1.4316585629389356,6.591031874662338,29.080459770114942,28.065134099616866,False,-1.907,1.2956,1,2,1,50.0,24.671532846715323,24.671532846715323,18.568341437061065,1.4316585629389356,历史1/2次成功; 当前距低点1.43%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
21,66.98830307359799,58.15532887491103,002155,湖南黄金,bottom_area,2026-03-17,31.55,43.67,2026-03-16,30.86,2.235904082955286,5.80038885288399,29.333638653537903,27.75360659491642,False,-0.5046,3.6181,1,2,1,50.0,28.834355828220854,28.834355828220854,17.764095917044713,2.235904082955286,历史1/2次成功; 当前距低点2.24%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
22,64.14961003855912,54.8764590939913,301459,丰茂股份,bottom_area,2026-03-17,39.01,54.99,2026-03-04,38.46,1.430057202288084,5.564222568902758,30.06001091107474,29.059829059829067,False,-1.465,3.109,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,18.569942797711917,1.430057202288084,历史1/3次成功; 当前距低点1.43%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
23,63.898445716001156,53.561573917609515,000681,视觉中国,bottom_area,2026-03-17,21.97,30.5,2026-03-16,21.9,0.31963470319634835,2.831050228310507,28.196721311475414,27.967213114754102,False,-2.0945,3.0151,2,6,2,33.33333333333333,23.263482298730437,25.590062111801227,19.680365296803654,0.31963470319634835,历史2/6次成功; 当前距低点0.32%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
24,63.75070470822924,53.46954338388856,688083,中望软件,bottom_area,2026-03-17,57.0,83.59,2026-03-09,56.8,0.35211267605634305,7.429577464788744,32.04928819236751,31.810025122622328,True,-2.4808,0.9836,2,7,2,28.57142857142857,24.290723500060842,27.053669222343906,19.647887323943657,0.35211267605634305,历史2/7次成功; 当前距低点0.35%; 最新日涨幅-2.48%; 状态bottom_area; 底部已确认
25,60.864068899650995,50.72005741637583,688031,星环科技,confirmed_rebound,2026-03-17,179.2,264.88,2026-03-17,179.2,0.0,24.821428571428584,32.34672304439747,32.34672304439747,False,-20.0,12.5696,2,5,2,40.0,22.31213664718187,22.70402945387605,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
26,58.248887607080654,49.16451085994833,300703,创源股份,bottom_area,2026-03-17,20.23,29.07,2026-03-16,20.09,0.6968641114982607,6.2717770034843285,30.89095287237702,30.409356725146196,False,-1.4133,3.3355,1,3,1,33.33333333333333,20.914127423822727,20.914127423822727,19.30313588850174,0.6968641114982607,历史1/3次成功; 当前距低点0.70%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
27,52.87943632554542,44.850800638695056,300612,宣亚国际,bottom_area,2026-03-17,15.72,22.05,2026-03-16,15.57,0.9633911368015436,3.8535645472061746,29.38775510204082,28.70748299319728,False,-1.6886,2.8592,1,7,1,14.285714285714285,25.592417061611382,25.592417061611382,19.036608863198456,0.9633911368015436,历史1/7次成功; 当前距低点0.96%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
