rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.79996305903173,79.33067217141705,600345,长江通信,bottom_area,2024-09-12,14.9,2024-09-10,14.61,1.9849418206707798,4.449007529089667,27.529761904761905,False,0.0672,1.3428,1,1,1,100.0,25.46419098143237,25.46419098143237,18.01505817932922,1.9849418206707798,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
2,88.56964166581729,79.70818689715684,000532,华金资本,bottom_area,2024-09-12,10.65,2024-09-04,10.22,4.207436399217218,7.632093933463789,27.926657263751757,True,0.2825,2.8943,2,2,2,100.0,28.877106921355356,32.044198895027606,15.792563600782783,4.207436399217218,历史2/2次成功; 当前距低点4.21%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
3,88.56762287484634,75.78362924994968,603079,圣达生物,bottom_area,2024-09-12,10.54,2024-08-26,10.39,1.4436958614051836,6.929740134744936,28.83561643835616,False,-0.7533,0.8808,1,1,1,100.0,22.232558139534888,22.232558139534888,18.556304138594818,1.4436958614051836,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
4,88.40309867897804,77.95121316805526,002674,兴业科技,bottom_area,2024-09-12,8.01,2024-08-21,7.77,3.0888030888030915,6.30630630630631,31.72231985940247,False,0.7547,0.3256,1,1,1,100.0,31.578947368421055,31.578947368421055,16.91119691119691,3.0888030888030915,历史1/1次成功; 当前距低点3.09%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
5,87.0683247219546,72.77894736842103,300761,立华股份,bottom_area,2024-09-12,18.03,2024-09-10,18.0,0.16666666666667299,3.4999999999999947,27.710843373493972,False,-0.9341,0.3375,1,1,1,100.0,30.263157894736853,30.263157894736853,19.83333333333333,0.16666666666667299,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
6,86.1922790998132,76.22854767184037,601872,招商轮船,bottom_area,2024-09-12,6.35,2024-09-11,6.15,3.2520325203251916,4.390243902439018,27.47641509433962,False,1.9262,0.4775,1,1,1,100.0,24.318181818181802,24.318181818181802,16.74796747967481,3.2520325203251916,历史1/1次成功; 当前距低点3.25%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
7,84.28996015936256,70.24163346613547,603027,千禾味业,bottom_area,2024-09-12,10.25,2024-09-12,10.25,0.0,4.780487804878051,28.918169209431344,False,-3.8462,1.803,1,1,1,100.0,37.051792828685265,37.051792828685265,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.85%; 状态bottom_area; 底部未确认
8,80.85130586454687,71.13035773691139,601919,中远海控,bottom_area,2024-09-12,11.81,2024-09-10,11.47,2.9642545771578015,4.097646033129894,29.328404189772023,False,1.8982,0.4749,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,17.0357454228422,2.9642545771578015,历史2/3次成功; 当前距低点2.96%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
9,79.90058157293144,66.58381797744288,300536,农尚环境,bottom_area,2024-09-12,4.76,2024-09-12,4.76,0.0,9.033613445378165,27.217125382263003,False,-6.1144,3.8601,4,6,4,66.66666666666666,39.608340380517234,60.27027027027027,20.0,0.0,历史4/6次成功; 当前距低点0.00%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
10,75.6360783049789,63.21579542232363,000058,深赛格,bottom_area,2024-09-12,6.24,2024-09-12,6.23,0.16051364365970766,4.654895666131607,30.46875,False,-5.7402,6.2341,2,3,2,66.66666666666666,27.87688098495213,34.82352941176472,19.839486356340295,0.16051364365970766,历史2/3次成功; 当前距低点0.16%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
11,74.96257921569382,63.64444813650651,000966,长源电力,bottom_area,2024-09-12,3.97,2024-09-10,3.93,1.0178117048346065,2.5445292620865163,27.222222222222225,False,0.2525,0.2671,1,2,1,50.0,20.94117647058823,20.94117647058823,18.982188295165393,1.0178117048346065,历史1/2次成功; 当前距低点1.02%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
