rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.71853878515334,85.99530288909601,300348,长亮科技,bottom_area,2026-05-26,10.99,14.95,2026-05-26,10.73,2.423112767940352,3.0754892823858344,28.22742474916387,26.488294314381267,False,0.9183,1.8929,2,2,2,100.0,61.67178134052256,87.71331058020478,17.576887232059647,2.423112767940352,历史2/2次成功; 当前距低点2.42%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
2,96.01108944783923,82.4073383544124,601800,中国交建,bottom_area,2026-05-26,6.3,8.55,2026-05-26,6.2,1.6129032258064457,1.6129032258064457,27.485380116959067,26.31578947368422,False,0.3185,0.5213,1,1,1,100.0,37.44493392070484,37.44493392070484,18.387096774193555,1.6129032258064457,历史1/1次成功; 当前距低点1.61%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
3,95.3433967031576,81.43979646940709,002252,上海莱士,bottom_area,2026-05-26,5.26,7.26,2026-05-25,5.19,1.3487475915221463,3.082851637764918,28.51239669421487,27.548209366391184,False,0.9597,0.4792,1,1,1,100.0,29.005059021922442,29.005059021922442,18.651252408477855,1.3487475915221463,历史1/1次成功; 当前距低点1.35%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
4,94.83587603140623,81.58328016032065,601136,首创证券,bottom_area,2026-05-26,15.23,21.55,2026-05-25,14.97,1.7368069472277874,2.6720106880427426,30.533642691415313,29.327146171693734,False,0.3294,0.3187,1,1,1,100.0,34.53333333333333,34.53333333333333,18.263193052772213,1.7368069472277874,历史1/1次成功; 当前距低点1.74%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
5,92.76192234767375,81.34037765232627,601390,中国中铁,bottom_area,2026-05-26,4.8,6.47,2026-05-22,4.67,2.7837259100642378,3.211991434689515,27.820710973724882,25.811437403400312,False,1.4799,0.6681,1,1,1,100.0,46.06060606060606,46.06060606060606,17.216274089935762,2.7837259100642378,历史1/1次成功; 当前距低点2.78%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
6,92.39267931055335,78.60651985952418,603325,博隆技术,bottom_area,2026-05-26,56.3,77.95,2026-05-26,55.67,1.1316687623495516,2.263337524699116,28.58242463117383,27.774214239897375,False,-1.1414,1.5872,1,1,1,100.0,33.584541062801925,33.584541062801925,18.868331237650448,1.1316687623495516,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
7,92.01224792112622,79.34405713461261,002773,康弘药业,bottom_area,2026-05-26,21.27,30.6,2026-05-26,20.88,1.8678160919540259,2.1072796934865963,31.764705882352946,30.490196078431374,False,0.7102,0.8798,1,1,1,100.0,24.10041841004185,24.10041841004185,18.132183908045977,1.8678160919540259,历史1/1次成功; 当前距低点1.87%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
8,90.95163859278684,78.35067780275726,002866,传艺科技,bottom_area,2026-05-26,20.78,30.0,2026-05-26,20.41,1.812836844683983,3.380695737383642,31.966666666666665,30.73333333333333,False,-2.2578,5.5213,1,1,1,100.0,40.55884843353091,40.55884843353091,18.187163155316018,1.812836844683983,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
9,90.4918697370746,77.07758104531686,688819,天能股份,bottom_area,2026-05-26,25.42,36.54,2026-05-26,25.12,1.1942675159235698,3.4235668789808895,31.253420908593316,30.432402846195945,False,-1.4729,0.3318,1,1,1,100.0,26.131779471089207,26.131779471089207,18.805732484076433,1.1942675159235698,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
10,90.23591436915765,77.41418927112721,000912,泸天化,bottom_area,2026-05-26,3.84,5.43,2026-05-26,3.78,1.587301587301589,3.439153439153448,30.386740331491712,29.2817679558011,False,-2.2901,2.0277,4,5,4,80.0,26.092671452552917,33.20388349514563,18.41269841269841,1.587301587301589,历史4/5次成功; 当前距低点1.59%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
11,90.19215478474347,76.48083412923535,000919,金陵药业,bottom_area,2026-05-26,6.37,8.83,2026-05-26,6.31,0.9508716323296436,2.694136291600647,28.539071347678373,27.859569648924122,False,-1.849,1.8605,3,3,3,100.0,26.44527661799429,31.2267657992565,19.049128367670356,0.9508716323296436,历史3/3次成功; 当前距低点0.95%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
12,89.1207256396335,76.95126310362606,300798,锦鸡股份,bottom_area,2026-05-26,8.41,11.45,2026-05-26,8.25,1.9393939393939412,5.454545454545446,27.947598253275103,26.550218340611348,False,-3.3333,4.1108,1,1,1,100.0,44.801512287334596,44.801512287334596,18.06060606060606,1.9393939393939412,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
13,88.23728815661067,74.18813423403091,601238,广汽集团,bottom_area,2026-05-26,6.21,8.67,2026-05-26,6.18,0.48543689320388755,2.588996763754048,28.719723183391004,28.373702422145332,False,-1.2719,0.2417,2,2,2,100.0,25.08027070180526,26.42487046632124,19.51456310679611,0.48543689320388755,历史2/2次成功; 当前距低点0.49%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
14,88.1448598873372,74.50524048791914,605089,味知香,bottom_area,2026-05-26,22.09,31.08,2026-05-26,21.92,0.7755474452554659,2.3266423357664143,29.472329472329463,28.92535392535392,False,-1.2958,0.6813,2,2,2,100.0,30.341336898395717,38.50267379679143,19.224452554744534,0.7755474452554659,历史2/2次成功; 当前距低点0.78%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
15,87.77924968384626,74.43269710033745,300355,蒙草生态,bottom_area,2026-05-26,3.19,4.38,2026-05-26,3.16,0.9493670886075887,3.797468354430369,27.853881278538807,27.168949771689498,False,-3.0395,2.121,3,3,3,100.0,25.63039818474601,33.201581027668,19.050632911392412,0.9493670886075887,历史3/3次成功; 当前距低点0.95%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
16,87.65542358439193,75.67515376374108,002396,星网锐捷,bottom_area,2026-05-26,23.22,33.79,2026-05-26,22.78,1.9315188762071893,4.389815627743634,32.58360461675051,31.281444214264575,False,-2.8452,4.3208,1,1,1,100.0,27.629122588674555,27.629122588674555,18.06848112379281,1.9315188762071893,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
17,86.75103741762753,74.19952840676376,300149,睿智医药,bottom_area,2026-05-26,8.56,11.72,2026-05-26,8.44,1.4218009478673106,4.265402843601911,27.9863481228669,26.96245733788396,False,-3.386,2.4405,1,1,1,100.0,23.662551440329203,23.662551440329203,18.57819905213269,1.4218009478673106,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
