rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.43690149014905,90.20636363636366,000957,中通客车,bottom_area,2024-08-29,9.09,2024-08-29,8.8,3.2954545454545356,3.8636363636363615,31.25,False,2.1348,3.7621,4,4,4,100.0,101.48868676450815,354.54545454545456,4.704545454545465,3.2954545454545356,历史4/4次成功; 当前距低点3.30%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
2,91.23335277330294,87.71145231262732,002357,富临运业,bottom_area,2024-08-29,5.22,2024-08-29,5.12,1.9531249999999931,2.343750000000002,28.08988764044944,False,0.3846,2.4511,4,4,4,100.0,20.132136089393963,31.941031941031934,6.046875000000007,1.9531249999999931,历史4/4次成功; 当前距低点1.95%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
3,85.64870481461277,83.10249264702301,603069,海汽集团,bottom_area,2024-08-29,15.17,2024-08-29,14.81,2.4307900067521904,2.5658338960161986,27.966926070038905,False,-0.5898,1.2634,6,6,6,100.0,23.68114979794627,76.0375880971026,5.56920999324781,2.4307900067521904,历史6/6次成功; 当前距低点2.43%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
4,84.049066675815,81.61339871969805,000037,深南电A,bottom_area,2024-08-29,7.05,2024-08-28,6.88,2.470930232558138,2.6162790697674376,28.92561983471074,False,0.7143,1.1056,7,8,7,87.5,20.777524999627015,45.16765285996055,5.529069767441862,2.470930232558138,历史7/8次成功; 当前距低点2.47%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
5,83.4087585219695,84.06066863492573,301421,波长光电,bottom_area,2024-08-29,31.05,2024-08-28,29.74,4.40484196368528,5.2790854068594495,31.045675863667988,False,2.9851,11.2332,3,3,3,100.0,47.22423823724819,56.02000000000002,3.5951580363147198,4.40484196368528,历史3/3次成功; 当前距低点4.40%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
6,83.39163485279134,78.92888866653323,002110,三钢闽光,bottom_area,2024-08-29,2.66,2024-08-29,2.63,1.1406844106463974,1.5209125475285186,30.0531914893617,False,-0.3745,0.2551,2,2,2,100.0,18.761554423693642,22.90322580645161,6.859315589353603,1.1406844106463974,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
7,83.00677732480054,80.4951401085115,002682,龙洲股份,bottom_area,2024-08-29,3.41,2024-08-28,3.33,2.4024024024024047,3.3033033033032995,30.76923076923076,False,0.59,1.9134,2,2,2,100.0,20.175363365532185,26.929674099485425,5.597597597597595,2.4024024024024047,历史2/2次成功; 当前距低点2.40%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
8,82.85889207067613,82.35927184337977,000597,东北制药,bottom_area,2024-08-29,4.22,2024-08-26,4.07,3.6855036855036722,4.422604422604415,32.053422370617696,False,0.9569,2.3981,3,3,3,100.0,29.259248636172746,61.02150537634409,4.314496314496328,3.6855036855036722,历史3/3次成功; 当前距低点3.69%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
9,82.43174484294033,82.55698932738137,000983,山西焦煤,bottom_area,2024-08-29,7.91,2024-08-26,7.6,4.078947368421059,5.000000000000011,29.95391705069125,False,1.671,0.4981,4,4,4,100.0,18.47843724398591,27.212389380530986,3.921052631578941,4.078947368421059,历史4/4次成功; 当前距低点4.08%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
10,82.41064404061221,79.36402954206969,301538,骏鼎达,bottom_area,2024-08-29,68.48,2024-08-28,67.11,2.0414245268961477,3.3825063328863,29.984350547730827,False,0.3958,6.2644,2,2,2,100.0,9.669233674155395,10.10519247985676,5.958575473103853,2.0414245268961477,历史2/2次成功; 当前距低点2.04%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
11,82.30165998935749,80.46316680707014,001218,丽臣实业,bottom_area,2024-08-29,13.83,2024-08-26,13.45,2.825278810408928,3.2713754646840245,32.07070707070708,False,0.5818,0.7504,2,2,2,100.0,25.18711018711019,29.999999999999993,5.1747211895910725,2.825278810408928,历史2/2次成功; 当前距低点2.83%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
