rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.68567564234235,91.30280479071205,688358,祥生医疗,bottom_area,2024-10-17,23.03,2024-10-16,22.7,1.4537444933920787,4.5374449339207095,28.232690483717988,False,0.6996,0.8183,4,4,4,100.0,33.31904427766654,68.06588735387884,8.546255506607922,1.4537444933920787,历史4/4次成功; 当前距低点1.45%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
2,88.91212159802383,82.82411735983518,300595,欧普康视,bottom_area,2024-10-17,18.23,2024-10-16,18.0,1.2777777777777801,4.277777777777776,27.594529364440866,False,0.0549,1.6734,2,2,2,100.0,18.911025232088786,19.855715871254166,8.72222222222222,1.2777777777777801,历史2/2次成功; 当前距低点1.28%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
3,88.65860576916573,80.72069781253171,688005,容百科技,bottom_area,2024-10-17,25.27,2024-10-17,25.25,0.07920792079207752,4.316831683168316,27.442528735632177,False,-1.7496,2.3894,4,4,4,100.0,21.88866597815933,38.76758854924795,9.920792079207922,0.07920792079207752,历史4/4次成功; 当前距低点0.08%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
4,88.39517257666212,82.73864851806879,301499,维科精密,bottom_area,2024-10-17,25.89,2024-10-14,25.5,1.5294117647058845,8.78431372549019,29.166666666666668,True,-1.5589,10.2527,3,3,3,100.0,18.148964202140924,21.950454687989964,8.470588235294116,1.5294117647058845,历史3/3次成功; 当前距低点1.53%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
5,86.44041075736162,80.94086692261925,688349,三一重能,bottom_area,2024-10-17,25.55,2024-10-16,25.16,1.5500794912559641,4.29252782193958,27.325245522819174,False,0.0,1.6703,1,1,1,100.0,28.790581519800213,28.790581519800213,8.449920508744038,1.5500794912559641,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,85.81246894775572,80.55755555555557,000430,张家界,bottom_area,2024-10-17,6.04,2024-10-16,5.94,1.6835016835016776,4.377104377104373,28.433734939759038,False,-0.9836,4.2896,2,2,2,100.0,34.17171717171716,53.99999999999999,8.316498316498324,1.6835016835016776,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
7,84.54359590561499,81.53090651922336,300510,金冠股份,bottom_area,2024-10-17,4.33,2024-10-11,4.2,3.0952380952380927,8.809523809523812,27.835051546391753,True,-0.6881,2.9,3,3,3,100.0,30.849727829925854,40.000000000000014,6.904761904761908,3.0952380952380927,历史3/3次成功; 当前距低点3.10%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
8,84.40290402011355,79.65878105925148,688255,凯尔达,bottom_area,2024-10-17,20.25,2024-10-11,19.86,1.9637462235649576,9.214501510574028,27.834302325581394,True,0.1979,1.251,1,1,1,100.0,17.774851876234372,17.774851876234372,8.036253776435043,1.9637462235649576,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
9,83.50290951374826,78.03161152578268,300413,芒果超媒,bottom_area,2024-10-17,23.19,2024-10-16,22.86,1.4435695538057824,3.849518810148727,27.56653992395437,False,0.0863,2.001,1,1,1,100.0,11.843817787418656,11.843817787418656,8.556430446194218,1.4435695538057824,历史1/1次成功; 当前距低点1.44%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
10,82.2954833799333,75.83563129075964,300759,康龙化成,bottom_area,2024-10-17,25.51,2024-10-16,25.33,0.7106198183971705,3.8294512435846917,30.45030203185064,False,-2.1856,3.0019,3,3,3,100.0,20.0314219177698,32.829977628635355,9.28938018160283,0.7106198183971705,历史3/3次成功; 当前距低点0.71%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
11,82.09523025436361,74.63202750396691,688177,百奥泰,bottom_area,2024-10-17,21.8,2024-10-16,21.8,0.0,3.4862385321100824,28.242264647794595,False,-0.9991,0.5953,3,3,3,100.0,17.107674752510242,28.56629536471435,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
