rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.22287553933295,88.98223845063622,688075,安旭生物,bottom_area,2023-06-07,66.4,2023-05-10,64.65,2.7068832173240525,7.764887857695276,30.37906525953047,True,0.3931,0.8153,5,5,5,100.0,27.010388097500325,40.134529147982065,5.293116782675948,2.7068832173240525,历史5/5次成功; 当前距低点2.71%; 最新日涨幅0.39%; 状态bottom_area; 底部已确认
2,87.35290397868025,83.62767134599503,002079,苏州固锝,bottom_area,2023-06-07,12.32,2023-05-10,12.11,1.7341040462427817,7.101568951279945,28.512396694214885,True,0.2441,1.3368,2,2,2,100.0,19.631336405529957,22.488479262672804,6.2658959537572185,1.7341040462427817,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
3,87.03015759627587,84.191451078245,600009,上海机场,bottom_area,2023-06-07,45.84,2023-06-06,44.82,2.2757697456492707,3.7483266398929045,29.83719474013776,False,1.4384,0.4703,3,3,3,100.0,21.829065044759854,27.704918032786885,5.724230254350729,2.2757697456492707,历史3/3次成功; 当前距低点2.28%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
4,86.44198462495798,80.03887465273887,603327,福蓉科技,bottom_area,2023-06-07,11.25,2023-06-01,11.25,0.0,3.8222222222222197,27.419354838709676,False,-0.4425,0.2022,4,4,4,100.0,29.510078778165898,52.609776304888165,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
5,85.36923218215469,81.26381009124577,002567,唐人神,bottom_area,2023-06-07,6.35,2023-06-07,6.26,1.43769968051118,2.076677316293928,32.76047261009668,False,0.7937,1.4184,2,2,2,100.0,12.482609477479864,13.8187221396731,6.56230031948882,1.43769968051118,历史2/2次成功; 当前距低点1.44%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
6,84.88866203430013,82.80755139024787,002570,贝因美,bottom_area,2023-06-07,4.17,2023-05-30,4.06,2.709359605911338,3.694581280788187,29.636048526863085,False,0.7246,0.4982,3,3,3,100.0,19.703716622181236,35.05154639175259,5.290640394088662,2.709359605911338,历史3/3次成功; 当前距低点2.71%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
7,83.21392836383282,77.76501426112245,605399,晨光新材,bottom_area,2023-06-07,18.85,2023-06-07,18.76,0.4797441364605535,3.678038379530905,31.25687064858922,False,-2.8851,1.7108,2,2,2,100.0,44.24102630243285,52.857533497402244,7.520255863539446,0.4797441364605535,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
8,83.19962724367825,79.85559354731416,300629,新劲刚,bottom_area,2023-06-07,18.55,2023-06-07,18.21,1.8671059857221297,2.0867655134541403,29.254079254079247,False,0.8152,1.2333,2,2,2,100.0,10.175242982583942,11.82714177407127,6.132894014277871,1.8671059857221297,历史2/2次成功; 当前距低点1.87%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
9,83.16889129152351,79.06829322718714,600955,维远股份,bottom_area,2023-06-07,18.48,2023-06-01,18.23,1.3713658804168951,4.552934722984083,28.453689167974883,False,-0.3774,0.2586,2,2,2,100.0,22.33874964805201,25.969084423305596,6.628634119583104,1.3713658804168951,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
10,82.51463917129873,79.26664025359061,600409,三友化工,bottom_area,2023-06-07,5.33,2023-05-31,5.23,1.9120458891013314,5.927342256214141,29.324324324324323,False,-1.1132,0.4635,3,3,3,100.0,13.366155272804479,18.95551257253386,6.087954110898669,1.9120458891013314,历史3/3次成功; 当前距低点1.91%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
11,82.11527026583629,77.60972115494211,002312,川发龙蟒,bottom_area,2023-06-07,8.53,2023-06-01,8.44,1.0663507109004722,7.5829383886256,28.04774083546463,True,-2.291,0.7736,1,1,1,100.0,18.231186966640802,18.231186966640802,6.933649289099527,1.0663507109004722,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-2.29%; 状态bottom_area; 底部已确认
12,82.076862679573,76.39474540008557,600935,华塑股份,bottom_area,2023-06-07,3.7,2023-05-31,3.69,0.2710027100271065,3.2520325203252063,27.788649706457928,False,0.0,0.2007,1,1,1,100.0,28.50877192982458,28.50877192982458,7.728997289972894,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,82.02472435037774,78.0587900355872,002378,章源钨业,bottom_area,2023-06-07,5.7,2023-06-07,5.62,1.4234875444839872,2.313167259786475,27.76349614395887,False,0.7067,0.5359,1,1,1,100.0,11.743772241992884,11.743772241992884,6.5765124555160135,1.4234875444839872,历史1/1次成功; 当前距低点1.42%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
14,81.6693065042839,79.40033860153584,300762,上海瀚讯,bottom_area,2023-06-07,11.73,2023-05-10,11.44,2.534965034965043,6.6433566433566416,27.50316856780735,False,1.2953,0.8572,1,1,1,100.0,32.580961727183514,32.580961727183514,5.465034965034957,2.534965034965043,历史1/1次成功; 当前距低点2.53%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
15,79.75681432549047,75.3674954945935,688176,亚虹医药,bottom_area,2023-06-07,11.47,2023-06-07,11.35,1.0572687224669692,5.462555066079304,29.851668726823238,False,-3.4512,4.6867,1,1,1,100.0,25.473484848484844,25.473484848484844,6.9427312775330305,1.0572687224669692,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
16,79.66807357062815,77.86269870535082,605580,恒盛能源,bottom_area,2023-06-07,13.18,2023-06-07,12.82,2.808112324492975,3.042121684867399,27.69317540891145,False,1.4627,18.9463,1,1,1,100.0,27.66233766233766,27.66233766233766,5.191887675507025,2.808112324492975,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
17,79.56014670753419,76.39481399420211,601111,中国国航,bottom_area,2023-06-07,8.09,2023-06-02,7.94,1.8891687657430662,4.53400503778338,29.920564872021178,False,-0.3695,0.5137,1,1,1,100.0,30.97913322632423,30.97913322632423,6.110831234256934,1.8891687657430662,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
18,79.52233525123785,74.63345394736842,002179,中航光电,bottom_area,2023-06-07,40.18,2023-06-07,39.9,0.7017543859649151,3.2581453634085324,30.536211699164344,False,-2.0955,0.4314,1,1,1,100.0,46.79276315789475,46.79276315789475,7.298245614035085,0.7017543859649151,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
19,79.50970652968907,77.47185978321747,600256,广汇能源,bottom_area,2023-06-07,7.36,2023-06-01,7.17,2.649930264993032,5.718270571827059,29.49852507374631,False,0.1361,0.8512,1,1,1,100.0,23.62204724409449,23.62204724409449,5.350069735006969,2.649930264993032,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
