rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.76292720777144,80.74425066830091,002269,美邦服饰,bottom_area,2025-10-17,2.27,2025-10-13,2.23,1.793721973094172,8.520179372197308,30.529595015576323,True,-1.7316,3.4299,2,2,2,100.0,27.33299337072922,31.08108108108108,18.206278026905828,1.793721973094172,历史2/2次成功; 当前距低点1.79%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
2,91.68293065230264,79.05515254237288,688621,阳光诺和,bottom_area,2025-10-17,60.1,2025-10-14,59.0,1.8644067796610195,8.322033898305078,31.355439208842352,True,-3.3917,3.365,1,1,1,100.0,46.0,46.0,18.13559322033898,1.8644067796610195,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-3.39%; 状态bottom_area; 底部已确认
3,87.45320680501962,76.91248916361991,301151,冠龙节能,bottom_area,2025-10-17,19.92,2025-10-13,19.35,2.9457364341085284,8.21705426356589,32.10526315789473,True,-2.1611,1.0992,1,1,1,100.0,37.520259319286865,37.520259319286865,17.05426356589147,2.9457364341085284,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
4,87.26157632889296,75.6368586982572,300049,福瑞医科,bottom_area,2025-10-17,66.51,2025-10-13,65.11,2.1502073414222176,8.692981108892637,28.19805910895457,True,-2.478,2.476,1,1,1,100.0,20.910384068278802,20.910384068278802,17.849792658577783,2.1502073414222176,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-2.48%; 状态bottom_area; 底部已确认
5,87.09192918595467,75.98049578046553,300056,中创环保,bottom_area,2025-10-17,10.64,2025-10-15,10.38,2.5048169556840056,8.188824662813097,29.001367989056074,True,-0.5607,2.4183,1,1,1,100.0,27.10472279260781,27.10472279260781,17.495183044315997,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-0.56%; 状态bottom_area; 底部已确认
6,86.85575948970815,76.30858938218297,300732,设研院,bottom_area,2025-10-17,8.19,2025-10-13,7.96,2.8894472361808985,7.663316582914577,28.673835125448026,True,-1.444,2.498,1,1,1,100.0,33.58348968105066,33.58348968105066,17.110552763819104,2.8894472361808985,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
7,86.08340477153254,71.73617064294379,688039,当虹科技,bottom_area,2025-10-17,49.0,2025-10-17,49.0,0.0,6.448979591836728,30.956742285472732,False,-5.7692,3.743,1,1,1,100.0,45.086938940558035,45.086938940558035,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
8,84.95374877703708,71.78368307656189,688603,天承科技,bottom_area,2025-10-17,65.21,2025-10-17,64.72,0.7571075401730453,6.242274412855387,27.976852882261294,False,-4.9417,3.0909,1,1,1,100.0,42.364990689013034,42.364990689013034,19.242892459826955,0.7571075401730453,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
9,83.97348513642955,74.32004617209772,002148,北纬科技,bottom_area,2025-10-17,9.1,2025-10-13,8.81,3.2917139614074817,8.286038592508497,29.236947791164653,True,-2.2556,3.169,1,1,1,100.0,27.823408624229966,27.823408624229966,16.70828603859252,3.2917139614074817,历史1/1次成功; 当前距低点3.29%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
10,83.87999999999998,69.89999999999999,600376,首开股份,bottom_area,2025-10-17,5.81,2025-10-16,5.81,0.0,5.163511187607585,27.375000000000004,False,-1.692,5.4431,1,1,1,100.0,24.99999999999999,24.99999999999999,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
11,83.86223654933427,70.16483960111633,688662,富信科技,bottom_area,2025-10-17,41.4,2025-10-17,41.31,0.21786492374726774,6.4875332849189045,28.529411764705877,False,-5.3714,2.3653,1,1,1,100.0,27.051460361613344,27.051460361613344,19.782135076252732,0.21786492374726774,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-5.37%; 状态bottom_area; 底部未确认
