rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.74153556955196,85.3380355048353,002317,众生药业,bottom_area,2024-07-02,11.45,2024-06-25,11.25,1.7777777777777715,6.222222222222216,27.745664739884397,False,-1.2931,1.3507,4,4,4,100.0,27.695531388003374,58.31999999999999,8.222222222222229,1.7777777777777715,历史4/4次成功; 当前距低点1.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
2,89.65788095196949,83.1214722020051,600416,湘电股份,bottom_area,2024-07-02,9.83,2024-06-26,9.73,1.0277492291880745,4.933196300102779,27.496274217585686,False,-0.5061,0.813,3,3,3,100.0,23.251292712655438,34.41084462982274,8.972250770811927,1.0277492291880745,历史3/3次成功; 当前距低点1.03%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
3,86.9827011896817,82.48169475495,688185,康希诺,bottom_area,2024-07-02,41.14,2024-07-01,40.25,2.211180124223604,4.993788819875771,27.136133236784943,False,-0.4838,0.7044,8,8,8,100.0,17.651534613869938,36.75601999091322,7.7888198757763965,2.211180124223604,历史8/8次成功; 当前距低点2.21%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
4,86.32268121009966,81.9049720857875,603368,柳药集团,bottom_area,2024-07-02,17.78,2024-06-28,17.39,2.242668200115012,4.945370902817707,27.842323651452283,False,-1.3866,1.6783,3,3,3,100.0,31.603524634675978,42.85714285714285,7.757331799884989,2.242668200115012,历史3/3次成功; 当前距低点2.24%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
5,86.32037765846584,83.41522666096331,001212,中旗新材,bottom_area,2024-07-02,20.3,2024-06-25,19.67,3.2028469750889625,6.659888154550068,31.103327495621713,False,-1.3126,0.9526,4,4,4,100.0,34.82643959229107,82.06521739130437,6.7971530249110375,3.2028469750889625,历史4/4次成功; 当前距低点3.20%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
6,85.87760342351196,83.81052762994823,601388,怡球资源,bottom_area,2024-07-02,2.23,2024-06-26,2.15,3.720930232558143,4.651162790697678,27.609427609427616,False,0.0,0.6701,4,4,4,100.0,20.829293334305355,35.632183908045974,6.279069767441858,3.720930232558143,历史4/4次成功; 当前距低点3.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,85.45421705035876,78.85375259905118,603305,旭升集团,bottom_area,2024-07-02,10.31,2024-07-01,10.23,0.7820136852394923,3.910068426197462,30.170648464163826,False,-1.9962,1.1212,4,4,4,100.0,20.466364523640955,32.41061130334487,9.217986314760509,0.7820136852394923,历史4/4次成功; 当前距低点0.78%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
8,85.1232200195103,78.66332899306722,688156,路德科技,bottom_area,2024-07-02,12.92,2024-07-01,12.81,0.8587041373926576,3.2786885245901636,28.235294117647065,False,-0.6154,1.1688,5,5,5,100.0,20.38265820603483,44.22535211267606,9.141295862607343,0.8587041373926576,历史5/5次成功; 当前距低点0.86%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
9,84.94315216024543,81.62492164970314,002838,道恩股份,bottom_area,2024-07-02,9.2,2024-06-26,8.94,2.908277404921698,5.369127516778528,28.934817170111295,False,-1.0753,0.5313,5,5,5,100.0,21.59029103722908,38.59649122807017,7.091722595078302,2.908277404921698,历史5/5次成功; 当前距低点2.91%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
10,84.3852283795574,81.11305404042656,600223,福瑞达,bottom_area,2024-07-02,7.04,2024-07-01,6.84,2.9239766081871372,4.093567251461992,27.15654952076678,False,0.1422,0.6592,2,2,2,100.0,29.890971543512023,47.49216300940439,7.076023391812863,2.9239766081871372,历史2/2次成功; 当前距低点2.92%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
11,84.07446006409887,79.13828695819574,301332,德尔玛,bottom_area,2024-07-02,8.93,2024-06-24,8.77,1.824401368301028,4.332953249714946,30.507131537242472,False,-0.4459,0.8757,1,1,1,100.0,44.935064935064936,44.935064935064936,8.175598631698973,1.824401368301028,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
