rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.63542505091942,85.83189189189189,301260,格力博,bottom_area,2025-06-23,18.71,2025-06-23,18.5,1.1351351351351398,2.108108108108111,29.3353705118411,False,0.107,2.1601,1,1,1,100.0,58.71313672922254,58.71313672922254,13.86486486486486,1.1351351351351398,历史1/1次成功; 当前距低点1.14%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
2,94.22023158384737,84.56153846153849,001230,劲旅环境,bottom_area,2025-06-23,19.83,2025-06-23,19.5,1.6923076923076836,2.7692307692307647,30.629669156883672,False,1.0188,3.5477,1,1,1,100.0,84.69119579500656,84.69119579500656,13.307692307692315,1.6923076923076836,历史1/1次成功; 当前距低点1.69%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
3,92.70299707899257,84.27545188999326,002127,南极电商,bottom_area,2025-06-23,3.87,2025-06-20,3.78,2.3809523809523894,2.6455026455026482,29.34579439252336,False,0.7813,1.5923,3,3,3,100.0,23.570017841745774,33.53658536585366,12.61904761904761,2.3809523809523894,历史3/3次成功; 当前距低点2.38%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
4,91.6085202019044,84.21295532646049,603327,福蓉科技,bottom_area,2025-06-23,8.99,2025-06-23,8.73,2.978235967926687,3.092783505154634,28.148148148148145,False,1.2387,0.7284,5,6,5,83.33333333333334,51.44264398496634,129.39632545931758,12.021764032073312,2.978235967926687,历史5/6次成功; 当前距低点2.98%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
5,91.58744308984716,82.01734114526302,002041,登海种业,bottom_area,2025-06-23,9.68,2025-06-23,9.53,1.5739769150052505,1.783840503672612,29.719764011799416,False,0.5192,0.5245,2,2,2,100.0,18.2043468358871,21.395106715252467,13.426023084994748,1.5739769150052505,历史2/2次成功; 当前距低点1.57%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
6,91.30243258600301,83.54582622484182,002678,珠江钢琴,bottom_area,2025-06-23,4.89,2025-06-23,4.76,2.7310924369747878,2.7310924369747878,29.79351032448378,False,1.2422,2.1866,3,3,3,100.0,23.939338608302766,35.5191256830601,12.268907563025211,2.7310924369747878,历史3/3次成功; 当前距低点2.73%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
7,90.790243902439,82.71999999999998,603787,新日股份,bottom_area,2025-06-23,11.89,2025-06-23,11.6,2.500000000000008,2.6724137931034524,28.39506172839506,False,1.0195,3.5014,1,1,1,100.0,92.85714285714283,92.85714285714283,12.499999999999991,2.500000000000008,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
8,89.69155218455587,79.95301305360087,605198,安德利,bottom_area,2025-06-23,39.65,2025-06-20,39.13,1.3289036544850397,5.264502938921531,29.748653500897664,False,-1.7105,1.5666,1,1,1,100.0,43.241469816272954,43.241469816272954,13.671096345514961,1.3289036544850397,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
9,88.41351587440384,79.77159327013884,600770,综艺股份,bottom_area,2025-06-23,5.16,2025-06-23,5.06,1.976284584980248,2.569169960474324,32.980132450331126,False,0.3891,1.6999,1,1,1,100.0,27.72861356932153,27.72861356932153,13.023715415019751,1.976284584980248,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
10,87.83105981907049,79.01056326804512,003025,思进智能,bottom_area,2025-06-23,12.89,2025-06-23,12.66,1.8167456556082182,1.9747235387045814,27.98634812286689,False,0.9397,1.4535,1,1,1,100.0,21.681415929203535,21.681415929203535,13.18325434439178,1.8167456556082182,历史1/1次成功; 当前距低点1.82%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
11,87.30804085434747,79.46535238333328,688306,均普智能,bottom_area,2025-06-23,8.8,2025-06-23,8.59,2.4447031431897654,2.910360884749709,28.416666666666668,False,1.1494,0.766,1,1,1,100.0,31.824062095730905,31.824062095730905,12.555296856810234,2.4447031431897654,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
