rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.4858820758719,78.33878786047273,301151,冠龙节能,bottom_area,2025-09-25,20.7,2025-09-23,20.38,1.570166830225713,5.004906771344453,28.49122807017544,False,-1.4286,4.4651,1,1,1,100.0,37.520259319286865,37.520259319286865,13.429833169774286,1.570166830225713,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
2,84.38782011711191,75.15938883034772,002259,升达林业,bottom_area,2025-09-25,3.95,2025-09-23,3.9,1.282051282051289,5.641025641025646,27.509293680297397,False,-2.2277,1.0252,1,1,1,100.0,16.894977168949776,16.894977168949776,13.71794871794871,1.282051282051289,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
3,84.36439133245274,77.51329192546585,301009,可靠股份,bottom_area,2025-09-25,13.26,2025-09-23,12.88,2.950310559006203,4.5807453416149055,30.566037735849054,False,-0.5251,1.6215,1,1,1,100.0,53.96648044692738,53.96648044692738,12.049689440993797,2.950310559006203,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
4,83.27789429768936,75.08078344670426,002651,利君股份,bottom_area,2025-09-25,11.06,2025-09-23,10.85,1.93548387096775,5.806451612903233,28.09807819748178,False,-1.8634,2.2789,3,4,3,75.0,28.648853078014685,41.96642685851319,13.06451612903225,1.93548387096775,历史3/4次成功; 当前距低点1.94%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
5,73.04995443230445,68.01492714045784,000037,深南电A,bottom_area,2025-09-25,8.49,2025-09-23,8.19,3.663003663003672,4.51770451770453,28.220858895705526,False,0.0,1.4201,5,9,5,55.55555555555556,31.492938726974817,45.16765285996055,11.336996336996327,3.663003663003672,历史5/9次成功; 当前距低点3.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,72.56924421256886,67.00496082307549,600316,洪都航空,bottom_area,2025-09-25,35.0,2025-09-16,33.91,3.2143910350929032,9.407254497198482,28.565409732462616,True,-1.9608,1.4633,3,5,3,60.0,24.213830016598457,30.462519936204153,11.785608964907096,3.2143910350929032,历史3/5次成功; 当前距低点3.21%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
7,70.72689188626815,65.68830064371079,300534,陇神戎发,bottom_area,2025-09-25,9.68,2025-09-23,9.35,3.529411764705883,5.454545454545452,27.519379844961243,False,-0.8197,2.052,3,5,3,60.0,30.190104662581724,41.58730158730159,11.470588235294116,3.529411764705883,历史3/5次成功; 当前距低点3.53%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
8,69.6013245338362,60.96294573643413,000718,苏宁环球,bottom_area,2025-09-25,2.59,2025-09-23,2.58,0.3875968992247979,4.651162790697678,31.2,False,-2.9963,4.8494,2,4,2,50.0,27.77777777777778,36.111111111111114,14.6124031007752,0.3875968992247979,历史2/4次成功; 当前距低点0.39%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
9,69.2700230905096,60.76317814956982,600162,香江控股,bottom_area,2025-09-25,2.15,2025-09-25,2.14,0.46728971962615823,5.607476635514002,32.49211356466876,False,-2.2727,7.1541,2,4,2,50.0,27.68063822751323,28.90624999999999,14.532710280373843,0.46728971962615823,历史2/4次成功; 当前距低点0.47%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
10,64.6255142781058,56.99123996884619,000545,金浦钛业,bottom_area,2025-09-25,2.68,2025-09-25,2.66,0.7518796992481209,6.766917293233071,29.999999999999993,False,-5.6338,15.4896,3,6,3,50.0,21.104976791031703,24.6875,14.248120300751879,0.7518796992481209,历史3/6次成功; 当前距低点0.75%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
11,63.169408367669554,57.67459263316444,603839,安正时尚,bottom_area,2025-09-25,8.25,2025-09-23,8.04,2.6119402985074736,9.328358208955224,30.569948186528507,True,-3.169,3.2153,1,2,1,50.0,31.88073394495412,31.88073394495412,12.388059701492526,2.6119402985074736,历史1/2次成功; 当前距低点2.61%; 最新日涨幅-3.17%; 状态bottom_area; 底部已确认
